"Date :",05/27/21 16:53:36
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"Sound 1"," 0:02:00.000",30,3600,900
"Sound 2"," 0:04:02.000",30,7260,900
"Sound 3"," 0:06:04.000",30,10920,900
"Shock 1"," 0:02:30.000",2,4500,60
"Shock 2"," 0:04:32.000",2,8160,60
"Shock 3"," 0:06:34.000",2,11820,60

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF020121_112353","5",Chamber 2,"","","Shock 2",2,1.967,0.38,98.33,0.97,0,20
"VF020121_112353","5",Chamber 2,"","","Shock 3",2,1.000,0.19,50.00,3.80,0,38

"VF020121_113558","6",Chamber1,"","","Sound 1",3,29.933,5.80,99.78,0.78,0,16
"VF020121_113558","6",Chamber1,"","","Sound 2",5,29.733,5.76,99.11,0.65,0,22
"VF020121_113558","6",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF020121_113558","6",Chamber1,"","","Shock 1",1,2.000,0.39,100.00,1.08,0,7
"VF020121_113558","6",Chamber1,"","","Shock 2",1,1.633,0.32,81.67,4.27,0,19
"VF020121_113558","6",Chamber1,"","","Shock 3",1,1.733,0.34,86.67,3.13,0,32

"VF020121_113558","6",Chamber 2,"","","Sound 1",8,29.400,5.70,98.00,1.14,0,31
"VF020121_113558","6",Chamber 2,"","","Sound 2",3,29.900,5.79,99.67,0.22,0,17
"VF020121_113558","6",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.05,0,10
"VF020121_113558","6",Chamber 2,"","","Shock 1",1,0.467,0.09,23.33,33.33,0,449
"VF020121_113558","6",Chamber 2,"","","Shock 2",3,1.467,0.28,73.33,10.22,0,95
"VF020121_113558","6",Chamber 2,"","","Shock 3",1,0.633,0.12,31.67,30.12,0,162

"VF020121_114809","7",Chamber1,"","","Sound 1",14,27.467,5.32,91.56,1.85,0,43
"VF020121_114809","7",Chamber1,"","","Sound 2",5,29.233,5.67,97.44,0.52,0,42
"VF020121_114809","7",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.08,0,10
"VF020121_114809","7",Chamber1,"","","Shock 1",2,0.933,0.18,46.67,6.07,0,27
"VF020121_114809","7",Chamber1,"","","Shock 2",1,1.433,0.28,71.67,6.18,0,24
"VF020121_114809","7",Chamber1,"","","Shock 3",2,1.167,0.23,58.33,7.77,0,36

"VF020121_114809","7",Chamber 2,"","","Sound 1",4,29.233,5.67,97.44,0.70,0,27
"VF020121_114809","7",Chamber 2,"","","Sound 2",5,29.467,5.71,98.22,0.94,0,72
"VF020121_114809","7",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.06,0,4
"VF020121_114809","7",Chamber 2,"","","Shock 1",2,1.267,0.25,63.33,7.35,0,68
"VF020121_114809","7",Chamber 2,"","","Shock 2",2,1.167,0.23,58.33,44.03,0,592
"VF020121_114809","7",Chamber 2,"","","Shock 3",0,0.000,0.00,0.00,16.87,0,159

"VF020121_120155","8",Chamber1,"","","Sound 1",2,29.867,5.79,99.56,0.77,0,16
"VF020121_120155","8",Chamber1,"","","Sound 2",1,30.000,5.81,100.00,0.10,0,8
"VF020121_120155","8",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,1
"VF020121_120155","8",Chamber1,"","","Shock 1",2,1.533,0.30,76.67,3.97,0,24
"VF020121_120155","8",Chamber1,"","","Shock 2",2,1.933,0.37,96.67,3.65,0,34
"VF020121_120155","8",Chamber1,"","","Shock 3",4,1.767,0.34,88.33,5.60,0,23

"VF020121_120155","8",Chamber 2,"","","Sound 1",1,30.000,5.81,100.00,0.06,0,13
"VF020121_120155","8",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.04,0,13
"VF020121_120155","8",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF020121_120155","8",Chamber 2,"","","Shock 1",1,2.000,0.39,100.00,0.62,0,11
"VF020121_120155","8",Chamber 2,"","","Shock 2",2,1.467,0.28,73.33,7.33,0,119
