,Test,Animal,Animal_ID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,Max speed,Freezing episodes,Time freezing,Time mobile,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
381,381,B219,219,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,14.729,0.246,0.356,0,0,60,17,4.441,0.261,13.9,3.292,0.235,8.9,2.391,0.267,20.1,4.607,0.229,,,5.5,0.691,0.128,,F,
382,382,B220,220,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,16.444,0.274,0.421,0,0,60,14.2,4.12,0.29,15.2,4.18,0.276,13.1,3.691,0.281,17.6,4.453,0.254,,5.7,5.5,1.506,0.274,,F,
383,383,B209,209,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,13.352,0.222,0.352,1,3.1,60,11.1,2.409,0.216,15.2,3.498,0.23,15.5,3.414,0.22,18.2,4.03,0.222,,10.9,20,4.281,0.215,,F,
384,384,B210,210,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,12.589,0.21,0.337,0,0,60,8.4,1.92,0.227,8.2,1.777,0.218,34.7,6.649,0.192,8.7,2.242,0.26,,,17.4,2.045,0.118,,F,
385,385,B211,211,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,13.651,0.227,0.318,0,0,60,6.2,1.318,0.214,8.5,2.075,0.244,17.7,4.382,0.249,27.7,5.876,0.212,,7.9,5.1,0.751,0.146,,F,
386,386,B212,212,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,13.925,0.232,0.32,0,0,60,9.7,2.238,0.23,12.8,3.07,0.239,18.6,4.226,0.228,17.9,4.15,0.232,,25.7,14.4,3.309,0.23,,F,
387,387,B214,214,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,12.031,0.2,0.321,0,0,60,15.2,3.077,0.203,7.3,1.552,0.212,14.5,2.745,0.189,23.1,4.658,0.203,,15.3,3.2,0.582,0.18,,F,
388,388,B213,213,LRRK2/NOS2,B,Probe_D8,1,MWM_150,2/14/22,60,14.053,0.234,0.35,0,0,60,13.8,3.286,0.237,11.9,2.975,0.249,12.3,2.958,0.241,22,4.832,0.22,,8.4,3.4,0.421,0.123,,M,
389,389,31133,31133,NOS2_KO,A,Probe_D8,1,MWM_150,2/14/22,60,13.164,0.22,0.373,0,0,60,11.4,2.852,0.25,14.8,2.902,0.196,11.1,2.733,0.246,22.3,4.624,0.207,,,10.3,1.396,0.136,,M,
390,390,31134,31134,NOS2_KO,A,Probe_D8,1,MWM_150,2/14/22,60,13.423,0.224,0.353,0,0,60,11.4,2.7,0.237,9.5,2.002,0.211,15.3,3.552,0.231,23.6,5.111,0.217,,,17.1,3.174,0.186,,M,
391,391,31135,31135,NOS2_KO,A,Probe_D8,1,MWM_150,2/14/22,60,11.444,0.191,0.397,0,0,60,13.5,2.482,0.184,14.9,2.969,0.199,13.2,2.531,0.193,18.5,3.462,0.188,,2.7,14.8,2.546,0.172,,M,
392,392,31124,31124,NOS2_KO,A,Probe_D8,1,MWM_150,2/14/22,60,12.238,0.204,0.301,0,0,60,10.5,2.442,0.233,12.1,2.427,0.199,10.9,2.509,0.23,26.5,4.861,0.184,,10.1,12.6,1.773,0.141,,F,
393,393,31125,31125,NOS2_KO,A,Probe_D8,1,MWM_150,2/14/22,60,12.894,0.215,0.319,0,0,60,9.6,2.115,0.219,17.8,3.827,0.215,19.6,3.959,0.202,12.8,2.943,0.229,,,29.3,5.859,0.2,,F,
394,394,31130,31130,NOS2_KO,A,Probe_D8,1,MWM_150,2/14/22,60,14.117,0.236,0.322,0,0,60,20.6,4.685,0.227,16.4,3.899,0.238,9.6,2.51,0.261,13.5,3.023,0.225,,29.9,13.3,2.393,0.18,,F,
395,395,31131,31131,NOS2_KO,A,Probe_D8,1,MWM_150,2/14/22,60,12.904,0.215,0.363,1,6.6,60,4.1,0.998,0.244,12.8,2.207,0.172,22.2,5.357,0.241,20.9,4.341,0.208,,5.9,15.7,2.216,0.142,,F,
