date,week,animal-id,genotype,weight,glucose,sex,,,
11/2,4,201012-16,E33,40.00,,F,,,
11/2,4,201012-17,E33,31.00,,F,,,
11/2,4,201012-18,E33,33.00,,F,,,
11/2,4,201012-19,E33,31.00,,F,,,
11/2,4,201012-20,E33,40.00,,F,,,
11/2,4,201012-21,E33,36.00,,F,,,
11/2,4,201012-22,E33,44.00,,M,,,
11/2,4,201012-23,E33,40.00,,M,,,
11/2,4,201012-24,E33,38.00,,M,,,
11/2,4,201012-25,E33,37.00,,M,,,
11/2,4,201012-26,E33,47.00,,M,,,
11/2,4,201012-27,E33,36.00,,M,,,
11/9,5,201012-1,E4HN,32.00,,M,,,
11/9,5,201012-2,E4HN,32.00,,M,,,
11/9,5,201012-3,E4HN,37.00,,M,,,
11/9,5,201012-4,E4HN,32.00,,F,,,
11/9,5,201012-5,E4HN,34.00,,F,,,
11/9,5,201012-6,E4HN,32.00,,F,,,
11/9,5,201012-7,E4HN,29.00,,F,,,
11/9,5,201012-8,E4HN,34.00,,F,,,
11/9,5,201012-9,E4HN,31.00,,F,,,
11/9,5,201012-10,E4HN,32.00,,F,,,
11/9,5,201012-11,E3HN,39.00,,F,,,
11/9,5,201012-12,E3HN,38.00,,F,,,
11/9,5,201012-13,E3HN,31.00,,M,,,
11/9,5,201012-14,E3HN,,,M,,,
11/9,5,201012-15,E33,36.00,,F,,,
11/9,5,201012-16,E33,40.00,,F,,,
11/9,5,201012-17,E33,32.00,,F,,,
11/9,5,201012-18,E33,34.00,,F,,,
11/9,5,201012-19,E33,31.00,,F,,,
11/9,5,201012-20,E33,40.00,,F,,,
11/9,5,201012-21,E33,37.00,,F,,,
11/9,5,201012-22,E33,50.00,,M,,,
11/9,5,201012-23,E33,40.00,,M,,,
11/9,5,201012-24,E33,38.00,,M,,,
11/9,5,201012-25,E33,37.00,,M,,,
11/9,5,201012-26,E33,50.00,,M,,,
11/9,5,201012-27,E33,36.00,,M,,,
11/16,6,201012-1,E4HN,33.00,,M,,,
11/16,6,201012-2,E4HN,33.00,,M,,,
11/16,6,201012-3,E4HN,39.00,,M,,,
11/16,6,201012-4,E4HN,32.00,,F,,,
11/16,6,201012-5,E4HN,34.00,,F,,,
11/16,6,201012-6,E4HN,34.00,,F,,,
11/16,6,201012-7,E4HN,31.00,,F,,,
11/16,6,201012-8,E4HN,35.00,,F,,,
11/16,6,201012-9,E4HN,31.00,,F,,,
11/16,6,201012-10,E4HN,32.00,,F,,,
11/16,6,201012-11,E3HN,39.00,,F,,,
11/16,6,201012-12,E3HN,38.00,,F,,,
11/16,6,201012-13,E3HN,30.00,,M,,,
11/16,6,201012-14,E3HN,,,M,,,
11/16,6,201012-15,E33,36.00,,F,,,
11/16,6,201012-16,E33,39.00,,F,,,
11/16,6,201012-17,E33,34.00,,F,,,
11/16,6,201012-18,E33,34.00,,F,,,
11/16,6,201012-19,E33,32.00,,F,,,
11/16,6,201012-20,E33,41.00,,F,,,
11/16,6,201012-21,E33,38.00,,F,,,
11/16,6,201012-22,E33,50.00,,M,,,
11/16,6,201012-23,E33,41.00,,M,,,
11/16,6,201012-24,E33,41.00,,M,,,
11/16,6,201012-25,E33,37.00,,M,,,
11/16,6,201012-26,E33,50.00,,M,,,
11/16,6,201012-27,E33,36.00,,M,,,
11/23,7,201012-1,E4HN,34.00,,M,,,
11/23,7,201012-2,E4HN,34.00,,M,,,
11/23,7,201012-3,E4HN,42.00,,M,,,
11/23,7,201012-4,E4HN,33.00,,F,,,
11/23,7,201012-5,E4HN,36.00,,F,,,
11/23,7,201012-6,E4HN,35.00,,F,,,
11/23,7,201012-7,E4HN,33.00,,F,,,
11/23,7,201012-8,E4HN,38.00,,F,,,
11/23,7,201012-9,E4HN,32.00,,F,,,
11/23,7,201012-10,E4HN,32.00,,F,,,
11/23,7,201012-11,E3HN,41.00,,F,,,
11/23,7,201012-12,E3HN,40.00,,F,,,
11/23,7,201012-13,E3HN,30.00,,M,,,
11/23,7,201012-14,E3HN,,,M,,,
11/23,7,201012-15,E33,36.00,,F,,,
11/23,7,201012-16,E33,38.00,,F,,,
11/23,7,201012-17,E33,38.00,,F,,,
11/23,7,201012-18,E33,35.00,,F,,,
11/23,7,201012-19,E33,33.00,,F,,,
11/23,7,201012-20,E33,41.00,,F,,,
11/23,7,201012-21,E33,39.00,,F,,,
11/23,7,201012-22,E33,50.00,,M,,,
11/23,7,201012-23,E33,42.00,,M,,,
11/23,7,201012-24,E33,43.00,,M,,,
11/23,7,201012-25,E33,37.00,,M,,,
11/23,7,201012-26,E33,50.00,,M,,,
11/23,7,201012-27,E33,36.00,,M,,,
11/30,8,201012-1,E4HN,35.00,173.00,M,,,
11/30,8,201012-2,E4HN,36.00,191.00,M,,,
11/30,8,201012-3,E4HN,45.00,198.00,M,,,
11/30,8,201012-4,E4HN,36.00,241.00,F,,,
11/30,8,201012-5,E4HN,37.00,241.00,F,,,
11/30,8,201012-6,E4HN,37.00,206.00,F,,,
11/30,8,201012-7,E4HN,34.00,193.00,F,,,
11/30,8,201012-8,E4HN,40.00,177.00,F,,,
11/30,8,201012-9,E4HN,32.00,202.00,F,,,
11/30,8,201012-10,E4HN,33.00,186.00,F,,,
11/30,8,201012-11,E3HN,43.00,186.00,F,,,
11/30,8,201012-12,E3HN,43.00,167.00,F,,,
11/30,8,201012-13,E3HN,30.00,221.00,M,,,
11/30,8,201012-14,E3HN,,,M,,,
11/30,8,201012-15,E33,36.00,195.00,F,,,
11/30,8,201012-16,E33,38.00,151.00,F,,,
11/30,8,201012-17,E33,43.00,155.00,F,,,
11/30,8,201012-18,E33,35.00,173.00,F,,,
11/30,8,201012-19,E33,35.00,183.00,F,,,
11/30,8,201012-20,E33,42.00,189.00,F,,,
11/30,8,201012-21,E33,40.00,192.00,F,,,
11/30,8,201012-22,E33,51.00,183.00,M,,,
11/30,8,201012-23,E33,43.00,214.00,M,,,
11/30,8,201012-24,E33,44.00,247.00,M,,,
11/30,8,201012-25,E33,38.00,198.00,M,,,
11/30,8,201012-26,E33,50.00,267.00,M,,,
11/30,8,201012-27,E33,37.00,190.00,M,,,
12/7,9,201012-1,E4HN,36.00,,M,,,
12/7,9,201012-2,E4HN,37.00,,M,,,
12/7,9,201012-3,E4HN,48.00,,M,,,
12/7,9,201012-4,E4HN,38.00,,F,,,
12/7,9,201012-5,E4HN,39.00,,F,,,
12/7,9,201012-6,E4HN,38.00,,F,,,
12/7,9,201012-7,E4HN,36.00,,F,,,
12/7,9,201012-8,E4HN,43.00,,F,,,
12/7,9,201012-9,E4HN,33.00,,F,,,
12/7,9,201012-10,E4HN,34.00,,F,,,
12/7,9,201012-11,E3HN,45.00,,F,,,
12/7,9,201012-12,E3HN,44.00,,F,,,
12/7,9,201012-13,E3HN,30.00,,M,,,
12/7,9,201012-14,E3HN,,,M,,,
12/7,9,201012-15,E33,36.00,,F,,,
12/7,9,201012-16,E33,37.00,,F,,,
12/7,9,201012-17,E33,47.00,,F,,,
12/7,9,201012-18,E33,37.00,,F,,,
12/7,9,201012-19,E33,36.00,,F,,,
12/7,9,201012-20,E33,44.00,,F,,,
12/7,9,201012-21,E33,44.00,,F,,,
12/7,9,201012-22,E33,51.00,,M,,,
12/7,9,201012-23,E33,46.00,,M,,,
12/7,9,201012-24,E33,47.00,,M,,,
12/7,9,201012-25,E33,38.00,,M,,,
12/7,9,201012-26,E33,50.00,,M,,,
12/7,9,201012-27,E33,37.00,,M,,,
12/14,10,201012-1,E4HN,37.00,,M,,,
12/14,10,201012-2,E4HN,37.00,,M,,,
12/14,10,201012-3,E4HN,49.00,,M,,,
12/14,10,201012-4,E4HN,37.00,,F,,,
12/14,10,201012-5,E4HN,39.00,,F,,,
12/14,10,201012-6,E4HN,39.00,,F,,,
12/14,10,201012-7,E4HN,36.00,,F,,,
12/14,10,201012-8,E4HN,44.00,,F,,,
12/14,10,201012-9,E4HN,36.00,,F,,,
12/14,10,201012-10,E4HN,35.00,,F,,,
12/14,10,201012-11,E3HN,46.00,,F,,,
12/14,10,201012-12,E3HN,44.00,,F,,,
12/14,10,201012-13,E3HN,30.00,,M,,,
12/14,10,201012-14,E3HN,,,M,,,
12/14,10,201012-15,E33,38.00,,F,,,
12/14,10,201012-16,E33,38.00,,F,,,
12/14,10,201012-17,E33,48.00,,F,,,
12/14,10,201012-18,E33,38.00,,F,,,
12/14,10,201012-19,E33,37.00,,F,,,
12/14,10,201012-20,E33,46.00,,F,,,
12/14,10,201012-21,E33,45.00,,F,,,
12/14,10,201012-22,E33,52.00,,M,,,
12/14,10,201012-23,E33,47.00,,M,,,
12/14,10,201012-24,E33,47.00,,M,,,
12/14,10,201012-25,E33,39.00,,M,,,
12/14,10,201012-26,E33,51.00,,M,,,
12/14,10,201012-27,E33,36.00,,M,,,
12/21,11,201012-1,E4HN,37.00,,M,,,
12/21,11,201012-2,E4HN,36.00,,M,,,
12/21,11,201012-3,E4HN,50.00,,M,,,
12/21,11,201012-4,E4HN,36.00,,F,,,
12/21,11,201012-5,E4HN,39.00,,F,,,
12/21,11,201012-6,E4HN,40.00,,F,,,
12/21,11,201012-7,E4HN,36.00,,F,,,
12/21,11,201012-8,E4HN,44.00,,F,,,
12/21,11,201012-9,E4HN,38.00,,F,,,
12/21,11,201012-10,E4HN,35.00,,F,,,
12/21,11,201012-11,E3HN,46.00,,F,,,
12/21,11,201012-12,E3HN,44.00,,F,,,
12/21,11,201012-13,E3HN,30.00,,M,,,
12/21,11,201012-14,E3HN,,,M,,,
12/21,11,201012-15,E33,40.00,,F,,,
12/21,11,201012-16,E33,39.00,,F,,,
12/21,11,201012-17,E33,48.00,,F,,,
12/21,11,201012-18,E33,38.00,,F,,,
12/21,11,201012-19,E33,38.00,,F,,,
12/21,11,201012-20,E33,48.00,,F,,,
12/21,11,201012-21,E33,47.00,,F,,,
12/21,11,201012-22,E33,53.00,,M,,,
12/21,11,201012-23,E33,47.00,,M,,,
12/21,11,201012-24,E33,47.00,,M,,,
12/21,11,201012-25,E33,38.00,,M,,,
12/21,11,201012-26,E33,52.00,,M,,,
12/21,11,201012-27,E33,35.00,,M,,,
12/28,12,201012-1,E4HN,38.00,,M,,,
12/28,12,201012-2,E4HN,36.00,,M,,,
12/28,12,201012-3,E4HN,50.00,,M,,,
12/28,12,201012-4,E4HN,36.00,,F,,,
12/28,12,201012-5,E4HN,39.00,,F,,,
12/28,12,201012-6,E4HN,41.00,,F,,,
12/28,12,201012-7,E4HN,36.00,,F,,,
12/28,12,201012-8,E4HN,44.00,,F,,,
12/28,12,201012-9,E4HN,39.00,,F,,,
12/28,12,201012-10,E4HN,36.00,,F,,,
12/28,12,201012-11,E3HN,46.00,,F,,,
12/28,12,201012-12,E3HN,44.00,,F,,,
12/28,12,201012-13,E3HN,33.00,,M,,,
12/28,12,201012-14,E3HN,,,M,,,
12/28,12,201012-15,E33,42.00,,F,,,
12/28,12,201012-16,E33,39.00,,F,,,
12/28,12,201012-17,E33,49.00,,F,,,
12/28,12,201012-18,E33,38.00,,F,,,
12/28,12,201012-19,E33,38.00,,F,,,
12/28,12,201012-20,E33,50.00,,F,,,
12/28,12,201012-21,E33,47.00,,F,,,
12/28,12,201012-22,E33,53.00,,M,,,
12/28,12,201012-23,E33,48.00,,M,,,
12/28,12,201012-24,E33,47.00,,M,,,
12/28,12,201012-25,E33,39.00,,M,,,
12/28,12,201012-26,E33,53.00,,M,,,
12/28,12,201012-27,E33,35.00,,M,,,
1/4,13,201012-1,E4HN,38.00,,M,,,
1/4,13,201012-2,E4HN,37.00,,M,,,
1/4,13,201012-3,E4HN,50.00,,M,,,
1/4,13,201012-4,E4HN,36.00,,F,,,
1/4,13,201012-5,E4HN,39.00,,F,,,
1/4,13,201012-6,E4HN,41.00,,F,,,
1/4,13,201012-7,E4HN,37.00,,F,,,
1/4,13,201012-8,E4HN,44.00,,F,,,
1/4,13,201012-9,E4HN,39.00,,F,,,
1/4,13,201012-10,E4HN,36.00,,F,,,
1/4,13,201012-11,E3HN,46.00,,F,,,
1/4,13,201012-12,E3HN,44.00,,F,,,
1/4,13,201012-13,E3HN,33.00,,M,,,
1/4,13,201012-14,E3HN,,,M,,,
1/4,13,201012-15,E33,43.00,,F,,,
1/4,13,201012-16,E33,39.00,,F,,,
1/4,13,201012-17,E33,49.00,,F,,,
1/4,13,201012-18,E33,38.00,,F,,,
1/4,13,201012-19,E33,38.00,,F,,,
1/4,13,201012-20,E33,50.00,,F,,,
1/4,13,201012-21,E33,47.00,,F,,,
1/4,13,201012-22,E33,53.00,,M,,,
1/4,13,201012-23,E33,48.00,,M,,,
1/4,13,201012-24,E33,47.00,,M,,,
1/4,13,201012-25,E33,39.00,,M,,,
1/4,13,201012-26,E33,53.00,,M,,,
