date,week,animal-id,genotype,weight,glucose,sex,,,
2/22,20,201012-11,E3HN,45.00,,F,,,
2/22,20,201012-12,E3HN,39.00,,F,,,
2/22,20,201012-13,E3HN,32.00,,M,,,
2/22,20,201012-14,E3HN,,,M,,,
2/22,20,201012-15,E33,47.00,,F,,,
2/22,20,201012-16,E33,43.00,,F,,,
2/22,20,201012-17,E33,43.00,,F,,,
2/22,20,201012-18,E33,54.00,,F,,,
2/22,20,201012-19,E33,43.00,,F,,,
2/22,20,201012-20,E33,57.00,,F,,,
2/22,20,201012-21,E33,50.00,,F,,,
2/22,20,201012-22,E33,55.00,,M,,,
2/22,20,201012-23,E33,52.00,,M,,,
2/22,20,201012-24,E33,46.00,,M,,,
2/22,20,201012-25,E33,48.00,,M,,,
2/22,20,201012-26,E33,57.00,,M,,,
2/22,20,201012-27,E33,51.00,,M,,,
3/1,21,201012-1,E4HN,40.00,,M,,,
3/1,21,201012-2,E4HN,36.00,,M,,,
3/1,21,201012-3,E4HN,48.00,,M,,,
3/1,21,201012-4,E4HN,44.00,,F,,,
3/1,21,201012-5,E4HN,44.00,,F,,,
3/1,21,201012-6,E4HN,45.00,,F,,,
3/1,21,201012-7,E4HN,36.00,,F,,,
3/1,21,201012-8,E4HN,48.00,,F,,,
3/1,21,201012-9,E4HN,37.00,,F,,,
3/1,21,201012-10,E4HN,39.00,,F,,,
3/1,21,201012-11,E3HN,46.00,,F,,,
3/1,21,201012-12,E3HN,39.00,,F,,,
3/1,21,201012-13,E3HN,32.00,,M,,,
3/1,21,201012-14,E3HN,,,M,,,
3/1,21,201012-15,E33,46.00,,F,,,
3/1,21,201012-16,E33,43.00,,F,,,
3/1,21,201012-17,E33,43.00,,F,,,
3/1,21,201012-18,E33,54.00,,F,,,
3/1,21,201012-19,E33,43.00,,F,,,
3/1,21,201012-20,E33,57.00,,F,,,
3/1,21,201012-21,E33,50.00,,F,,,
3/1,21,201012-22,E33,55.00,,M,,,
3/1,21,201012-23,E33,52.00,,M,,,
3/1,21,201012-24,E33,46.00,,M,,,
3/1,21,201012-25,E33,47.00,,M,,,
3/1,21,201012-26,E33,57.00,,M,,,
3/1,21,201012-27,E33,51.00,,M,,,
3/10,22,201012-1,E4HN,,,M,,,
3/10,22,201012-2,E4HN,,,M,,,
3/10,22,201012-3,E4HN,,,M,,,
3/10,22,201012-4,E4HN,,237.00,F,,,
3/10,22,201012-5,E4HN,,264.00,F,,,
3/10,22,201012-6,E4HN,,236.00,F,,,
3/10,22,201012-7,E4HN,,137.00,F,,,
3/10,22,201012-8,E4HN,,,F,,,
3/10,22,201012-9,E4HN,,140.00,F,,,
3/10,22,201012-10,E4HN,,,F,,,
3/10,22,201012-11,E3HN,,,F,,,
3/10,22,201012-12,E3HN,,,F,,,
3/10,22,201012-13,E3HN,,,M,,,
3/10,22,201012-14,E3HN,,,M,,,
3/10,22,201012-15,E33,,,F,,,
3/10,22,201012-16,E33,,,F,,,
3/10,22,201012-17,E33,,208.00,F,,,
3/10,22,201012-18,E33,,210.00,F,,,
3/10,22,201012-19,E33,,193.00,F,,,
3/10,22,201012-20,E33,,202.00,F,,,
3/10,22,201012-21,E33,,137.00,F,,,
3/10,22,201012-22,E33,,131.00,M,,,
3/10,22,201012-23,E33,,143.00,M,,,
3/10,22,201012-24,E33,,149.00,M,,,
3/10,22,201012-25,E33,,223.00,M,,,
3/10,22,201012-26,E33,,180.00,M,,,
3/10,22,201012-27,E33,,238.00,M,,,
