"","Group.1","Group.2","Group.3","Group.4","Test","Animal","Treatment","Diet","APOE","Sex","Code","Stage","Trial","LaunchQuad","Apparatus","Date","Winding","Duration","Distance","Mean.speed","NE.time","NE.distance","NE...average.speed","NW.time","NW.distance","NW...average.speed","SE.time","SE.distance","SE...average.speed","SW.time","SW.distance","SW...average.speed","NormSWTime","NormSWDist","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","SW...latency.to.first.entry","residuals"
"19",118,2,1,1,921,118,NA,NA,2,1,NA,1,3,NA,NA,NA,NA,56.55,0.98595,0.1745,14.8,0.2634,0.1905,9.4,0.1896,0.212,20.15,0.3517,0.1745,10.15,0.1796,0.1725,0.183135593220339,0.187374981189299,NA,NA,34.7,5.7395,0.1655,16.2,0.0698694020300638
"20",129,2,1,1,891,129,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,37.6,0.5438,0.127,13.65,0.16635,NA,9.75,0.1503,NA,6,0.1458,NA,6.15,0.0757,0.124,0.375131578947368,0.469884215513755,NA,NA,22.4,3.286,0.1435,8.05,-3.14609396029151
"21",140,2,1,1,923,140,NA,NA,2,1,NA,1,3,NA,NA,NA,NA,60,1.22,0.203,16,0.32165,0.209,13.65,0.29375,0.213,17.9,0.34285,0.191,12.45,0.26175,0.209,0.2075,0.214463638467115,NA,NA,37.8,7.011,0.1935,20.85,1.89944741942301
"22",143,2,1,1,893,143,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,34.95,0.6289,0.124,11.6,0.22635,NA,7.5,0.16585,NA,5.95,0.1181,NA,7.85,0.1169,0.133,0.375429292929293,0.541558108883274,NA,NA,12.05,2.1885,0.149,10.9,-1.39657585685919
"23",144,2,1,1,925,144,NA,NA,2,1,NA,1,3,NA,NA,NA,NA,60,1.00235,0.167,20.5,0.32485,0.1555,6.65,0.1397,0.208,25.7,0.40115,0.1595,7.1,0.1367,0.1915,0.118333333333333,0.135411471444087,NA,NA,25.45,3.638,0.145,33.35,-2.85633533938913
"24",145,2,1,1,895,145,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,33.05,0.49225,0.095,5.8,0.10585,NA,7.95,0.1293,NA,5.25,0.09115,NA,12,0.16375,0.1055,0.347267759562842,0.538864409557361,NA,NA,15.05,2.166,NA,4.8,3.23209914298659
"25",146,2,1,1,927,146,NA,NA,2,1,NA,1,3,NA,NA,NA,NA,60,1.1095,0.185,21.4,0.3805,0.1805,20.25,0.3588,0.1795,10.25,0.1873,0.187,8.15,0.1829,0.225,0.135833333333333,0.164874033130864,NA,NA,33.7,5.7065,0.1635,21.25,-2.10344395998306
"26",11,3,1,1,21,11,NA,NA,3,1,NA,1,3,NA,NA,NA,17.240420445,37.45,0.7004,0.187,8.65,0.1933,0.2295,7.5,0.1194,0.1105,10.05,0.1925,0.196,11.25,0.19525,0.1715,0.293934057753153,0.271573209852295,6.9495,35.35,19.85,3.3275,0.166,NA,0.963543971062056
"27",13,3,1,1,22,13,NA,NA,3,1,NA,1,3,NA,NA,NA,15.279594785,33.75,0.64665,0.182,7.25,0.1606,0.2155,14,0.2664,0.1875,2.5,0.0577,NA,9.95,0.162,0.141,0.271572170770273,0.213528354310625,6.4235,31.65,16,2.859,0.1705,NA,-0.253925856550742
"28",14,3,1,1,23,14,NA,NA,3,1,NA,1,3,NA,NA,NA,36.35055283,60,0.89695,0.1495,17.2,0.25615,0.1455,32.45,0.48395,0.152,2.5,0.05305,NA,7.9,0.1038,0.1415,0.131666666666667,0.110158937894028,NA,NA,38.75,5.7015,0.145,NA,-1.76747973603392
"29",20,3,1,1,14,20,NA,NA,3,1,NA,1,3,NA,NA,NA,20.60685196,60,0.9582,0.1595,20.85,0.33465,0.16,4.2,0.07265,0.1675,21,0.33035,0.159,4.7,0.0712,0.1415,0.0783333333333333,0.0731631540596275,NA,NA,38.9,5.975,0.153,NA,-5.13254008080833
"30",21,3,1,1,15,21,NA,NA,3,1,NA,1,3,NA,NA,NA,22.48665217,60,0.9836,0.164,21.95,0.32755,0.1665,12.4,0.2187,0.177,12.95,0.21175,0.167,8.75,0.16265,0.1855,0.145833333333333,0.162612261942185,NA,NA,45.6,7.177,0.157,NA,-1.15681723595681
"31",22,3,1,1,16,22,NA,NA,3,1,NA,1,3,NA,NA,NA,26.357048295,45.95,0.548,0.12,16.45,0.1594,0.109,9.4,0.15455,0.1715,11,0.11265,0.1,8.2,0.114,0.1255,0.176707103255461,0.22815377000495,5.426,43.85,20.9,1.8045,0.091,NA,-0.980551718949426
"32",23,3,1,1,17,23,NA,NA,3,1,NA,1,3,NA,NA,NA,21.09187373,60,1.3237,0.2205,18.8,0.3646,0.207,19.25,0.4248,0.224,10.75,0.24855,0.2295,8.95,0.22685,0.2525,0.149166666666667,0.1628141794611,NA,NA,38.95,7.9875,0.2075,NA,-1.8894081839322
"33",24,3,1,1,18,24,NA,NA,3,1,NA,1,3,NA,NA,NA,27.060762065,60,0.92665,0.154,13.9,0.1928,0.153,14.8,0.19235,0.1455,18.8,0.30635,0.179,12.25,0.22715,0.186,0.204166666666667,0.250087101050364,NA,NA,29.65,4.0265,0.142,NA,2.5082431088176
"34",39,3,1,1,66,39,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,25.4,0.3891,0.155,6,0.0851,NA,0,0,NA,6.65,0.13525,0.2005,12.75,0.1688,0.133,0.523343797794414,0.444649943100957,3.8255,22.3,5.5,0.549,NA,NA,2.99173707434015
"35",40,3,1,1,41,40,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,60,1.20805,0.2015,21.8,0.41445,0.19,12.6,0.2343,0.1725,14,0.32385,0.2345,10.5,0.21005,0.2065,0.175,0.173963659383129,NA,NA,34.15,6.8405,0.2005,NA,-0.0257935288608326
