"","Group.1","Group.2","Group.3","Group.4","Test","Animal","Treatment","Diet","APOE","Sex","Code","Stage","Trial","LaunchQuad","Apparatus","Date","Winding","Duration","Distance","Mean.speed","NE.time","NE.distance","NE...average.speed","NW.time","NW.distance","NW...average.speed","SE.time","SE.distance","SE...average.speed","SW.time","SW.distance","SW...average.speed","NormSWTime","NormSWDist","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","SW...latency.to.first.entry","residuals"
"337",127,4,1,2,1047.5,127,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,37.075,0.50305,0.11975,11.325,0.174675,NA,8.8,0.124675,NA,5.75,0.0896,NA,9.225,0.111925,0.134,0.349783490878912,0.433150362650123,NA,NA,11.625,1.26425,0.09575,20.25,0.0485747896699348
"338",130,4,1,2,1049.5,130,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,55.375,1.06825,0.1905,18.175,0.332025,0.18425,4.625,0.0934,NA,22.825,0.463825,0.207,8.75,0.178125,0.21325,0.158278112449799,0.172176898770332,NA,NA,20.45,3.85075,0.18075,14.85,-1.59422714960899
"339",132,4,1,2,1051.5,132,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,48.125,0.7807,0.15075,8.35,0.1198,NA,11.775,0.1986,NA,11.925,0.20605,0.17975,14.05,0.254225,0.183,0.290282567049808,0.350925500121494,NA,NA,24.5,4.19875,0.15375,17.7,4.36188772086928
"340",134,4,1,2,1053.5,134,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,54.65,0.987925,0.181,7.8,0.146,0.1975,8.375,0.13765,NA,22.3,0.40905,0.18625,16.075,0.294,0.18075,0.310651986183074,0.307146239986225,NA,NA,13.775,2.1165,0.1515,10.025,5.8875801779267
"341",136,4,1,2,1055.5,136,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,57.975,0.941725,0.163,20.425,0.33085,0.17,10.025,0.18145,0.19875,14.45,0.24055,0.19675,12.075,0.18695,0.19425,0.207037572254335,0.198691628459499,NA,NA,25.375,3.4585,0.1365,14.35,2.18468879852063
"342",138,4,1,2,1057.5,138,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,59.575,0.93745,0.1575,23.55,0.37675,0.1615,13.475,0.22055,0.16725,15.425,0.2127,0.146,7.15,0.1274,0.184,0.11988350485992,0.136833202749295,NA,NA,33.4,4.7305,0.13925,17.475,-2.64952801185345
"343",141,4,1,2,1059.5,141,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,26.2,0.3693,0.12625,3.325,0.069425,NA,9.425,0.14525,NA,5.775,0.082625,NA,3.6,0.0629,0.19,0.174683302905875,0.319282683076138,3.60225,22.1,3.875,0.39875,NA,14.625,-5.68371443443343
"344",142,4,1,2,1045.5,142,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,55.925,0.937075,0.1675,15.95,0.26765,0.17325,15.275,0.2689,0.18075,14.475,0.251,0.192,8.2,0.1485,0.183,0.149274893708908,0.160699767774897,NA,NA,29.35,4.21175,0.1445,9.05,-1.76458835662785
"345",148,4,1,2,1037.5,148,NA,NA,4,1,NA,2,2.5,NA,NA,NA,NA,31.175,0.423075,0.11675,3.475,0.05185,NA,4.925,0.092625,NA,7.6,0.105425,NA,12.125,0.17005,0.14075,0.350215826921176,0.421535775220774,4.1095,27.1,11.075,1.65,0.105,6.325,2.99809289310226
"346",1,5,1,2,55,1,NA,NA,5,1,NA,2,3,NA,NA,NA,7.070156282,22.2,0.42625,0.1995,7.5,0.15665,NA,9.9,0.18325,NA,0.95,0.03855,NA,3.85,0.0478,0.111,0.40086031828084,0.263430838924008,4.1795,20.15,5.1,0.8475,0.208,14.2,-6.64278145990595
"347",2,5,1,2,63,2,NA,NA,5,1,NA,2,3,NA,NA,NA,14.5452342275,39.5,0.784,0.1915,1.45,0.036,NA,8.15,0.17975,0.208,5.1,0.10735,NA,24.8,0.46095,0.184,0.668684210526316,0.646082337317397,NA,NA,10,1.846,0.181,1.9,14.4392668159136
"348",3,5,1,2,56,3,NA,NA,5,1,NA,2,3,NA,NA,NA,14.905586825,27.6,1.1109,0.4265,7.35,0.1477,0.219,11.55,0.53495,0.442,4.05,0.26415,2.854,4.6,0.1641,0.3225,0.174241510950372,0.130130656430494,11.049,25.5,7,3.0495,0.417,7.65,-9.63965128628496
"349",4,5,1,2,57,4,NA,NA,5,1,NA,2,3,NA,NA,NA,9.6756814735,17.75,0.34015,0.195,0,0,NA,7,0.1515,0.547,0.05,0.02835,NA,10.7,0.1603,0.1385,0.624960127591707,0.437221783571175,3.32,15.7,3.45,0.7735,0.255,2.55,0.281495695242531
"350",5,5,1,2,58,5,NA,NA,5,1,NA,2,3,NA,NA,NA,8.433272799,17.85,0.2537,0.13,1.05,0.0188,NA,6.25,0.08195,NA,1.65,0.0404,NA,8.9,0.1125,0.1235,0.684859154929577,0.670016358962374,2.501,15.75,5.5,0.721,0.1335,0,-0.445612063723831
"351",6,5,1,2,59,6,NA,NA,5,1,NA,2,3,NA,NA,NA,16.0522625045,35.7,1.1296,0.2615,2.85,0.05775,NA,10.9,0.3681,0.313,6.05,0.22415,NA,15.95,0.47965,0.213,0.436359649122807,0.324952834321207,NA,NA,10.65,3.884,0.326,3.3,4.43384440249273
"352",7,5,1,2,60,7,NA,NA,5,1,NA,2,3,NA,NA,NA,11.3559913805,24.1,0.5031,0.1565,2.25,0.05095,NA,4.9,0.1219,0.2335,4.8,0.10345,NA,12.15,0.22685,0.102,0.426766513056836,0.23803777544596,4.994,22.1,3.8,1.086,NA,2.1,2.36697802262399
"353",8,5,1,2,61,8,NA,NA,5,1,NA,2,3,NA,NA,NA,18.22217468,47.1,0.76605,0.1615,6.65,0.1001,0.1455,11.35,0.1775,0.1555,14.6,0.25885,0.1825,14.45,0.22955,0.1545,0.298645502645503,0.286738264309031,7.5805,45.05,9.7,1.4055,0.1445,12.15,4.58444785023679
"354",9,5,1,2,62,9,NA,NA,5,1,NA,2,3,NA,NA,NA,6.7730994645,15.35,0.2571,0.1425,0.05,0.0024,NA,3.65,0.0794,0.2185,6,0.11095,NA,5.65,0.06435,0.084,0.470291582615074,0.211796784649096,2.429,13.25,1.7,0.36,NA,9.75,-3.90193749469184
"355",10,5,1,2,208,10,NA,NA,5,1,NA,2,3,NA,NA,NA,25.121090705,60,0.98415,0.164,1.4,0.0295,NA,17.35,0.329,NA,3.3,0.06275,0.187,37.9,0.56285,0.1595,0.631666666666667,0.620346637936281,NA,NA,8.7,1.239,0.1505,17.2,27.9931827640432
"356",61,5,1,2,124,61,NA,NA,5,1,NA,2,3,NA,NA,NA,NA,11.8,0.1311,0.111,0,0,NA,3.65,0.0634,NA,1.95,0.0293,NA,6.2,0.03835,0.0605,0.532324324324324,0.316953357383959,1.2845,7.7,1.95,0.293,NA,NA,-2.83199740865246
"357",62,5,1,2,106,62,NA,NA,5,1,NA,2,2,NA,NA,NA,NA,54.4,0.81855,0.15,15.3,0.2096,NA,9.5,0.1473,0.1625,16.95,0.25255,0.1685,12.65,0.20915,0.171,0.247554644808743,0.275349813112202,NA,NA,8.3,1.601,0.1805,NA,2.97426724672736
"358",63,5,1,2,126,63,NA,NA,5,1,NA,2,3,NA,NA,NA,NA,23.2,0.30475,0.114,3,0.05615,NA,6.7,0.10065,0.134,4.8,0.08015,NA,8.7,0.0678,0.0795,0.533841434186559,0.460429517503142,2.9765,19.1,4.15,0.526,NA,NA,-0.381515512084782
"359",64,5,1,2,108,64,NA,NA,5,1,NA,2,2,NA,NA,NA,NA,25.65,0.27875,0.108,2.65,0.02275,NA,0.35,0.0019,NA,7.6,0.10275,0.1335,15.1,0.15135,0.128,0.595306513409962,0.621373007602024,2.3135,21.6,7.9,0.4385,0.074,NA,6.11752069477986
"360",65,5,1,2,128,65,NA,NA,5,1,NA,2,3,NA,NA,NA,NA,36.6,0.70885,0.163,4.95,0.11515,NA,12.15,0.2068,0.1555,10.15,0.21935,NA,9.4,0.16755,0.1595,0.325075757575758,0.316943113760337,NA,NA,8.8,1.45,0.15,NA,-0.49031120147937
"361",66,5,1,2,110,66,NA,NA,5,1,NA,2,2,NA,NA,NA,NA,50.4,0.51375,0.098,19.9,0.18915,NA,7.15,0.08685,0.1195,16.5,0.1801,0.1225,6.75,0.056,0.158,0.163480392156863,0.162183790044487,NA,NA,5.35,0.663,0.11,NA,-2.06741896044573
"362",67,5,1,2,130,67,NA,NA,5,1,NA,2,3,NA,NA,NA,NA,49.1,0.756,0.1435,7.8,0.1292,0.1465,14.85,0.2057,0.142,4.05,0.0777,0.181,22.4,0.34345,0.1385,0.446570680628272,0.427222541793194,NA,NA,15.45,2.5005,0.1335,NA,12.8315564708307
"363",68,5,1,2,112,68,NA,NA,5,1,NA,2,2,NA,NA,NA,NA,59.1,1.0716,0.1815,19.3,0.3232,0.1815,16.15,0.32655,0.2025,12.35,0.2343,0.191,11.2,0.1855,0.173,0.190403780068729,0.173027311364985,NA,NA,26.95,5.1465,0.1905,NA,1.00432716068798
"364",69,5,1,2,132,69,NA,NA,5,1,NA,2,3,NA,NA,NA,NA,18.7,0.2308,0.1145,0,0,NA,4.4,0.05365,NA,1.3,0.0254,NA,12.95,0.15175,0.131,0.736238532110092,0.78282967032967,1.915,14.6,0.25,0.0355,NA,NA,3.8602314706765
"365",75,5,1,2,120,75,NA,NA,5,1,NA,2,3,NA,NA,NA,NA,49.35,0.98665,0.192,5.9,0.14145,0.234,12.85,0.2817,0.2145,13.8,0.26545,0.1805,16.65,0.29635,0.178,0.353178294573643,0.314998950258008,NA,NA,23.65,4.6695,0.185,NA,6.28101379867485
"366",76,5,1,2,102,76,NA,NA,5,1,NA,2,2,NA,NA,NA,NA,32.35,0.5877,0.1815,11.9,0.22305,0.1975,4.35,0.1099,0.256,8.5,0.1779,0.217,7.55,0.0768,0.102,0.232516011853551,0.129885989055425,5.7695,28.25,1.95,0.2835,0.085,NA,-2.64567283931202
"367",77,5,1,2,122,77,NA,NA,5,1,NA,2,3,NA,NA,NA,NA,10.75,0.12115,0.1115,0,0,NA,0.35,0.00315,NA,1.05,0.0182,NA,9.35,0.09975,0.108,0.876106194690266,0.856472166331321,1.1175,6.7,0,0,NA,NA,0.30974957410882
"368",78,5,1,2,104,78,NA,NA,5,1,NA,2,2,NA,NA,NA,NA,52.75,1.24275,0.2345,19.15,0.4637,0.2625,6.8,0.1664,0.245,16.4,0.36585,0.2255,9.95,0.2334,0.2475,0.20779304029304,0.212843613001502,NA,NA,16.35,3.9235,0.2485,NA,-1.12049266661637
"369",31,6,1,2,35,31,NA,NA,6,1,NA,2,2.5,NA,NA,NA,NA,13.675,0.219175,0.151,1.3,0.013875,NA,3.725,0.070325,NA,2.525,0.047575,NA,6.125,0.0874,0.12675,0.484983894997573,0.41876356389571,2.163,11.6,1.8,0.39175,NA,NA,-3.56723878775008
"370",33,6,1,2,37,33,NA,NA,6,1,NA,2,2.5,NA,NA,NA,NA,49.725,0.9144,0.1795,9.85,0.179025,NA,5.45,0.106325,0.18825,16.75,0.323475,NA,17.65,0.305575,0.178,0.415165737298637,0.405662824939113,NA,NA,16.025,2.943,0.17075,NA,7.48733922964286
"371",35,6,1,2,153,35,NA,NA,6,1,NA,2,2.5,NA,NA,NA,NA,48.55,0.690325,0.136,5.025,0.061025,NA,13.525,0.1844,NA,11.175,0.1858,0.1385,18.85,0.259075,0.13125,0.405369496855346,0.398083178354535,NA,NA,14.3,2.0595,0.122,NA,9.40535172941153
"372",44,6,1,2,145,44,NA,NA,6,1,NA,2,2.5,NA,NA,NA,NA,39.55,0.61975,0.15075,10.675,0.1575,NA,11.825,0.19115,NA,5.975,0.1083,NA,11.075,0.162825,0.126,0.270760083584398,0.227918102696727,NA,NA,14.65,2.25475,0.13075,NA,1.38688772086928
"373",54,6,1,2,147,54,NA,NA,6,1,NA,2,2.5,NA,NA,NA,NA,53.475,0.868575,0.1605,9.55,0.14125,0.1525,8.65,0.1436,0.16725,17.55,0.30165,0.18225,17.7,0.282125,0.14525,0.320022123893805,0.297309673188831,NA,NA,22.275,2.8505,0.1235,NA,7.85095388471423
"374",56,6,1,2,149,56,NA,NA,6,1,NA,2,2.5,NA,NA,NA,NA,22.3,0.326275,0.1405,4.05,0.06255,NA,3.925,0.05795,NA,4.775,0.07755,NA,9.55,0.128225,0.1175,0.421729575589299,0.358264176843359,3.0815,18.275,1.575,0.2605,NA,NA,0.0310745742630435
"375",58,6,1,2,151,58,NA,NA,6,1,NA,2,2.5,NA,NA,NA,NA,36.675,0.5828,0.14875,7.475,0.129125,NA,9.275,0.16145,NA,8.375,0.13815,NA,11.55,0.153125,0.1305,0.351598765660532,0.288295966557155,NA,NA,14.15,2.22475,0.15125,NA,1.89489978982416
"376",12,1,2,2,60,12,NA,NA,1,2,NA,2,2,NA,NA,NA,8.8820283805,18.25,0.2306,0.1185,4.5,0.05975,NA,0,0,NA,6,0.0812,0.139,7.7,0.08965,0.116,0.444761904761905,0.449647770837703,2.254,16.2,9.05,1.0615,0.104,NA,-1.45579266723326
"377",15,1,2,2,55,15,NA,NA,1,2,NA,2,2,NA,NA,NA,9.6279864915,28.25,0.5221,0.182,7.35,0.142,0.1945,7.6,0.1424,NA,8.1,0.1701,NA,5.2,0.06765,0.1105,0.181683408736549,0.11006653721447,5.084,26.2,4.55,0.697,0.1585,NA,-5.00392585655074
"378",16,1,2,2,56,16,NA,NA,1,2,NA,2,2,NA,NA,NA,12.945168689,43.1,0.91185,0.1995,10.4,0.24745,NA,10.45,0.1949,0.1625,9.55,0.21805,0.2325,12.7,0.25145,0.1935,0.315947837150127,0.312386730917569,NA,NA,11.65,2.3005,0.1855,NA,2.20721854009405
"379",17,1,2,2,57,17,NA,NA,1,2,NA,2,2,NA,NA,NA,8.869493839,22.9,0.40465,0.1555,7.65,0.1186,NA,2.5,0.0566,NA,5.6,0.12735,0.2085,7.1,0.1021,0.132,0.449445883707542,0.368634975576415,3.9725,20.8,7.75,1.189,NA,NA,-2.66651594289857
"380",18,1,2,2,58,18,NA,NA,1,2,NA,2,2,NA,NA,NA,19.335669705,60,1.0842,0.1805,21.5,0.3654,0.1755,15.7,0.27325,0.173,12.5,0.24405,0.217,10.35,0.20155,0.209,0.1725,0.186398444550618,NA,NA,23.65,4.1165,0.1765,NA,0.17083319516542
"381",19,1,2,2,59,19,NA,NA,1,2,NA,2,2,NA,NA,NA,24.607237335,60,1.0268,0.171,31.65,0.5045,0.159,14.55,0.2746,0.1885,12.8,0.2273,0.156,1,0.02035,NA,0.0166666666666667,0.0198169247249002,NA,NA,33.65,4.717,0.138,NA,-9.0223594772989
"382",25,1,2,2,26,25,NA,NA,1,2,NA,2,2,NA,NA,NA,10.431620648,33.45,0.69265,0.186,4.55,0.0917,NA,6.35,0.13545,NA,11.7,0.2478,0.209,10.8,0.2177,0.185,0.55195652173913,0.533539289633193,NA,NA,12.85,2.597,0.21,NA,0.530050005539497
"383",26,1,2,2,27,26,NA,NA,1,2,NA,2,2,NA,NA,NA,19.095103965,45.05,0.73835,0.167,6.55,0.1178,NA,5.1,0.08625,0.1605,8.15,0.15495,0.1885,25.2,0.37935,0.1355,0.48325827398408,0.453603121218459,7.3655,42.95,7.4,1.14,0.161,NA,15.2436646606109
"384",27,1,2,2,28,27,NA,NA,1,2,NA,2,2,NA,NA,NA,17.0731889,58.7,1.30435,0.222,14.85,0.33305,0.2315,18.05,0.39885,0.2205,8.8,0.20185,0.2325,17.1,0.3707,0.224,0.294474448315912,0.28957215911331,NA,NA,18.8,4.156,0.218,NA,6.23583276435164
"385",28,1,2,2,29,28,NA,NA,1,2,NA,2,2,NA,NA,NA,4.837594374,13.75,0.22615,0.157,2.95,0.0353,NA,5.45,0.1025,NA,1.55,0.02145,NA,3.75,0.0669,0.1855,0.367965367965368,0.400672906789848,1.983,11.65,2.55,0.3335,0.136,NA,-6.04127499461473
"386",29,1,2,2,30,29,NA,NA,1,2,NA,2,2,NA,NA,NA,19.305223985,60,1.3028,0.2175,27.05,0.5526,0.2035,10.55,0.22515,0.2135,14.3,0.34255,0.239,8.05,0.1825,0.226,0.134166666666667,0.140111269953719,NA,NA,27.25,5.102,0.186,NA,-2.73989008049988
"387",86,1,2,2,109.5,86,NA,NA,1,2,NA,2,2.5,NA,NA,NA,NA,41.525,0.80185,0.174,7.525,0.167875,NA,6.625,0.126625,0.207,4.8,0.09535,NA,7.225,0.1405,0.18,0.198682795698925,0.193206046472417,NA,NA,15.3,2.71475,0.157,NA,-2.84687758073122
"388",105,1,2,2,502,105,NA,NA,1,2,NA,2,2,NA,NA,NA,NA,59.1,1.12785,0.1905,11.05,0.15535,0.215,3,0.06155,0.2055,7,0.07355,0.165,3.8,0.0463,0.178,0.0647766323024055,0.0407971934982284,NA,NA,34.3,7.9395,0.231,42.2,-6.54422714960899
"389",106,1,2,2,525,106,NA,NA,1,2,NA,2,3,NA,NA,NA,NA,41,0.73955,0.165,2.9,0.05795,0.1665,8.75,0.1155,0.141,6.7,0.14485,0.2115,7.3,0.12005,0.164,0.229621212121212,0.254785451075213,NA,NA,15.5,3.0375,0.156,5.4,-2.62332327043425
"390",108,1,2,2,504,108,NA,NA,1,2,NA,2,2,NA,NA,NA,NA,45.4,1.06665,0.2235,10.25,0.19285,0.204,7.65,0.20105,0.2535,7.2,0.14105,0.192,9.05,0.23695,0.334,0.253538961038961,0.269815617632486,NA,NA,11.2,2.9465,0.24,14.4,-1.83892628736452
"391",109,1,2,2,527,109,NA,NA,1,2,NA,2,3,NA,NA,NA,NA,17.4,0.26365,0.1455,1.55,0.0318,NA,4.75,0.0818,0.173,3.65,0.0668,NA,7.45,0.08325,0.1105,0.461107748184019,0.358228876068381,2.4875,13.35,0,0,NA,0.5,-2.15145559812416
"392",110,1,2,2,506,110,NA,NA,1,2,NA,2,2,NA,NA,NA,NA,60,1.12315,0.187,8.25,0.16915,0.2275,12.1,0.25845,0.216,6.1,0.08615,0.1585,6.25,0.13015,0.2025,0.104166666666667,0.117099844745653,NA,NA,28.05,4.921,0.175,3.05,-4.03645602893794
"393",70,2,2,2,114,70,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,50.75,0.57115,0.1125,16.35,0.20415,NA,15.15,0.1789,0.122,8.8,0.0773,0.0875,10.4,0.1108,0.104,0.238343373493976,0.226710181279396,NA,NA,10.7,1.6645,0.15,NA,1.34324353963138
"394",118,2,2,2,1014,118,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,21.15,0.2891,0.129,6,0.11765,NA,1.3,0.0282,NA,5.1,0.0575,0.148,4.75,0.08005,0.1905,0.246113276771383,0.418907904052482,2.834,17.05,5.25,0.551,0.14,12.35,-4.57910602924639
"395",129,2,2,2,1046,129,NA,NA,2,2,NA,2,3,NA,NA,NA,NA,42.8,0.7421,0.168,14.6,0.2668,0.1825,7.55,0.12085,NA,12.8,0.23375,0.183,5.85,0.11645,0.1925,0.123255208333333,0.14002136536581,NA,NA,9.55,1.3715,0.1165,12.3,-4.12284137386657
"396",140,2,2,2,1016,140,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,55,1.16235,0.211,23.4,0.47155,0.2015,9.9,0.21455,0.2215,10.15,0.22045,0.2165,11.15,0.254,0.2285,0.2045,0.220076536531996,NA,NA,10.75,1.979,0.1845,17.3,0.467399143603481
"397",143,2,2,2,1048,143,NA,NA,2,2,NA,2,3,NA,NA,NA,NA,60,1.25985,0.21,14.4,0.32295,0.225,13.3,0.25345,0.197,19.75,0.43925,0.2235,12.6,0.24425,0.1995,0.21,0.193336409641647,NA,NA,17.35,3.356,0.198,6.05,1.93390517808092
"398",144,2,2,2,1018,144,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,60,0.54575,0.091,16.4,0.1628,0.083,0,0,NA,30.55,0.23985,0.079,13,0.1431,NA,0.216666666666667,0.273770805433327,NA,NA,24.45,2.1445,0.1035,NA,4.29812328089635
"399",145,2,2,2,1050,145,NA,NA,2,2,NA,2,3,NA,NA,NA,NA,57.65,0.89065,0.1545,14.3,0.2736,0.1945,9.95,0.1445,0.1455,17.65,0.25545,0.1455,13.65,0.2153,0.155,0.238619650391802,0.244305396464485,NA,NA,37.95,5.4325,0.144,1.85,3.89999009157887
"400",146,2,2,2,1020,146,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,45.35,0.7837,0.176,10,0.1883,0.1975,9.6,0.16185,0.1855,12.4,0.19705,0.164,13.1,0.2324,0.176,0.252532573289902,0.261259341678061,NA,NA,21.7,3.438,0.167,15.7,2.9951103503139
"401",11,3,2,2,51,11,NA,NA,3,2,NA,2,2,NA,NA,NA,18.716815175,60,1.29725,0.216,15.25,0.3378,0.224,13.9,0.31735,0.229,14.8,0.3122,0.21,16.05,0.3299,0.208,0.2675,0.25412853099208,NA,NA,37.1,7.045,0.1885,NA,5.28486897121628
"402",13,3,2,2,52,13,NA,NA,3,2,NA,2,2,NA,NA,NA,11.6926927565,38.35,0.76215,0.1965,18.7,0.3866,0.2095,10.85,0.2497,0.243,3.6,0.07285,0.203,5.25,0.05305,0.095,0.16312375249501,0.0743025216951013,7.6015,36.3,11.35,2.073,0.1865,NA,-5.19326335647363
"403",14,3,2,2,53,14,NA,NA,3,2,NA,2,2,NA,NA,NA,15.07808038,43.4,0.5185,0.1185,17,0.11615,0.0685,4.6,0.08185,0.1985,6.75,0.1155,0.173,15.1,0.20505,0.135,0.345386799906049,0.39405711409757,5.149,41.35,14.9,1.4885,0.1,NA,5.94420733276674
"404",20,3,2,2,32,20,NA,NA,3,2,NA,2,2,NA,NA,NA,21.22539592,56.75,1.03575,0.182,15.4,0.2789,0.195,5.35,0.1031,0.193,16.95,0.3285,0.191,16.1,0.26315,0.191,0.298200934579439,0.277032522205595,NA,NA,37.45,6.249,0.1655,NA,5.89607414344926
"405",21,3,2,2,33,21,NA,NA,3,2,NA,2,2,NA,NA,NA,8.1005198215,19.8,0.3535,0.179,3.2,0.0673,NA,4.05,0.0765,NA,1.65,0.03905,0.2055,10.95,0.17065,0.156,0.551228878648233,0.482609779115362,3.481,17.7,6.65,1.2085,0.1805,NA,0.79559224688158
"406",22,3,2,2,34,22,NA,NA,3,2,NA,2,2,NA,NA,NA,12.92207908,36.3,0.71765,0.1965,16.25,0.3238,0.201,7.5,0.13875,0.1885,7.55,0.1694,0.229,4.85,0.0832,0.157,0.132457524410601,0.108355835513576,6.9255,34.25,6.2,1.19,0.1965,NA,-5.59326335647363
"407",23,3,2,2,35,23,NA,NA,3,2,NA,2,2,NA,NA,NA,10.0082601835,33.25,0.7003,0.1805,11.45,0.22915,NA,9.7,0.19995,NA,5.5,0.13765,0.2315,5.4,0.1089,0.18,0.3575,0.290236174115097,NA,NA,14.9,2.891,0.195,NA,-4.77916680483458
"408",24,3,2,2,36,24,NA,NA,3,2,NA,2,2,NA,NA,NA,18.443617535,44.8,0.82245,0.181,9.2,0.16865,0.188,4.55,0.0873,0.195,17.25,0.3421,0.2075,13.45,0.2187,0.162,0.290067567567568,0.258331427794498,NA,NA,18.2,2.9015,0.1535,NA,3.2625801779267
"409",39,3,2,2,144,39,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,24.5,0.3543,0.1345,7.55,0.1242,NA,7.4,0.12005,0.154,1.5,0.0263,NA,8,0.08375,0.1015,0.428406084656085,0.322700250682578,3.482,20.45,3.1,0.446,NA,NA,-1.41988921887231
"410",40,3,2,2,171,40,NA,NA,3,2,NA,2,3,NA,NA,NA,NA,49.3,0.93625,0.186,10.45,0.1911,0.178,15.2,0.3153,0.211,8.9,0.18395,0.2,14.8,0.24595,0.167,0.316891191709845,0.271487584304957,NA,NA,21.25,3.9525,0.178,NA,4.5300500055395
"411",41,3,2,2,146,41,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,25.3,0.36115,0.109,4.95,0.1091,NA,5.1,0.10675,NA,6.05,0.0961,0.1555,9.2,0.0492,0.0605,0.488135930047695,0.0731163620151583,NA,NA,5.2,0.764,NA,NA,0.201014660302421
"412",42,3,2,2,173,42,NA,NA,3,2,NA,2,3,NA,NA,NA,NA,30.4,0.56395,0.1865,3.1,0.0692,0.2175,4.95,0.10965,0.221,3.4,0.06975,0.2045,18.9,0.3154,0.1625,0.593253494376016,0.528006127317794,5.5535,26.35,5.75,1.0645,0.1845,NA,8.62179698830077
"413",43,3,2,2,148,43,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,27.95,0.5187,0.182,1.05,0.0222,NA,1.45,0.02245,NA,8.15,0.1795,0.222,17.35,0.29455,0.1345,0.542779451137885,0.436775937039362,5.1235,23.85,6.1,1.19,0.1955,NA,7.14607414344926
"414",45,3,2,2,175,45,NA,NA,3,2,NA,2,3,NA,NA,NA,NA,23.9,0.4268,0.1605,2.7,0.0571,NA,4.95,0.1036,0.1985,3.6,0.0761,NA,12.65,0.19005,0.139,0.590968602254819,0.514166787049463,4.224,19.8,5.7,1.0965,NA,NA,2.80095388471423
"415",46,3,2,2,150,46,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,22.4,0.4187,0.1865,4.15,0.0974,0.242,5.5,0.1225,0.2395,4,0.09155,0.2285,8.75,0.10725,0.12,0.395812603648425,0.250266107326948,4.0915,18.4,6.1,1.291,0.2205,NA,-1.52820301169922
"416",47,3,2,2,177,47,NA,NA,3,2,NA,2,3,NA,NA,NA,NA,12.8,0.15525,0.121,0,0,NA,2.9,0.0504,NA,1.35,0.0296,NA,8.55,0.0753,0.079,0.640265265265265,0.448803027178479,1.508,8.8,3.65,0.425,0.1175,NA,-0.647057753426865
"417",48,3,2,2,152,48,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,60,0.943,0.1575,13.05,0.1718,0.129,13.95,0.22125,0.162,15.45,0.2643,0.1735,17.6,0.28565,0.1685,0.293333333333333,0.307144493808422,NA,NA,33.65,4.975,0.1475,NA,7.80047198814655
"418",49,3,2,2,179,49,NA,NA,3,2,NA,2,3,NA,NA,NA,NA,14.4,0.17715,0.1165,0,0,NA,6.45,0.1086,0.162,0,0,NA,7.95,0.0686,0.086,0.622329447202544,0.496061643545967,1.662,10.35,1.45,0.146,NA,NA,-1.17278059827838
"419",50,3,2,2,154,50,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,8.5,0.10705,0.125,0.75,0.0135,NA,0,0,NA,2.2,0.04625,0.2315,5.55,0.0473,0.0855,0.654166666666667,0.468829373342187,0.9375,4.4,0,0,NA,NA,-3.71308189133663
"420",51,3,2,2,181,51,NA,NA,3,2,NA,2,3,NA,NA,NA,NA,9.65,0.1116,0.113,0,0,NA,2.25,0.03595,0.1585,0,0,NA,7.4,0.0756,0.093,0.74659977703456,0.614530886350312,1.0095,5.55,1.35,0.344,NA,NA,-1.66500947760734
"421",52,3,2,2,156,52,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,22.95,0.328,0.127,5.4,0.0786,NA,0.8,0.01155,NA,10.65,0.1857,0.16,6.1,0.0521,0.086,0.394913709631486,0.291063124398945,3.1795,18.9,1.1,0.106,NA,NA,-3.19609396029151
"422",60,3,2,2,96,60,NA,NA,3,2,NA,2,2,NA,NA,NA,NA,16.4,0.2553,0.1555,3.7,0.0651,NA,1.3,0.0237,NA,5.5,0.11165,0.2095,5.95,0.0548,0.09,0.363134411600669,0.215654099477629,2.4425,12.3,1.05,0.189,NA,NA,-3.81651594289857
"423",71,3,2,2,116,71,NA,NA,3,2,NA,2,3,NA,NA,NA,NA,14.45,0.2328,0.153,0.25,0.0083,NA,2.2,0.05055,0.231,3.45,0.0678,0.1045,8.55,0.10615,0.109,0.600830682219866,0.412456399903948,2.257,10.4,2.2,0.342,NA,NA,-1.17525085670496
