date,week,201012-1,201012-2,201012-3,201012-4,201012-5,201012-6,201012-7,201012-8,201012-9,201012-10,201012-11,201012-12,201012-13,201012-14,201012-15,201012-16,201012-17,201012-18,201012-19,201012-20,201012-21,201012-22,201012-23,201012-24,201012-25,201012-26,201012-27,,E4HN,E3HN,E33
10/16,1,142.00,123.00,145.00,116.00,185.00,128.00,161.00,98.00,123.00,147.00,105.00,171.00,151.00,,150.00,138.00,109.00,150.00,138.00,160.00,141.00,244.00,195.00,134.00,160.00,187.00,145.00,,136.80,142.33,157.77
12/2,8,173.00,191.00,198.00,241.00,241.00,206.00,193.00,177.00,202.00,186.00,186.00,167.00,221.00,,195.00,151.00,155.00,173.00,183.00,189.00,192.00,183.00,214.00,247.00,198.00,267.00,190.00,,200.80,191.33,195.15
3/10,26,,,,237.00,264.00,236.00,137.00,,140.00,,,,,,,,208.00,210.00,193.00,202.00,137.00,131.00,143.00,149.00,223.00,180.00,238.00,,202.80,,183.09
