"","Animal","Genotype","Diet","Day","Sex","Time","Distance","TimeNorm","DistNorm","Quadrant"
"1","190715_10","E22","Control","Probe_D5","M",30.1,0.5744,0.502504173622704,0.54455821008722,"SW"
"2","190715_5","E22","Control","Probe_D5","M",34.1,0.5475,0.568333333333333,0.497139743938981,"SW"
"3","190715_6","E22","Control","Probe_D5","M",27.6,0.5772,0.460767946577629,0.466461936318086,"SW"
"4","190715_7","E22","Control","Probe_D5","F",16.2,0.348,0.270450751252087,0.304248994579472,"SW"
"5","190715_8","E22","Control","Probe_D5","F",21.8,0.471,0.363939899833055,0.384583979750143,"SW"
"6","190715_9","E22","Control","Probe_D5","M",13.5,0.3029,0.225,0.250579086697551,"SW"
"7","191028_3","E22","Control","Probe_D5","F",24.7,0.4989,0.412353923205342,0.411328221617611,"SW"
"8","191028_4","E22","Control","Probe_D5","F",30.5,0.4783,0.508333333333333,0.471231527093596,"SW"
"9","191028_5","E22","Control","Probe_D5","F",40.2,0.7684,0.67,0.634516928158547,"SW"
"10","191028_6","E22","Control","Probe_D5","M",23.7,0.4758,0.395,0.394625528738492,"SW"
"11","191028_7","E22","Control","Probe_D5","M",35.3,0.6876,0.588333333333333,0.610440340909091,"SW"
"12","210222_16","E22","Control","Probe_D5","M",26.8,0.5514,0.516377649325626,0.509188290700896,"SW"
"13","210222_17","E22","Control","Probe_D5","F",29,0.5476,0.483333333333333,0.454439834024896,"SW"
"14","210503-18","E22","Control","Probe_D5","M",23.4,0.5193,0.515418502202643,0.564640643688159,"SW"
"15","210503-19","E22","Control","Probe_D5","M",18.4,0.3808,0.341372912801484,0.345679012345679,"SW"
"16","210503-20","E22","Control","Probe_D5","M",27.2,0.5922,0.465753424657534,0.483981693363844,"SW"
"17","210503-21","E22","Control","Probe_D5","F",34.3,0.6589,0.602811950790861,0.593496667267159,"SW"
"18","210503-22","E22","Control","Probe_D5","F",21.8,0.3956,0.406716417910448,0.447815259225719,"SW"
"19","190715_1","E33","Control","Probe_D5","M",17.7,0.3845,0.295,0.284225310467179,"SW"
"20","190715_2","E33","Control","Probe_D5","M",33.3,0.7157,0.555,0.541049289386151,"SW"
"21","190715_3","E33","Control","Probe_D5","M",42.9,0.6921,0.715,0.716607993373369,"SW"
"22","190909_2","E33","Control","Probe_D5","M",22.2,0.4865,0.37,0.36452869773715,"SW"
"23","190909_3","E33","Control","Probe_D5","F",22,0.434,0.366666666666667,0.378840782122905,"SW"
"24","190909_4","E33","Control","Probe_D5","F",21,0.4598,0.35,0.339260680292186,"SW"
"25","190909_8","E33","Control","Probe_D5","M",17.3,0.3552,0.290756302521008,0.280768318709983,"SW"
"26","190909_9","E33","Control","Probe_D5","F",14.7,0.2665,0.245,0.301402397647591,"SW"
"27","210118-15","E33","HFD","Probe_D5","F",46.4,0.6743,0.772046589018303,0.756875070153777,"SW"
"28","210118-16","E33","HFD","Probe_D5","F",36.8,0.6313,0.613333333333333,0.603941452214675,"SW"
"29","210118-17","E33","HFD","Probe_D5","F",43,0.6772,0.717863105175292,0.615133072940322,"SW"
"30","210118-18","E33","HFD","Probe_D5","F",38.2,0.7316,0.636666666666667,0.651121395514418,"SW"
"31","210118-19","E33","HFD","Probe_D5","F",40.3,0.7379,0.670549084858569,0.656436260119207,"SW"
"32","210118-20","E33","HFD","Probe_D5","F",30.7,0.5697,0.512520868113523,0.492862704386193,"SW"
"33","210118-21","E33","HFD","Probe_D5","F",35.3,0.6212,0.588333333333333,0.551638398010834,"SW"
"34","210118-22","E33","HFD","Probe_D5","M",36.9,0.613,0.615,0.588913440292055,"SW"
"35","210118-23","E33","HFD","Probe_D5","M",26,0.4074,0.43261231281198,0.444565691837625,"SW"
"36","210118-24","E33","HFD","Probe_D5","M",26.9,0.364,0.448333333333333,0.448055145248646,"SW"
"37","210118-25","E33","HFD","Probe_D5","M",52.1,0.6687,0.868333333333333,0.856100371271284,"SW"
"38","210118-26","E33","HFD","Probe_D5","M",43.2,0.7189,0.72,0.694656488549618,"SW"
"39","210118-27","E33","HFD","Probe_D5","M",32.8,0.4927,0.546666666666667,0.523870281765019,"SW"
"40","210201_1","E33","Control","Probe_D5","F",35,0.7045,0.583333333333333,0.545531980796035,"SW"
"41","210201_2","E33","Control","Probe_D5","F",31.3,0.7343,0.52253756260434,0.536298568507157,"SW"
"42","210201_3","E33","Control","Probe_D5","F",43.7,0.8219,0.729549248747913,0.736337573911485,"SW"
"43","210201_4","E33","Control","Probe_D5","F",36.5,0.8228,0.607321131447587,0.590201563732874,"SW"
"44","210201_5","E33","Control","Probe_D5","F",33.6,0.5897,0.56,0.492360357351591,"SW"
"45","210222_7","E33","Control","Probe_D5","F",25.7,0.5168,0.620772946859903,0.581654473832302,"SW"
"46","210222_8","E33","Control","Probe_D5","F",33,0.6712,0.571923743500866,0.555215485151791,"SW"
"47","210222_9","E33","Control","Probe_D5","F",34.7,0.7285,0.641404805914972,0.622915775972638,"SW"
"48","210222_10","E33","Control","Probe_D5","F",43.2,0.7218,0.72,0.689332441982619,"SW"
"49","210222_11","E33","Control","Probe_D5","F",29.9,0.6481,0.566287878787879,0.549190746546903,"SW"
"50","210222_12","E33","Control","Probe_D5","F",44.9,0.7596,0.748333333333333,0.742304309586632,"SW"
"51","210222_13","E33","Control","Probe_D5","M",29.1,0.4991,0.484193011647255,0.438229870928088,"SW"
"52","210222_14","E33","Control","Probe_D5","M",46.4,0.7501,0.805555555555556,0.804310529701909,"SW"
"53","210222_15","E33","Control","Probe_D5","M",38.6,0.6328,0.678383128295255,0.697069839171624,"SW"
"54","210503-1","E33","Control","Probe_D5","M",29.1,0.5804,0.504332755632582,0.490824524312896,"SW"
"55","210503-2","E33","Control","Probe_D5","M",20.9,0.4452,0.426530612244898,0.427337300825494,"SW"
"56","210503-3","E33","Control","Probe_D5","M",47.7,0.7097,0.844247787610619,0.824561403508772,"SW"
"57","210503-4","E33","Control","Probe_D5","M",36.9,0.62,0.641739130434783,0.612224745729239,"SW"
"58","210503-5","E33","Control","Probe_D5","M",17.9,0.3011,0.339015151515151,0.357643425584986,"SW"
"59","210503-6","E33","Control","Probe_D5","M",43.5,0.742,0.763157894736842,0.784106520131037,"SW"
"60","210503-7","E33","Control","Probe_D5","F",30.7,0.5651,0.540492957746479,0.533717415942576,"SW"
"61","210503-8","E33","Control","Probe_D5","F",10.8,0.2342,0.274111675126904,0.271284605583227,"SW"
"62","210503-9","E33","Control","Probe_D5","F",31,0.6115,0.564663023679417,0.532294568245125,"SW"
"63","210503-10","E33","Control","Probe_D5","F",23.7,0.4577,0.417253521126761,0.426282946819409,"SW"
"64","210503-11","E33","Control","Probe_D5","F",5.1,0.0981,0.11283185840708,0.117555422408628,"SW"
"65","210503-12","E33","Control","Probe_D5","F",13.9,0.2397,0.279678068410463,0.291251518833536,"SW"
"66","210503-13","E33","Control","Probe_D5","F",28.7,0.553,0.626637554585153,0.619955156950673,"SW"
"67","210503-14","E33","Control","Probe_D5","F",9.6,0.1993,0.25,0.241605043035519,"SW"
"68","210503-15","E33","Control","Probe_D5","F",27.4,0.5499,0.509293680297398,0.496120534103212,"SW"
"69","210503-16","E33","Control","Probe_D5","F",7.7,0.1602,0.5,0.510516252390057,"SW"
"70","210503-17","E33","Control","Probe_D5","F",15,0.2544,0.348837209302326,0.36426116838488,"SW"
"71","061019_1","E44","Control","Probe_D5","M",16.3,0.3068,0.271666666666667,0.275379229871645,"SW"
"72","061019_10","E44","Control","Probe_D5","F",25.2,0.4041,0.42,0.339095409918604,"SW"
"73","061019_2","E44","Control","Probe_D5","M",34.9,0.671,0.581666666666667,0.533386327503975,"SW"
"74","061019_3","E44","Control","Probe_D5","M",48.1,0.7838,0.801666666666667,0.788372560852947,"SW"
"75","061019_4","E44","Control","Probe_D5","M",13.8,0.197,0.23,0.201225740551583,"SW"
"76","061019_5","E44","Control","Probe_D5","M",20.8,0.4425,0.346666666666667,0.333057353605299,"SW"
"77","061019_6","E44","Control","Probe_D5","F",41.7,0.6798,0.695,0.637173118380354,"SW"
"78","061019_7","E44","Control","Probe_D5","F",20.2,0.378,0.337228714524207,0.33549303275051,"SW"
"79","061019_8","E44","Control","Probe_D5","F",25.1,0.4001,0.417637271214642,0.400741185897436,"SW"
"80","061019_9","E44","Control","Probe_D5","F",3.8,0.0764,0.0633333333333333,0.116445663770767,"SW"
"81","210201_6","E44","Control","Probe_D5","F",33.2,0.6423,0.553333333333333,0.528120374938332,"SW"
"82","210201_7","E44","Control","Probe_D5","F",30.5,0.644,0.508333333333333,0.479630595069636,"SW"
"83","210201_8","E44","Control","Probe_D5","F",32.7,0.6609,0.546822742474916,0.511018325214567,"SW"
"84","210201_9","E44","Control","Probe_D5","F",45.4,0.7112,0.756666666666667,0.69108930133126,"SW"
"85","210201_10","E44","Control","Probe_D5","F",29.8,0.5987,0.496666666666667,0.450828313253012,"SW"
"86","210201_11","E44","Control","Probe_D5","M",30.7,0.5012,0.510815307820299,0.486932866996988,"SW"
"87","210201_12","E44","Control","Probe_D5","M",27.6,0.3686,0.460767946577629,0.430105017502917,"SW"
"88","210201_13","E44","Control","Probe_D5","M",29.4,0.4727,0.490818030050083,0.443891445206123,"SW"
"89","210201_14","E44","Control","Probe_D5","M",39,0.7344,0.64891846921797,0.629737609329446,"SW"
"90","210201_15","E44","Control","Probe_D5","M",29.1,0.4516,0.485,0.491992591785598,"SW"
"91","210201_16","E44","Control","Probe_D5","M",27.5,0.5214,0.458333333333333,0.442614601018676,"SW"
"92","210201_17","E44","Control","Probe_D5","M",36.3,0.7464,0.605,0.602275478092472,"SW"
