"","Animal","Genotype","Diet","Day","Sex","Time","Distance","TimeNorm","DistNorm","Quadrant"
"209","210503-8","E33","Control","Probe_D8","F",11.2,0.2665,0.25629290617849,0.25873786407767,"SW"
"210","210503-9","E33","Control","Probe_D8","F",20.8,0.4884,0.370106761565836,0.375605629470122,"SW"
"211","210503-10","E33","Control","Probe_D8","F",23.8,0.5202,0.406837606837607,0.403162055335968,"SW"
"212","210503-11","E33","Control","Probe_D8","F",13.7,0.2968,0.330120481927711,0.358844154273969,"SW"
"213","210503-12","E33","Control","Probe_D8","F",8.2,0.1842,0.154425612052731,0.162290748898678,"SW"
"214","210503-13","E33","Control","Probe_D8","F",27.7,0.5456,0.49113475177305,0.463669584431036,"SW"
"215","210503-14","E33","Control","Probe_D8","F",8.7,0.1983,0.2,0.207839849072424,"SW"
"216","210503-15","E33","Control","Probe_D8","F",15.6,0.378,0.321649484536082,0.333568655135898,"SW"
"217","210503-16","E33","Control","Probe_D8","F",12.4,0.2624,0.449275362318841,0.43842940685046,"SW"
"218","210503-17","E33","Control","Probe_D8","F",12.4,0.2109,0.344444444444444,0.316761790327426,"SW"
"219","061019_1","E44","Control","Probe_D8","M",17,0.3449,0.283333333333333,0.286676086775829,"SW"
"220","061019_10","E44","Control","Probe_D8","F",35.8,0.6112,0.59567387687188,0.51155005021761,"SW"
"221","061019_2","E44","Control","Probe_D8","M",38.9,0.6231,0.648333333333333,0.660693457745732,"SW"
"222","061019_3","E44","Control","Probe_D8","M",24.7,0.5317,0.410981697171381,0.406996325780772,"SW"
"223","061019_4","E44","Control","Probe_D8","M",27.7,0.5181,0.461666666666667,0.465791602984806,"SW"
"224","061019_5","E44","Control","Probe_D8","M",29.2,0.6838,0.486666666666667,0.485998578535892,"SW"
"225","061019_6","E44","Control","Probe_D8","F",28.5,0.5476,0.475,0.4421834625323,"SW"
"226","061019_7","E44","Control","Probe_D8","F",28.9,0.5386,0.482470784641068,0.466118563392471,"SW"
"227","061019_8","E44","Control","Probe_D8","F",21.6,0.3951,0.36,0.327367636092468,"SW"
"228","061019_9","E44","Control","Probe_D8","F",21.4,0.4696,0.356073211314476,0.363918164910105,"SW"
"229","210201_6","E44","Control","Probe_D8","F",12.6,0.2602,0.21,0.190538957234915,"SW"
"230","210201_7","E44","Control","Probe_D8","F",24.9,0.5151,0.415692821368948,0.390286407031368,"SW"
"231","210201_8","E44","Control","Probe_D8","F",22.8,0.5293,0.380634390651085,0.345992940253628,"SW"
"232","210201_9","E44","Control","Probe_D8","F",30.3,0.6747,0.505,0.474205791397245,"SW"
"233","210201_10","E44","Control","Probe_D8","F",23.2,0.4343,0.386023294509151,0.375562089242477,"SW"
"234","210201_11","E44","Control","Probe_D8","M",31.3,0.4767,0.521666666666667,0.460179554011005,"SW"
"235","210201_12","E44","Control","Probe_D8","M",13.8,0.1393,0.23,0.189343482397717,"SW"
"236","210201_13","E44","Control","Probe_D8","M",27.5,0.4877,0.458333333333333,0.394707024927161,"SW"
"237","210201_14","E44","Control","Probe_D8","M",33.1,0.6168,0.550748752079867,0.530124623979373,"SW"
"238","210201_15","E44","Control","Probe_D8","M",23.8,0.4026,0.396666666666667,0.441883437602898,"SW"
"239","210201_16","E44","Control","Probe_D8","M",18.2,0.3603,0.303333333333333,0.321208879379513,"SW"
"240","210201_17","E44","Control","Probe_D8","M",37.5,0.6866,0.625,0.605040535777229,"SW"
"241","210201_18","E44","Control","Probe_D8","M",37.6,0.7137,0.626666666666667,0.615948908259256,"SW"
"242","210201_19","E2HN","Control","Probe_D8","M",24.6,0.4345,0.41,0.430325839358225,"SW"
"243","210614-1","E2HN","HFD","Probe_D8","F",19.1,0.3223,0.321548821548822,0.31828955164922,"SW"
"244","210614-2","E2HN","HFD","Probe_D8","F",25.5,0.5603,0.436643835616438,0.448850436593768,"SW"
"245","210614-3","E2HN","HFD","Probe_D8","F",22.5,0.473,0.394736842105263,0.458866899495537,"SW"
"246","210614-4","E2HN","HFD","Probe_D8","F",15.8,0.3926,0.27008547008547,0.275779713402641,"SW"
"247","210614-5","E2HN","HFD","Probe_D8","F",12.9,0.2829,0.219761499148211,0.230938775510204,"SW"
"248","210614-6","E2HN","HFD","Probe_D8","M",13.9,0.314,0.232053422370618,0.258393680052666,"SW"
"249","210614-7","E2HN","HFD","Probe_D8","M",25.7,0.4503,0.441580756013746,0.437226915234489,"SW"
"250","210118-11","E3HN","HFD","Probe_D8","F",39.6,0.639,0.66110183639399,0.730703259005146,"SW"
"251","210118-12","E3HN","HFD","Probe_D8","F",41.9,0.6381,0.698333333333333,0.738883742473367,"SW"
"252","210118-13","E3HN","HFD","Probe_D8","M",40.9,0.6836,0.681666666666667,0.674228227635862,"SW"
"253","210222_1","E3HN","Control","Probe_D8","F",30.7,0.6814,0.530224525043178,0.52471892807639,"SW"
"254","210222_2","E3HN","Control","Probe_D8","F",19.2,0.4394,0.335664335664336,0.377361731363792,"SW"
"255","210222_3","E3HN","Control","Probe_D8","M",29.5,0.4667,0.626326963906582,0.592033489788152,"SW"
