Animal_ID,Experiment,Trial,Box,Treatment,Sex,Genotype,,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Month
211004-17,VF102621_105123,day1_trial7,Chamber1,HFD,male,APOE44HN,,White House Light,36,287.733,95.91,95.91,0.99,0,93,October
211004-19,VF102621_105123,day1_trial7,Chamber 2,Control,male,APOE44,,White House Light,23,297.067,99.02,99.02,0.35,0,59,October
211004-20,VF102621_105949,day1_trial8,Chamber1,Control,female,APOE44,,White House Light,31,284.233,94.74,94.74,2.17,0,320,October
211004-21,VF102621_105949,day1_trial8,Chamber 2,Control,male,APOE44HN,,White House Light,14,298.6,99.53,99.53,0.3,0,53,October
,,,,,,,,,,,,,,,,
211122-1,VF121421_095945,day1_trial1,Chamber1,HFD,female,APOE22HN,,White House Light,67,272.533,90.84,90.84,3.91,0,487,November
211122-2,VF121421_095945,day1_trial1,Chamber 2,HFD,female,APOE22HN,,White House Light,103,231,77,77,7.33,0,371,November
211122-3,VF121421_100556,day1_trial2,Chamber1,HFD,female,APOE22HN,,White House Light,9,298.933,99.64,99.64,0.22,0,231,November
211122-4,VF121421_100556,day1_trial2,Chamber 2,HFD,female,APOE22HN,,White House Light,95,187.033,62.34,62.34,15.57,0,593,November
211122-5,VF121421_101350,day1_trial3,Chamber1,HFD,female,APOE22HN,,White House Light,89,257.2,85.73,85.73,5.42,0,419,November
211122-6,VF121421_101350,day1_trial3,Chamber 2,HFD,female,APOE22HN,,White House Light,128,197.733,65.91,65.91,13.2,0,480,November
211122-7,VF121421_102150,day1_trial4,Chamber1,HFD,female,APOE22HN,,White House Light,42,281.167,93.72,93.72,21.84,0,22553,November
211122-8,VF121421_102150,day1_trial4,Chamber 2,HFD,female,APOE22HN,,White House Light,127,168.133,56.04,56.04,15.5,0,443,November
211122-9,VF121421_102944,day1_trial5,Chamber1,Control,male,APOE22HN,,White House Light,3,299.9,99.97,99.97,0.04,0,38,November
211122-10,VF121421_102944,day1_trial5,Chamber 2,Control,male,APOE22HN,,White House Light,85,251.767,83.92,83.92,5.84,0,587,November
211122-11,VF121421_103735,day1_trial6,Chamber1,Control,male,APOE22HN,,White House Light,74,250.967,83.66,83.66,8.51,0,609,November
