,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000000001,240.2736712,0.193849769,0.283513389,0.129356257,0.687103153
ENSMUSG00000000028,24.80725419,0.070175536,0.238254326,0.287009401,0.890725263
ENSMUSG00000000037,0.383539679,0.006607211,0.233417455,0.692276307,0.999871382
ENSMUSG00000000049,18.65109151,-0.052479075,0.238761967,0.171949128,0.759855834
ENSMUSG00000000056,452.6594528,0.342552003,0.31316869,0.039194098,0.419514648
ENSMUSG00000000058,8.600815322,0.020759486,0.232021728,0.535785923,0.999871382
ENSMUSG00000000078,699.3896083,0.181363465,0.236047123,0.170118898,0.757216816
ENSMUSG00000000085,110.745201,-0.523043095,0.48538746,0.012943009,0.245292332
ENSMUSG00000000088,1909.046186,0.053787155,0.174228713,0.64129917,0.999871382
ENSMUSG00000000093,4.635638445,0.006178754,0.232871804,0.552482318,0.999871382
ENSMUSG00000000094,0.139041316,-0.002766968,0.233359847,0.700661568,0.999871382
ENSMUSG00000000120,29.66774197,0.007420849,0.22657987,0.893871095,0.999871382
ENSMUSG00000000126,0.273451748,0.000544801,0.233284293,0.861472581,0.999871382
ENSMUSG00000000127,81.5637113,-0.060223058,0.221690624,0.487019651,0.999871382
ENSMUSG00000000131,982.7281426,-0.078942535,0.173469673,0.509204692,0.999871382
ENSMUSG00000000134,456.559931,0.173485976,0.203609959,0.191267132,0.786447909
ENSMUSG00000000142,22.34852902,0.009981807,0.228229085,0.854220672,0.999871382
ENSMUSG00000000148,182.0821636,-0.072912406,0.214388117,0.483897539,0.999871382
ENSMUSG00000000149,204.2196412,0.556908725,0.32211841,0.008544376,0.196867149
ENSMUSG00000000154,8.406207592,-0.009590085,0.230621797,0.805475051,0.999871382
ENSMUSG00000000157,21.70063711,0.014616608,0.228266457,0.737341335,0.999871382
ENSMUSG00000000159,0.398409959,-0.001366242,0.233301894,0.73189694,0.999871382
ENSMUSG00000000167,1.382972322,0.034668113,0.236850379,0.170226377,0.757541837
ENSMUSG00000000168,90.47950433,0.028025056,0.223432024,0.689669998,0.999871382
ENSMUSG00000000171,211.474426,0.181480614,0.238527068,0.172163858,0.759903816
ENSMUSG00000000183,1.088128162,-0.013892482,0.233476787,0.549403131,0.999871382
ENSMUSG00000000184,610.3731681,-0.118948984,0.209041576,0.338327458,0.9283847
ENSMUSG00000000194,318.0005089,-0.098335975,0.193577895,0.415249222,0.972442556
ENSMUSG00000000197,0.974911617,0.003637692,0.232643796,0.63409523,0.999871382
ENSMUSG00000000202,0.703682904,-0.0066065,0.23343459,0.622470831,0.999871382
ENSMUSG00000000204,262.4695185,0.091239772,0.239036799,0.274400809,0.877511157
ENSMUSG00000000216,0.109015991,0.003243328,0.233353596,0.67494744,0.999871382
ENSMUSG00000000223,9.442938769,0.009381355,0.229804551,0.811600851,0.999871382
ENSMUSG00000000244,542.3810667,0.033882071,0.172711859,0.771853277,0.999871382
ENSMUSG00000000248,20.25583538,0.011216902,0.228786125,0.849605997,0.999871382
ENSMUSG00000000253,1034.705561,-0.002470869,0.203068335,0.977556574,0.999871382
ENSMUSG00000000266,2.077683847,0.030475867,0.231566614,0.482896823,0.999871382
ENSMUSG00000000275,540.8006396,0.234519512,0.224730984,0.094690758,0.613522434
ENSMUSG00000000276,40.75330414,0.099183033,0.244563911,0.248400763,0.847944237
ENSMUSG00000000278,367.0621494,0.098221042,0.210435031,0.401274264,0.963928927
ENSMUSG00000000282,269.8584453,0.019617741,0.187225993,0.864713617,0.999871382
ENSMUSG00000000290,5366.081596,0.229290263,0.184810417,0.087439435,0.593616721
ENSMUSG00000000295,72.08821203,-0.049602977,0.219406085,0.55854655,0.999871382
ENSMUSG00000000301,17.4671276,-0.069879935,0.245920971,0.061771696,0.513477681
ENSMUSG00000000303,8.324534787,0.047406543,0.236733298,0.212547427,0.810804598
ENSMUSG00000000308,0.765235761,-0.000539495,0.233167526,0.761247102,0.999871382
ENSMUSG00000000317,0.981232935,0.002305166,0.233198585,0.686553425,0.999871382
ENSMUSG00000000318,58.57247376,-0.16624655,0.284226429,0.114008139,0.659163917
ENSMUSG00000000320,18974.64492,0.165023935,0.249572964,0.165019593,0.747485989
ENSMUSG00000000326,7230.268448,-0.050550724,0.226793763,0.431077594,0.978604897
ENSMUSG00000000339,153.9345364,-0.133245431,0.193866008,0.278961736,0.880668696
ENSMUSG00000000340,60.58839056,-0.064858082,0.222080597,0.480138681,0.999871382
ENSMUSG00000000346,15370.00739,0.08318554,0.221804692,0.377923444,0.951057967
ENSMUSG00000000355,91.77642466,-0.033266621,0.213626103,0.711348859,0.999871382
ENSMUSG00000000359,11.71271049,0.019125237,0.231030661,0.624206587,0.999871382
ENSMUSG00000000365,2.790874514,0.004702553,0.232738845,0.901380337,0.999871382
ENSMUSG00000000374,193.0005206,0.162977665,0.284074224,0.113940534,0.659163917
ENSMUSG00000000378,858.0282737,0.052236056,0.142695553,0.648333223,0.999871382
ENSMUSG00000000384,329.6778893,-0.008431554,0.195570068,0.934580258,0.999871382
ENSMUSG00000000385,0.137812725,-0.000117281,0.233278613,0.971810505,0.999871382
ENSMUSG00000000386,67.07249952,-0.035945824,0.22517954,0.620347684,0.999871382
ENSMUSG00000000392,3.323959998,0.032710348,0.235171149,0.226297845,0.824452855
ENSMUSG00000000399,344.5997242,-0.45975533,0.359565414,0.017747077,0.288078603
ENSMUSG00000000402,2.404797137,0.008180242,0.231735287,0.752734764,0.999871382
ENSMUSG00000000409,952.617396,-0.158379987,0.239436153,0.201753585,0.797868469
ENSMUSG00000000411,0.743217425,0.001137107,0.233315002,0.902248341,0.999871382
ENSMUSG00000000420,3210.284403,0.167347557,0.260187411,0.136982156,0.70173028
ENSMUSG00000000439,100.7314995,0.016136837,0.219736128,0.834304697,0.999871382
ENSMUSG00000000440,16.79077567,-0.022000273,0.230171232,0.606161659,0.999871382
ENSMUSG00000000441,526.1897128,0.166758814,0.230282148,0.19462113,0.789926856
ENSMUSG00000000486,7979.341313,-0.518011836,0.348612588,0.008320067,0.194776708
ENSMUSG00000000489,14.85308941,0.046512823,0.234343437,0.336541884,0.926351146
ENSMUSG00000000530,112.4294701,-0.625148903,0.852697216,0.010019072,0.21163572
ENSMUSG00000000531,26.15226196,0.002368021,0.225241259,0.967745035,0.999871382
ENSMUSG00000000532,84.48284407,0.086185067,0.238067645,0.294906106,0.896671247
ENSMUSG00000000538,205.2803316,0.182771266,0.266308584,0.142809011,0.71482543
ENSMUSG00000000552,662.5688998,-0.401065302,0.471697966,0.025125966,0.338124005
ENSMUSG00000000555,315.8728768,-0.043299246,0.21184147,0.646252722,0.999871382
ENSMUSG00000000560,9.796419804,-0.047587306,0.225627621,0.510103291,0.999871382
ENSMUSG00000000561,175.8447985,0.035153327,0.19848803,0.800617631,0.999871382
ENSMUSG00000000562,31.01830568,-0.103053344,0.257295137,0.115266934,0.661133753
ENSMUSG00000000563,1201.219598,0.072802535,0.119951764,0.475310796,0.999871382
ENSMUSG00000000567,0.701864451,-0.000538385,0.233210709,0.713862174,0.999871382
ENSMUSG00000000568,710.3991842,0.099421664,0.172202831,0.410389861,0.96828189
ENSMUSG00000000579,107.8052332,-0.008763537,0.220662717,0.892426575,0.999871382
ENSMUSG00000000581,78.21076093,-0.028442046,0.222905644,0.686558624,0.999871382
ENSMUSG00000000594,3062.493113,-0.10743581,0.155436248,0.367858887,0.947364553
ENSMUSG00000000600,96.61106018,0.022332882,0.213682712,0.802945083,0.999871382
ENSMUSG00000000605,238.3682621,0.102056816,0.217845301,0.368824036,0.947637418
ENSMUSG00000000606,4.182930463,0.013820863,0.233033766,0.38334356,0.952897424
ENSMUSG00000000617,3.348629911,0.02209653,0.233724098,0.240004039,0.839911194
ENSMUSG00000000627,50.92670334,-0.028454331,0.225877709,0.657977246,0.999871382
ENSMUSG00000000628,101.0472192,-0.025019242,0.221598775,0.727575888,0.999871382
ENSMUSG00000000631,556.2069377,0.058183214,0.199746124,0.600101312,0.999871382
ENSMUSG00000000632,1.367740211,0.005876696,0.233319209,0.834989801,0.999871382
ENSMUSG00000000673,684.8417117,-0.230881539,0.250961637,0.087621092,0.593616721
ENSMUSG00000000682,4496.185731,-0.435674427,0.307069948,0.01792341,0.288916888
ENSMUSG00000000686,50.33932091,0.006176596,0.218701421,0.944208385,0.999871382
ENSMUSG00000000690,3.684479894,0.054862529,0.241171447,0.041076377,0.427163232
ENSMUSG00000000693,70.68957042,0.071457535,0.237844494,0.245532145,0.846350349
ENSMUSG00000000706,1.805774727,0.008816934,0.233316789,0.911054147,0.999871382
ENSMUSG00000000708,115.545764,0.01288532,0.22427615,0.853877566,0.999871382
ENSMUSG00000000711,726.5910461,0.242784997,0.166411998,0.060508617,0.509078241
ENSMUSG00000000724,0.723704216,0.003263188,0.233289886,0.809106365,0.999871382
ENSMUSG00000000730,0.115472485,0.000698665,0.233278513,0.884544949,0.999871382
ENSMUSG00000000731,3.75510971,-0.020887152,0.233849864,0.381966403,0.951801066
ENSMUSG00000000732,380.2394383,0.096348566,0.20208602,0.424123001,0.976321633
ENSMUSG00000000738,410.9060287,-0.070164824,0.184072486,0.556023371,0.999871382
ENSMUSG00000000739,19.00427985,0.050436968,0.232891143,0.393291135,0.960572415
ENSMUSG00000000740,30222.03071,-0.688881342,0.23950092,0.000254783,0.020744984
ENSMUSG00000000743,1489.407037,-0.124028508,0.165553823,0.302624746,0.902781652
ENSMUSG00000000751,492.738523,0.106262617,0.192974778,0.390358142,0.958103255
ENSMUSG00000000753,12.27175383,-0.03519384,0.235292279,0.248824819,0.84841795
ENSMUSG00000000759,85.63739349,0.062399326,0.232202334,0.398116451,0.963238742
ENSMUSG00000000766,0.633219599,-0.000876418,0.233313224,0.789221756,0.999871382
ENSMUSG00000000776,54.01028782,0.035007883,0.223671701,0.628628986,0.999871382
ENSMUSG00000000782,694.9960551,0.044243165,0.210446116,0.661534868,0.999871382
ENSMUSG00000000787,583.000669,0.638679315,0.424225194,0.008572405,0.196867149
ENSMUSG00000000791,43.35959189,0.142951802,0.270169462,0.125456905,0.683155909
ENSMUSG00000000792,0.98588612,0.002306502,0.233315545,0.495044605,0.999871382
ENSMUSG00000000794,6.765755138,0.020107833,0.233505725,0.209180949,0.806067972
ENSMUSG00000000804,774.0444192,0.005064323,0.202880075,0.957980333,0.999871382
ENSMUSG00000000805,0.368707018,0.000785059,0.233326885,0.955261851,0.999871382
ENSMUSG00000000811,20.88153748,0.045356292,0.23166562,0.432525394,0.978970485
ENSMUSG00000000817,21.35911353,0.056845061,0.23900177,0.246176126,0.846350349
ENSMUSG00000000823,105.7331821,0.050510784,0.229999285,0.41713448,0.973338348
ENSMUSG00000000826,643.4766851,0.116491978,0.181629048,0.380862271,0.951200347
ENSMUSG00000000827,344.6019594,0.027470806,0.178592876,0.807039865,0.999871382
ENSMUSG00000000838,62.44794138,0.08317668,0.243978003,0.214967027,0.812994951
ENSMUSG00000000861,412.405157,0.026737233,0.180678434,0.820598185,0.999871382
ENSMUSG00000000869,23.30751148,-0.062592703,0.236638013,0.273989506,0.877277206
ENSMUSG00000000876,282.363966,-0.05112005,0.204262028,0.62185315,0.999871382
ENSMUSG00000000881,27.48129307,0.018611278,0.226953217,0.746024946,0.999871382
ENSMUSG00000000884,34.60147722,-0.080148325,0.243218703,0.18997423,0.784741351
ENSMUSG00000000901,7.799014539,-0.005651051,0.230539168,0.868088645,0.999871382
ENSMUSG00000000902,402.0420355,-0.371214976,0.245022268,0.022599829,0.32241054
ENSMUSG00000000903,101.6980786,-0.096323837,0.230075268,0.334377683,0.925150645
ENSMUSG00000000915,909.7605278,0.355159911,0.30634451,0.039241533,0.419514648
ENSMUSG00000000916,106.297013,0.000579626,0.217359566,0.995185531,0.999871382
ENSMUSG00000000934,57.62932153,-0.14176169,0.281182324,0.061231452,0.510858539
ENSMUSG00000000942,8.314571733,0.033098502,0.233751633,0.277100279,0.87954062
ENSMUSG00000000948,5.451228386,-0.085378158,0.254492632,0.013680823,0.250632677
ENSMUSG00000000957,23.5600507,0.053447366,0.234472314,0.334047987,0.925150645
ENSMUSG00000000958,222.5232597,-0.081535233,0.213831923,0.434651072,0.980260134
ENSMUSG00000000959,448.0838131,-0.100662903,0.186063535,0.406136565,0.965661502
ENSMUSG00000000976,178.1265151,0.041924289,0.212565131,0.658616413,0.999871382
ENSMUSG00000000982,8.144049783,0.02668856,0.231213466,0.544616397,0.999871382
ENSMUSG00000000983,16.00047462,0.019660845,0.227719554,0.729564362,0.999871382
ENSMUSG00000001014,27.9958082,-0.035793658,0.229170874,0.537074479,0.999871382
ENSMUSG00000001016,318.6234372,-0.284040617,0.293881943,0.057141739,0.495968173
ENSMUSG00000001017,402.6846922,0.104642349,0.199418609,0.441154887,0.982960748
ENSMUSG00000001018,152.0090307,0.141331538,0.253721041,0.194658766,0.789926856
ENSMUSG00000001020,1685.199079,-0.765408346,0.508420386,0.004276545,0.132790352
ENSMUSG00000001021,5.299014295,-0.009570745,0.232777786,0.600562766,0.999871382
ENSMUSG00000001023,4.86450781,0.002509773,0.231679896,0.926564415,0.999871382
ENSMUSG00000001025,4566.074597,-0.227298275,0.287206772,0.093584538,0.6112188
ENSMUSG00000001027,290.6550785,0.006926063,0.215653063,0.933561003,0.999871382
ENSMUSG00000001029,608.4581178,-0.001514619,0.19636071,0.986773436,0.999871382
ENSMUSG00000001034,145.0778405,-0.278871314,0.367711822,0.046495507,0.449002233
ENSMUSG00000001036,26.3642364,-0.026833739,0.230294474,0.531886941,0.999871382
ENSMUSG00000001039,5.715235818,0.022110923,0.233364972,0.379374234,0.951057967
ENSMUSG00000001052,179.8946149,0.115334101,0.243232654,0.247348651,0.846634659
ENSMUSG00000001053,227.1238447,-0.264770424,0.365268733,0.048341095,0.457876189
ENSMUSG00000001054,263.966172,-0.06666192,0.185534468,0.573071217,0.999871382
ENSMUSG00000001056,432.6023067,-1.207205729,0.421314042,0.000159836,0.014764033
ENSMUSG00000001062,231.5386312,-0.049664481,0.206727869,0.648212481,0.999871382
ENSMUSG00000001065,204.221951,0.535563697,0.524427197,0.015086646,0.263266839
ENSMUSG00000001082,196.6684216,-0.316152545,0.40364681,0.038403107,0.416092813
ENSMUSG00000001089,23.535596,0.028528931,0.22896295,0.608259078,0.999871382
ENSMUSG00000001095,0.210431423,-0.003529659,0.233339282,0.743071442,0.999871382
ENSMUSG00000001098,514.8583188,0.043628022,0.159807322,0.71112868,0.999871382
ENSMUSG00000001100,178.253374,-0.123946268,0.22135358,0.28930504,0.892096342
ENSMUSG00000001105,1479.48791,-0.073322751,0.196228704,0.48857562,0.999871382
ENSMUSG00000001119,4.35814254,0.011299706,0.2321653,0.614289329,0.999871382
ENSMUSG00000001120,24.57914471,0.078420955,0.244271096,0.191157126,0.786447909
ENSMUSG00000001123,1739.142427,-0.07585068,0.163313387,0.516374875,0.999871382
ENSMUSG00000001127,692.059513,-0.25756863,0.280594201,0.078069676,0.569012313
ENSMUSG00000001128,2625.862595,-0.111303026,0.235172613,0.277312193,0.87954062
ENSMUSG00000001131,2.537432719,-0.010044636,0.233396929,0.925117247,0.999871382
ENSMUSG00000001134,158.399596,-0.193645802,0.280858799,0.106775278,0.641437272
ENSMUSG00000001138,149.2010864,0.152025688,0.266304012,0.154364391,0.732849483
ENSMUSG00000001143,153.2909748,-0.03629703,0.209398568,0.702286831,0.999871382
ENSMUSG00000001150,297.3726363,-0.142173614,0.255942386,0.171880338,0.759855834
ENSMUSG00000001151,232.1779668,3.79634E-05,0.195249105,0.998838341,0.999871382
ENSMUSG00000001155,1.272113372,-0.004941753,0.233333002,0.016734298,0.277428536
ENSMUSG00000001156,2112.190529,0.181962784,0.218050859,0.170288832,0.757666402
ENSMUSG00000001157,61.06087982,0.16570067,0.285457344,0.103064824,0.631224143
ENSMUSG00000001158,245.4428499,-0.050443178,0.177109635,0.651417764,0.999871382
ENSMUSG00000001166,92.85002677,-0.123123205,0.242988038,0.234867449,0.832873742
ENSMUSG00000001173,35.16631745,0.195604591,0.352913737,0.014901809,0.261651736
ENSMUSG00000001175,3152.845079,0.117423064,0.189481662,0.347611158,0.937854624
ENSMUSG00000001211,587.1110303,-0.017224932,0.179817219,0.877487893,0.999871382
ENSMUSG00000001225,3.39810574,0.003233711,0.231879121,0.873393359,0.999871382
ENSMUSG00000001227,482.9435497,-0.026487318,0.201311275,0.837863089,0.999871382
ENSMUSG00000001228,63.1038786,-0.069967029,0.226705164,0.400716112,0.9637446
ENSMUSG00000001229,267.7202498,0.106081414,0.209189157,0.378413147,0.951057967
ENSMUSG00000001240,2.705282111,0.032336644,0.236572292,0.0024172,0.095062113
ENSMUSG00000001247,79.75050549,0.002924875,0.221874878,0.96937884,0.999871382
ENSMUSG00000001248,869.0411631,-0.086360642,0.166004358,0.473160003,0.999871382
ENSMUSG00000001249,30.33828599,-0.033893797,0.233777733,0.308019252,0.905612399
ENSMUSG00000001270,492.9617075,-0.187645229,0.255897146,0.141205407,0.711065404
ENSMUSG00000001280,363.1674901,0.232036857,0.249651012,0.109363008,0.647641705
ENSMUSG00000001281,4957.282505,-0.942327954,0.573435974,0.002930134,0.10719276
ENSMUSG00000001285,256.4474982,-0.400198995,0.437051721,0.028070889,0.359412005
ENSMUSG00000001288,592.2597462,0.055927375,0.185976311,0.634527165,0.999871382
ENSMUSG00000001289,4718.95132,-0.462309328,0.255980949,0.007701981,0.188070589
ENSMUSG00000001300,26.40661081,0.015447227,0.230518201,0.69574013,0.999871382
ENSMUSG00000001305,66.25566225,0.029178926,0.218391538,0.696473689,0.999871382
ENSMUSG00000001313,11.45540417,-0.047122218,0.236349398,0.273092185,0.876062833
ENSMUSG00000001323,39.97042337,0.114364812,0.260854428,0.129147515,0.687103153
ENSMUSG00000001333,0.34578014,-0.002454537,0.233300343,0.700521929,0.999871382
ENSMUSG00000001334,1.435741691,-0.004919115,0.232642506,0.849058544,0.999871382
ENSMUSG00000001348,1513.390215,-0.308093789,0.256043332,0.047369764,0.453166623
ENSMUSG00000001349,54.7884337,-0.017212007,0.226581485,0.752285956,0.999871382
ENSMUSG00000001366,3768.228069,0.212211713,0.302384087,0.06925863,0.538966978
ENSMUSG00000001376,66.90994704,-0.136003247,0.258679146,0.16574436,0.748044348
ENSMUSG00000001380,279.3554962,-0.054276556,0.181772541,0.64281989,0.999871382
ENSMUSG00000001383,1465.014708,-0.016021547,0.171510784,0.884337608,0.999871382
ENSMUSG00000001403,10855.96089,-0.068816676,0.21458148,0.445663809,0.986554545
ENSMUSG00000001415,707.7164872,-0.047222911,0.173080023,0.689685263,0.999871382
ENSMUSG00000001416,820.6126776,-0.410409563,0.339897449,0.02335807,0.327514793
ENSMUSG00000001418,1076.846446,-0.375050081,0.28678077,0.026735622,0.350528569
ENSMUSG00000001419,680.0907665,0.24454035,0.307933362,0.084144873,0.586729175
ENSMUSG00000001420,5.179382798,0.017177631,0.233617509,0.196347999,0.792166346
ENSMUSG00000001424,653.4764277,-0.129394242,0.19279841,0.298487282,0.899532291
ENSMUSG00000001435,78.14219951,-0.06246765,0.237455397,0.253847768,0.854738755
ENSMUSG00000001436,50.65056855,-0.016981556,0.225283866,0.777045846,0.999871382
ENSMUSG00000001440,651.6199384,0.099477336,0.199011394,0.440728838,0.982954528
ENSMUSG00000001441,1027.11004,-1.123647936,0.764886038,0.002471898,0.09652255
ENSMUSG00000001444,92.19853511,0.016766431,0.212654281,0.89043754,0.999871382
ENSMUSG00000001445,300.3043712,-0.053571714,0.16519347,0.650582733,0.999871382
ENSMUSG00000001467,94.13226818,-0.046488356,0.227100151,0.511103338,0.999871382
ENSMUSG00000001472,2378.586414,-0.278008692,0.206046635,0.052193611,0.474182771
ENSMUSG00000001473,378.8761342,-0.115985806,0.240212875,0.242649856,0.843020544
ENSMUSG00000001482,201.2015716,0.092888567,0.187775295,0.48838113,0.999871382
ENSMUSG00000001493,1.695464347,-0.013321296,0.233788239,2.62795E-19,1.92576E-15
ENSMUSG00000001496,6.499904992,-0.022383428,0.231481077,0.441933633,0.983645741
ENSMUSG00000001497,0.649986422,0.005961946,0.233317269,0.627054413,0.999871382
ENSMUSG00000001506,3.926614311,-0.005007666,0.231827329,0.857079873,0.999871382
ENSMUSG00000001507,25.05481588,0.033412592,0.23283002,0.392139082,0.959411877
ENSMUSG00000001508,0.417531179,0.000143298,0.233219957,0.871139611,0.999871382
ENSMUSG00000001517,29.26325699,0.012266425,0.223416638,0.84569307,0.999871382
ENSMUSG00000001518,77.12663796,-0.040439545,0.224526158,0.560548162,0.999871382
ENSMUSG00000001520,3.530238547,0.015922654,0.232542525,0.536055892,0.999871382
ENSMUSG00000001521,48.38885171,0.133174482,0.25091191,0.212934652,0.810804598
ENSMUSG00000001524,72.15745546,-0.03442391,0.217948321,0.670145886,0.999871382
ENSMUSG00000001525,3049.963528,-0.238673662,0.19701369,0.082100979,0.580356244
ENSMUSG00000001542,858.9078949,0.164646029,0.284368611,0.094169956,0.61245408
ENSMUSG00000001552,113.3758652,-0.10499209,0.243942247,0.226865911,0.824452855
ENSMUSG00000001555,4.099944395,-0.033339599,0.236067101,0.173371445,0.761936721
ENSMUSG00000001558,1.819425568,-0.002553505,0.233200473,0.404520493,0.965511044
ENSMUSG00000001569,189.2341298,-0.019620875,0.215563396,0.814271077,0.999871382
ENSMUSG00000001576,429.8555294,0.084937707,0.176758282,0.487297362,0.999871382
ENSMUSG00000001583,65.49639734,0.010749091,0.225286923,0.838023261,0.999871382
ENSMUSG00000001588,1594.88152,-0.194127761,0.228674325,0.149478617,0.724137927
ENSMUSG00000001604,10.276795,-0.041344408,0.235668331,0.257966573,0.860708749
ENSMUSG00000001622,19.64722651,-0.033538332,0.231732659,0.455753171,0.990928466
ENSMUSG00000001627,227.4674571,0.342563223,0.399961794,0.039746739,0.422080852
ENSMUSG00000001630,33.11388408,0.059869565,0.234432135,0.359844998,0.944737534
ENSMUSG00000001632,288.855387,0.213905767,0.220922628,0.126040774,0.683155909
ENSMUSG00000001642,878.464564,-0.428207018,0.277421101,0.015598578,0.269529053
ENSMUSG00000001657,2.211883008,-0.023119872,0.234890188,0.161909707,0.745663406
ENSMUSG00000001661,1.021195898,0.000114428,0.233203658,0.89775561,0.999871382
ENSMUSG00000001663,124.5033267,-0.001744825,0.218922046,0.9917614,0.999871382
ENSMUSG00000001665,22.36538348,0.024840674,0.228607985,0.616310926,0.999871382
ENSMUSG00000001666,140.4762312,-0.506855744,0.743962874,0.015205282,0.264376877
ENSMUSG00000001670,0.656235657,0.002805686,0.233307259,0.034065695,0.392917231
ENSMUSG00000001672,0.485863949,-0.000723065,0.233294146,0.829664688,0.999871382
ENSMUSG00000001674,240.8957004,-0.071119567,0.214314834,0.490256714,0.999871382
ENSMUSG00000001687,507.5655182,0.018885309,0.194245581,0.863055431,0.999871382
ENSMUSG00000001700,310.0974508,0.050688162,0.204879214,0.627457133,0.999871382
ENSMUSG00000001707,27.97077767,-0.028983776,0.229225495,0.563572554,0.999871382
ENSMUSG00000001729,1513.847917,0.020017439,0.140948506,0.860533505,0.999871382
ENSMUSG00000001739,15.76760131,0.002768307,0.228475996,0.957078345,0.999871382
ENSMUSG00000001741,1858.391582,0.042490023,0.131405004,0.700154514,0.999871382
ENSMUSG00000001750,1059.987992,-0.190090417,0.284972363,0.111354523,0.653327417
ENSMUSG00000001751,223.1353625,-0.30720065,0.339536694,0.054798016,0.485562107
ENSMUSG00000001755,152.683444,-0.140420123,0.23164499,0.243483089,0.844146385
ENSMUSG00000001761,10.58334161,-0.004213453,0.229199352,0.920418337,0.999871382
ENSMUSG00000001763,8672.430408,-0.080450384,0.222543135,0.345371552,0.935977341
ENSMUSG00000001767,203.0491057,0.270321616,0.289312009,0.077067651,0.565505757
ENSMUSG00000001768,116.1072518,-0.024062931,0.219167057,0.744425722,0.999871382
ENSMUSG00000001773,0.117940211,0.003567172,0.233361531,0.65504428,0.999871382
ENSMUSG00000001774,220.9283158,-0.08580642,0.234856039,0.331384001,0.923230028
ENSMUSG00000001783,975.4059839,-0.133854158,0.194067562,0.287656759,0.891315787
ENSMUSG00000001785,143.5307964,0.034226338,0.218149182,0.685872834,0.999871382
ENSMUSG00000001786,1636.687526,-0.059977569,0.212038579,0.511385147,0.999871382
ENSMUSG00000001794,5833.608079,-0.220779634,0.268866677,0.098307655,0.621926757
ENSMUSG00000001802,0.28304988,0.001261743,0.233298332,0.971501995,0.999871382
ENSMUSG00000001829,131.6998284,-0.177663966,0.286154009,0.089646209,0.599751144
ENSMUSG00000001833,435.6076799,0.237708929,0.244121618,0.102657828,0.631224143
ENSMUSG00000001844,439.1751987,0.001361733,0.156618752,0.991351994,0.999871382
ENSMUSG00000001847,6359.305652,0.135064012,0.178936807,0.282227923,0.884840084
ENSMUSG00000001855,541.9792365,-0.187078522,0.292771908,0.094010466,0.612363286
ENSMUSG00000001864,0.392847397,0.00333865,0.233281602,0.297193435,0.89881696
ENSMUSG00000001865,223.1363231,-0.03623636,0.227272446,0.569993468,0.999871382
ENSMUSG00000001870,1474.941093,0.017798752,0.196708552,0.866175445,0.999871382
ENSMUSG00000001891,249.0687176,0.144231039,0.231164325,0.238253651,0.838042923
ENSMUSG00000001909,609.3541064,-0.730832604,0.328723842,0.001515851,0.06986262
ENSMUSG00000001910,655.0315174,0.018039677,0.166523609,0.879692968,0.999871382
ENSMUSG00000001911,160.2150702,-0.022818995,0.206721543,0.810451485,0.999871382
ENSMUSG00000001918,323.0658546,0.172682112,0.248584359,0.172576463,0.760609654
ENSMUSG00000001924,4583.783921,-0.321008408,0.307523118,0.046226454,0.448836271
ENSMUSG00000001930,17696.21911,-0.105436269,0.242752606,0.224018649,0.822174621
ENSMUSG00000001942,204.8447576,0.794871435,0.319032848,0.000969786,0.051929035
ENSMUSG00000001943,34.86673312,0.021697356,0.232363549,0.417717611,0.973611532
ENSMUSG00000001946,1229.933426,0.109330883,0.219778643,0.313227577,0.909537148
ENSMUSG00000001948,378.8185094,0.028380597,0.209590214,0.702053482,0.999871382
ENSMUSG00000001962,600.4301802,-0.24141753,0.200120515,0.077131463,0.565785144
ENSMUSG00000001964,372.5178899,-0.018851064,0.1593449,0.868733954,0.999871382
ENSMUSG00000001983,25.68599415,0.01720462,0.225248552,0.761452787,0.999871382
ENSMUSG00000001985,2.977424578,-0.074270626,0.242986204,0.169960069,0.756930618
ENSMUSG00000001986,5.794055534,-0.025662884,0.229015581,0.594022762,0.999871382
ENSMUSG00000001995,77.31308961,0.146644522,0.265104401,0.166045702,0.748219139
ENSMUSG00000001998,26.35791393,0.010190972,0.225021814,0.862989786,0.999871382
ENSMUSG00000001999,137.560477,-0.125394064,0.240256927,0.234048796,0.83156933
ENSMUSG00000002006,5.907454343,-0.001835405,0.230800768,0.959147792,0.999871382
ENSMUSG00000002007,260.6006509,0.026514587,0.206513211,0.783037548,0.999871382
ENSMUSG00000002010,1410.316626,-0.409570831,0.289149182,0.020069277,0.307359851
ENSMUSG00000002012,42.82969729,-0.011379979,0.227793486,0.799129401,0.999871382
ENSMUSG00000002014,782.2148864,-0.264733711,0.227912385,0.071249721,0.544070769
ENSMUSG00000002015,2089.405268,0.088480933,0.187079433,0.45126601,0.989124814
ENSMUSG00000002017,82.75674477,-0.034476904,0.202155049,0.761619118,0.999871382
ENSMUSG00000002020,200.087681,0.144590845,0.280867224,0.047759032,0.455503066
ENSMUSG00000002028,576.7171358,0.059564385,0.210748181,0.549842033,0.999871382
ENSMUSG00000002031,203.8767834,0.092895927,0.189543683,0.432556392,0.978970485
ENSMUSG00000002032,2.182056431,-0.003583693,0.233366274,5.59074E-08,1.93965E-05
ENSMUSG00000002033,702.5707522,-0.569044988,0.689050648,0.014145573,0.255107497
ENSMUSG00000002043,501.345597,-0.340644228,0.290921474,0.032743435,0.387300457
