,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000022899,45.66300775,0.007401036,0.229302484,0.847842138,0.999871382
ENSMUSG00000022900,19.26360809,0.036547609,0.226594277,0.583518596,0.999871382
ENSMUSG00000022901,153.198978,-0.056893346,0.217775989,0.519512577,0.999871382
ENSMUSG00000022902,29.70311078,-0.001832633,0.226452753,0.965512286,0.999871382
ENSMUSG00000022905,1265.280521,0.074243293,0.209233463,0.460900183,0.993850356
ENSMUSG00000022906,271.3089079,0.40667591,0.296370092,0.022312316,0.320588429
ENSMUSG00000022911,31.30695033,0.06061965,0.234323241,0.377476317,0.951057967
ENSMUSG00000022912,722.659567,0.341776697,0.360478808,0.040708449,0.42555138
ENSMUSG00000022913,70.35809817,-0.191883893,0.304661296,0.094375166,0.612507785
ENSMUSG00000022914,187.2558163,0.038528127,0.208760823,0.6929312,0.999871382
ENSMUSG00000022935,0.524197,-0.001443192,0.233282758,0.829604569,0.999871382
ENSMUSG00000022938,8.555435727,0.023852413,0.232487802,0.52640783,0.999871382
ENSMUSG00000022940,51.56202132,0.080953786,0.232635288,0.312661551,0.908928369
ENSMUSG00000022941,7.039681617,-0.000438548,0.230437795,0.995991123,0.999871382
ENSMUSG00000022945,71.53677513,-0.188957316,0.318053452,0.063874375,0.519176501
ENSMUSG00000022946,1260.953742,-0.042377057,0.190116476,0.697934696,0.999871382
ENSMUSG00000022947,31.09192783,-0.023333507,0.225396612,0.698956384,0.999871382
ENSMUSG00000022948,48.83171349,-0.02056614,0.222399813,0.769984506,0.999871382
ENSMUSG00000022951,88.98063311,-0.0324115,0.208906103,0.757415272,0.999871382
ENSMUSG00000022952,665.824,-0.188174406,0.263093385,0.134342868,0.695757802
ENSMUSG00000022956,1096.599839,-0.756907343,0.333093539,0.001302708,0.06392572
ENSMUSG00000022957,2893.039978,0.152822287,0.243533002,0.170470437,0.758001038
ENSMUSG00000022960,79.75125733,0.025289939,0.22490751,0.710127706,0.999871382
ENSMUSG00000022961,1214.30973,-0.029148717,0.169773251,0.801003877,0.999871382
ENSMUSG00000022962,411.5190971,-0.467876062,0.49642418,0.018390178,0.294457159
ENSMUSG00000022964,412.2125122,0.238116149,0.218667037,0.126628902,0.684319024
ENSMUSG00000022965,452.7579212,-0.02633712,0.200447387,0.801585086,0.999871382
ENSMUSG00000022967,366.3587672,0.213021652,0.254243173,0.103408032,0.632185508
ENSMUSG00000022969,450.6597793,0.237484546,0.24364591,0.101956742,0.631029564
ENSMUSG00000022971,1024.447054,-0.160226658,0.206669108,0.199232701,0.795490645
