,Date :,########,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210624_16,VF052621_131034,day2_8,Chamber 2,,Day2_CSTone,2,269.967,59.99,74.99,0.08,0,15,
210624_16,VF052621_131034,day2_8,Chamber 2,,Day2_Exploration,1,90,20,20,0.07,0,11,
,,,,,,,,,,,,,
210624_17,VF052621_132254,day2_9,Chamber1,,Day2_Acclimation,36,168.233,37.39,93.46,1.43,0,81,
210624_17,VF052621_132254,day2_9,Chamber1,,Day2_CSTone,43,262.267,58.28,72.85,0.89,0,80,
210624_17,VF052621_132254,day2_9,Chamber1,,Day2_Exploration,19,84.5,18.78,18.78,1.53,0,80,
,,,,,,,,,,,,,
210624_18,VF052621_132254,day2_9,Chamber 2,,Day2_Acclimation,47,174.533,38.79,96.96,0.94,0,44,
210624_18,VF052621_132254,day2_9,Chamber 2,,Day2_CSTone,38,264.667,58.81,73.52,0.6,0,50,
210624_18,VF052621_132254,day2_9,Chamber 2,,Day2_Exploration,18,87.267,19.39,19.39,0.86,0,50,
,,,,,,,,,,,,,
210624_19,VF052621_133324,day2_10,Chamber1,,Day2_Acclimation,25,175.667,39.04,97.59,0.82,0,188,
210624_19,VF052621_133324,day2_10,Chamber1,,Day2_CSTone,29,268.067,59.57,74.46,0.41,0,61,
210624_19,VF052621_133324,day2_10,Chamber1,,Day2_Exploration,11,89.267,19.84,19.84,0.49,0,39,
,,,,,,,,,,,,,
210624_20,VF052621_133324,day2_10,Chamber 2,,Day2_Acclimation,74,143.7,31.93,79.83,3.93,0,102,
210624_20,VF052621_133324,day2_10,Chamber 2,,Day2_CSTone,13,267.5,59.44,74.31,0.29,0,59,
210624_20,VF052621_133324,day2_10,Chamber 2,,Day2_Exploration,5,88.033,19.56,19.56,0.47,0,59,
,,,,,,,,,,,,,
210624_21,VF052621_134428,day2_11,Chamber1,,Day2_Acclimation,37,162.733,36.16,90.41,2.4,0,164,
210624_21,VF052621_134428,day2_11,Chamber1,,Day2_CSTone,51,252.767,56.17,70.21,1.64,0,96,
210624_21,VF052621_134428,day2_11,Chamber1,,Day2_Exploration,26,83,18.44,18.44,2.09,0,55,
,,,,,,,,,,,,,
210624_22,VF052621_134428,day2_11,Chamber 2,,Day2_Acclimation,3,179.933,39.99,99.96,0.08,0,53,
210624_22,VF052621_134428,day2_11,Chamber 2,,Day2_CSTone,1,270,60,75,0.02,0,12,
210624_22,VF052621_134428,day2_11,Chamber 2,,Day2_Exploration,1,90,20,20,0.01,0,5,
