Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
78,191028_5,APOE2/2F,A,Day4,4,MWM_150,10/31/2019,6.0,0.952,0.160,0.0,0.000,,0.4,0.038,0.102,0.0,0.000,,5.6,0.914,0.163,0.843,3.9,0.0,0.000,,Control
79,191028_6,APOE2/2M,B,Day4,4,MWM_150,10/31/2019,4.6,0.251,0.055,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.6,0.251,0.055,0.171,2.5,0.0,0.000,,Control
80,191028_7,APOE2/2M,B,Day4,4,MWM_150,10/31/2019,16.3,2.978,0.183,1.9,0.496,0.261,4.5,1.077,0.239,2.4,0.589,0.245,7.5,0.816,0.109,2.978,14.3,0.0,0.000,,Control
81,191028_3,APOE2/2F,A,Day5,1,MWM_150,11/1/2019,2.4,0.072,0.030,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.072,0.030,0.000,0.0,0.0,0.000,,Control
82,191028_4,APOE2/2F,A,Day5,1,MWM_150,11/1/2019,16.1,2.915,0.182,1.2,0.222,0.185,4.0,0.786,0.197,3.6,0.696,0.193,7.3,1.211,0.167,2.846,14.0,0.0,0.000,,Control
83,191028_5,APOE2/2F,A,Day5,1,MWM_150,11/1/2019,3.6,0.501,0.139,0.0,0.000,,0.0,0.000,,0.0,0.000,,3.6,0.501,0.139,0.396,1.5,0.0,0.000,,Control
84,191028_6,APOE2/2M,B,Day5,1,MWM_150,11/1/2019,5.2,0.459,0.089,0.0,0.000,,0.0,0.000,,0.0,0.000,,5.2,0.459,0.089,0.374,3.1,0.0,0.000,,Control
85,191028_7,APOE2/2M,B,Day5,1,MWM_150,11/1/2019,3.3,0.181,0.054,0.0,0.000,,0.0,0.000,,0.0,0.000,,3.3,0.181,0.054,0.147,1.2,0.0,0.000,,Control
86,191028_3,APOE2/2F,A,Day5,2,MWM_150,11/1/2019,21.0,4.571,0.218,6.5,1.580,0.242,2.5,0.572,0.232,7.4,1.740,0.235,4.6,0.678,0.147,4.532,18.9,0.7,0.161,0.220,Control
87,191028_4,APOE2/2F,A,Day5,2,MWM_150,11/1/2019,23.1,3.918,0.170,1.7,0.336,0.198,3.4,0.586,0.171,5.4,0.896,0.166,12.6,2.100,0.167,3.810,21.1,0.0,0.000,,Control
88,191028_5,APOE2/2F,A,Day5,2,MWM_150,11/1/2019,6.5,0.753,0.116,0.0,0.000,,0.0,0.000,,0.0,0.000,,6.5,0.753,0.116,0.675,4.5,0.0,0.000,,Control
89,191028_6,APOE2/2M,B,Day5,2,MWM_150,11/1/2019,7.1,0.557,0.078,0.0,0.000,,0.0,0.000,,0.0,0.000,,7.1,0.557,0.078,0.517,5.1,0.0,0.000,,Control
90,191028_7,APOE2/2M,B,Day5,2,MWM_150,11/1/2019,8.1,1.100,0.137,0.0,0.000,,0.0,0.000,,0.8,0.150,0.182,7.2,0.950,0.131,0.948,6.0,0.0,0.000,,Control
91,191028_3,APOE2/2F,A,Day5,3,MWM_150,11/1/2019,10.3,1.761,0.171,0.4,0.079,0.214,2.3,0.499,0.215,0.3,0.045,0.135,7.3,1.138,0.157,1.693,8.3,0.0,0.000,,Control
92,191028_4,APOE2/2F,A,Day5,3,MWM_150,11/1/2019,7.2,1.063,0.147,0.0,0.000,,0.0,0.000,,0.6,0.118,0.186,6.6,0.945,0.143,0.914,5.2,0.0,0.000,,Control
93,191028_5,APOE2/2F,A,Day5,3,MWM_150,11/1/2019,2.4,0.042,0.017,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.042,0.017,0.000,0.0,0.0,0.000,,Control
94,191028_6,APOE2/2M,B,Day5,3,MWM_150,11/1/2019,18.9,2.434,0.129,0.0,0.000,,10.6,1.103,0.104,0.9,0.115,0.128,7.4,1.216,0.164,2.363,16.8,3.7,0.302,0.082,Control
