Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
323,210503_15,E33_F,B,Day4,3,MWM_150,5/13/21,9.1,1.217,SE,0.134,0,0,,0,0,,1.1,0.272,0.241,6.3,0.597,1.1,0.095,1.143,5,1.7,0.348,0.209,Control
324,210503_16,E33_F,B,Day4,3,MWM_150,5/13/21,34.6,6.534,Thigmitaxis,0.189,7.6,1.67,0.22,7.3,1.48,0.203,5.1,1.013,0.2,6.4,1.136,25.4,0.177,5.805,30.6,8.3,1.236,0.149,Control
325,210503_17,E33_F,B,Day4,3,MWM_150,5/13/21,25.9,3.308,NE,0.128,4.6,0.759,0.165,0,0,,7.4,1.318,0.179,9.3,0.801,15.9,0.086,3.273,21.8,4.6,0.429,0.093,Control
326,210503_18,E22_M,A,Day4,3,MWM_150,5/13/21,13.9,1.892,NE,0.136,2.7,0.597,0.221,3.5,0.713,0.202,0,0,,6.4,0.434,6.2,0.068,1.856,9.8,1.2,0.148,0.12,Control
327,210503_19,E22_M,A,Day4,3,MWM_150,5/13/21,13.4,1.675,NE,0.125,2,0.33,0.167,0,0,,2.5,0.603,0.241,7.3,0.516,4.5,0.071,1.641,9.3,1.6,0.226,0.138,Control
328,210503_20,E22_M,A,Day4,3,MWM_150,5/13/21,12.2,1.49,NE,0.122,0.7,0.084,0.117,1.2,0.223,0.181,0.9,0.18,0.193,9.3,1.003,1.3,0.108,1.421,8.1,0,0,,Control
329,210503_21,E22_F,D,Day4,3,MWM_150,5/13/21,9.8,1.746,Thigmitaxis,0.178,2.8,0.587,0.207,0,0,,1,0.299,0.299,4.8,0.86,4.5,0.178,1.14,5.7,1.1,0,0,Control
330,210503_22,E22_F,D,Day4,3,MWM_150,5/13/21,30.4,4.928,NE,0.162,3.5,0.306,0.089,0,0,,17.2,3.638,0.212,8,0.756,6.9,0.094,4.928,26.4,1.8,0.228,0.127,Control
331,210503_1,E33_M,C,Day4,4,MWM_150,5/13/21,4.6,1.508,SW,0.325,0,0,,0,0,,0.1,0.198,1.474,4.2,1.256,0,0.3,0.051,0.6,0.3,0.054,0.167,Control
332,210503_2,E33_M,C,Day4,4,MWM_150,5/13/21,5.5,1.106,NW,0.201,0,0,,0.9,0.143,0.163,0.1,0.214,1.6,3.9,0.748,0.9,0.193,0.344,1.4,0.6,0,0,Control
