Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
123,201026_3,E4HN_M,A,Probe_D5,1,MWM_150,11/6/2020,60.0,11.474,SE,0.191,8.2,1.507,0.183,7.1,1.521,0.214,16.9,3.267,0.194,27.8,5.179,2.5,0.186,2.449,15.6,4.5,0.718,0.161,Control
124,201026_4,E4HN_M,A,Probe_D5,1,MWM_150,11/6/2020,60.0,11.325,NE,0.189,14.8,2.482,0.168,17.6,3.299,0.187,5.6,1.141,0.202,21.9,4.403,9.6,0.201,5.430,29.4,5.0,0.712,0.143,Control
125,201026_5,E4HN_FHet,B,Probe_D5,1,MWM_150,11/6/2020,60.0,12.801,SE,0.213,5.7,1.293,0.227,12.2,2.729,0.224,7.9,1.801,0.228,34.2,6.979,2.3,0.204,1.604,7.4,7.9,1.299,0.164,Control
126,201026_6,E4HN_FHet,B,Probe_D5,1,MWM_150,11/6/2020,60.0,13.332,NE,0.222,6.7,1.520,0.227,19.9,4.251,0.214,6.8,1.658,0.244,26.6,5.903,9.0,0.222,2.741,12.4,4.2,0.781,0.188,Control
127,201026_1,E4HN_F,C,Probe_D8,1,MWM_150,11/9/2020,60.0,11.148,SE,0.186,15.3,2.795,0.183,13.0,2.603,0.201,10.6,1.919,0.182,21.2,3.832,4.1,0.181,,,11.5,1.803,0.156,Control
128,201026_2,E4HN_F,C,Probe_D8,1,MWM_150,11/9/2020,60.0,13.109,NW,0.218,16.2,3.568,0.220,13.5,2.574,0.191,12.1,2.916,0.242,18.2,4.052,1.0,0.222,8.065,37.8,22.2,5.127,0.231,Control
129,201026_3,E4HN_M,A,Probe_D8,1,MWM_150,11/9/2020,60.0,13.295,NE,0.222,14.5,3.237,0.224,6.9,1.668,0.240,11.5,2.731,0.238,27.1,5.659,2.1,0.209,0.680,3.6,0.9,0.124,0.131,Control
130,201026_4,E4HN_M,A,Probe_D8,1,MWM_150,11/9/2020,60.0,10.666,NE,0.178,30.3,5.432,0.179,9.2,1.343,0.146,10.4,1.814,0.174,10.1,2.077,21.3,0.206,3.826,22.3,9.0,1.153,0.128,Control
131,201026_5,E4HN_FHet,B,Probe_D8,1,MWM_150,11/9/2020,60.0,13.579,NE,0.226,2.5,0.574,0.227,8.9,1.822,0.205,13.8,3.256,0.235,34.8,7.927,6.3,0.228,4.088,18.6,9.5,1.774,0.186,Control
132,201026_6,E4HN_FHet,B,Probe_D8,1,MWM_150,11/9/2020,60.0,14.223,NE,0.237,15.3,3.361,0.220,12.3,2.816,0.229,14.5,3.656,0.253,17.9,4.390,4.4,0.245,1.716,6.7,3.8,0.660,0.174,Control
