Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
153,210222_17,E22_F,D,Day3,1,MWM_150,3/3/2021,31.7,5.267,NW,0.166,9.7,2.410,0.249,10.8,1.080,0.100,2.7,0.662,0.245,8.6,1.115,15.2,0.130,5.158,27.7,0.6,0.144,0.228,Control
154,210222_1,E3HN_F,E,Day3,2,MWM_150,3/3/2021,17.1,1.416,NW,0.083,0.0,0.000,,8.0,0.611,0.077,0.0,0.000,,9.1,0.805,8.0,0.088,1.349,13.1,0.7,0.039,0.059,Control
155,210222_2,E3HN_F,E,Day3,2,MWM_150,3/3/2021,15.7,2.735,NE,0.175,3.0,0.527,0.176,2.8,0.551,0.199,2.0,0.420,0.207,7.9,1.237,5.8,0.157,2.244,11.6,0.9,0.166,0.191,Control
156,210222_3,E3HN_M,F,Day3,2,MWM_150,3/3/2021,22.2,3.784,SE,0.171,0.0,0.000,,0.0,0.000,,5.4,0.976,0.180,16.8,2.807,3.2,0.168,3.195,18.2,7.1,0.863,0.121,Control
157,210222_4,E3HN_M,F,Day3,2,MWM_150,3/3/2021,34.2,6.248,NW,0.183,5.4,1.226,0.228,10.3,1.983,0.192,3.8,0.963,0.256,14.7,2.077,3.8,0.141,6.213,30.0,4.7,0.584,0.123,Control
158,210222_5,E3HN_M,F,Day3,2,MWM_150,3/3/2021,24.3,3.681,NE,0.151,7.8,1.285,0.164,0.0,0.000,,6.7,1.261,0.187,9.8,1.135,14.6,0.116,3.421,20.3,0.1,0.000,0.000,Control
159,210222_6,E3HN_M,F,Day3,2,MWM_150,3/3/2021,31.6,4.740,NE,0.150,8.9,1.894,0.213,12.2,1.754,0.143,0.8,0.173,0.216,9.7,0.918,9.4,0.095,4.740,27.6,0.7,0.083,0.125,Control
160,210222_7,E33_F,B,Day3,2,MWM_150,3/3/2021,11.7,1.751,NE,0.150,2.0,0.392,0.193,0.0,0.000,,1.3,0.326,0.244,8.3,1.033,3.4,0.125,1.634,7.6,1.0,0.131,0.131,Control
161,210222_8,E33_F,B,Day3,2,MWM_150,3/3/2021,31.4,6.556,NE,0.209,6.4,1.591,0.250,1.6,0.476,0.292,12.5,2.911,0.233,10.9,1.578,4.5,0.145,6.433,27.3,4.1,0.869,0.214,Control
162,210222_9,E33_F,B,Day3,2,MWM_150,3/3/2021,9.3,1.354,NE,0.146,0.8,0.163,0.214,0.0,0.000,,1.1,0.397,0.361,7.4,0.794,1.9,0.107,1.281,5.2,0.0,0.000,,Control
163,210222_10,E33_F,B,Day3,2,MWM_150,3/3/2021,15.1,2.457,NE,0.163,4.4,0.790,0.180,0.0,0.000,,2.9,0.653,0.225,7.8,1.014,5.1,0.130,2.387,11.1,0.5,0.122,0.261,Control
164,210222_11,E33_F,B,Day3,2,MWM_150,3/3/2021,18.5,3.202,NE,0.173,2.7,0.609,0.228,0.0,0.000,,5.4,1.212,0.224,10.4,1.382,8.1,0.132,3.065,14.4,3.7,0.609,0.166,Control
165,210222_12,E33_F,B,Day3,2,MWM_150,3/3/2021,17.1,1.652,NE,0.097,9.3,0.761,0.082,0.0,0.000,,2.6,0.500,0.190,5.1,0.390,11.9,0.076,1.504,13.0,0.0,0.000,,Control
166,210222_13,E33_M,A,Day3,2,MWM_150,3/3/2021,20.0,3.466,NE,0.174,6.7,1.426,0.212,4.3,0.899,0.209,1.4,0.205,0.147,7.5,0.936,12.4,0.125,3.161,15.9,1.9,0.385,0.206,Control
167,210222_14,E33_M,A,Day3,2,MWM_150,3/3/2021,15.2,2.034,NE,0.134,2.1,0.430,0.201,0.0,0.000,,0.1,0.000,0.000,12.9,1.605,2.3,0.124,1.932,11.2,0.0,0.000,,Control
168,210222_15,E33_M,A,Day3,2,MWM_150,3/3/2021,19.7,3.198,NE,0.163,1.8,0.375,0.211,0.0,0.000,,1.6,0.354,0.216,16.2,2.470,2.1,0.152,3.131,15.6,0.8,0.173,0.226,Control
169,210222_16,E22_M,C,Day3,2,MWM_150,3/3/2021,60.0,10.317,NE,0.172,20.8,2.353,0.113,10.9,2.421,0.221,13.8,2.990,0.217,14.5,2.554,23.5,0.176,,,23.1,3.689,0.159,Control
170,210222_17,E22_F,D,Day3,2,MWM_150,3/3/2021,30.1,5.079,NE,0.169,8.8,1.540,0.174,4.0,0.822,0.206,2.8,0.610,0.221,14.5,2.107,7.0,0.145,4.928,26.1,1.1,0.115,0.108,Control
