Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
365,220808_8,E2HN_F_18mth_Ctrl,A,Probe_D8,1,MWM_150,8/22/22,60,12.869,0.214,8.7,2.02,0.231,10.9,2.472,0.226,16.9,3.884,0.229,23.4,4.493,0.192,1.447,9.1,14.8,2.785,0.188,Control
366,220808_9,E2HN_F_18mth_HFD,C,Probe_D8,1,MWM_150,8/22/22,60,8.934,0.149,13.6,1.63,0.12,6.8,1.117,0.163,16.6,2.41,0.145,23,3.776,0.164,,,6.9,0.598,0.087,HFD
367,220808_10,E2HN_F_18mth_HFD,C,Probe_D8,1,MWM_150,8/22/22,60,12.081,0.201,15.3,3.224,0.211,7.6,1.477,0.194,14.6,3.234,0.221,22.5,4.146,0.184,1.976,10.8,6.4,1.064,0.167,HFD
368,220808_11,E2HN_F_18mth_HFD,C,Probe_D8,1,MWM_150,8/22/22,60,11.194,0.187,2.9,0.641,0.221,8.7,1.488,0.171,4.8,0.799,0.168,43.6,8.265,0.189,1.51,8.5,4.8,0.949,0.196,HFD
369,220808_12,E2HN_F_18mth_HFD,C,Probe_D8,1,MWM_150,8/22/22,60,10.988,0.183,6.6,1.049,0.158,4.6,0.851,0.184,25.8,4.897,0.19,23,4.191,0.182,10.304,56.7,6.5,0.84,0.129,HFD
370,220808_13,E2HN_M_18mth_HFD,B,Probe_D8,1,MWM_150,8/22/22,60,12.995,0.217,17.6,3.832,0.218,12.3,2.828,0.231,12.7,2.803,0.221,17.5,3.531,0.202,1.65,8.2,10.2,1.983,0.194,HFD
371,220808_14,E2HN_M_18mth_HFD,B,Probe_D8,1,MWM_150,8/22/22,60,11.419,0.19,17.4,3.314,0.191,18.8,3.517,0.187,11.8,2.246,0.191,12,2.342,0.195,,,6.6,0.792,0.121,HFD
372,220808_15,E2HN_M_18mth_HFD,B,Probe_D8,1,MWM_150,8/22/22,60,11.24,0.187,20.8,3.688,0.177,4.1,0.994,0.241,18.5,3.337,0.181,16.6,3.219,0.194,5.896,32.8,9.8,1.167,0.119,HFD
373,220808_16,E2HN_M_18mth_HFD,B,Probe_D8,1,MWM_150,8/22/22,60,9.711,0.162,16.3,2.771,0.17,18.9,2.81,0.148,11.3,1.812,0.16,13.4,2.318,0.173,2.759,20.7,0.8,0.109,0.136,HFD
374,220808_17,E2HN_M_18mth_HFD,B,Probe_D8,1,MWM_150,8/22/22,60,12.024,0.2,6.7,1.525,0.228,14.6,2.856,0.196,11.2,2.327,0.207,27.5,5.316,0.193,3.404,17.1,2,0.319,0.157,HFD
