Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
399,210614_26,E3HN_M,C,Day4,1,MWM_150,6/24/21,28.8,4.19,0.146,2.4,0.736,0.303,3.5,0.926,0.267,7.7,0.422,0.055,11.2,2.026,0.181,4.11,24.8,9.1,1.67,0.183,Control,M,12
400,210614_27,E3HN_M,C,Day4,1,MWM_150,6/24/21,25.5,5.18,0.203,3.1,0.769,0.248,4.6,1.051,0.23,7.1,1.696,0.24,6.7,1.595,0.238,5.111,21.4,5.8,1.302,0.223,Control,M,12
401,210614_28,E3HN_M,C,Day4,1,MWM_150,6/24/21,60,9.299,0.155,18.3,3.102,0.17,11,2.032,0.184,23.5,2.88,0.122,7.2,1.284,0.179,,,11.1,1.058,0.095,Control,M,12
402,210614_29,E3HN_M,C,Day4,1,MWM_150,6/24/21,19.4,2.286,0.118,0,0,,0,0,,13.6,1.893,0.139,1.7,0.356,0.209,2.249,15.3,0.2,0.033,0.142,Control,M,12
403,210614_30,E3HN_M,C,Day4,1,MWM_150,6/24/21,9.1,0.874,0.096,0,0,,0,0,,0,0,,5,0.727,0.145,0.727,5,0,0,,Control,M,12
404,210614_1,E3HN_M,C,Day4,2,MWM_150,6/24/21,60,9.507,0.158,13.9,2.198,0.158,21.8,3.425,0.157,8.9,1.336,0.151,15.4,2.548,0.165,,,24.4,2.906,0.119,HFD,F,12
405,210614_2,E2HN_F,D,Day4,2,MWM_150,6/24/21,3.2,0,0,0,0,,0,0,,3.2,0,0,0,0,,,,2.9,0,0,HFD,F,12
406,210614_3,E2HN_F,D,Day4,2,MWM_150,6/24/21,19,3.775,0.199,2.8,0.615,0.222,7.5,1.444,0.193,4.1,0.879,0.213,3.7,0.718,0.196,3.075,14.9,0.4,0.077,0.177,HFD,F,12
407,210614_4,E2HN_F,D,Day4,2,MWM_150,6/24/21,32.8,5.916,0.18,2.5,0.475,0.193,15.4,2.897,0.188,0.9,0.216,0.24,9.9,2.258,0.227,5.846,28.7,4.1,0.499,0.123,HFD,F,12
408,210614_5,E2HN_F,D,Day4,2,MWM_150,6/24/21,20.7,4.227,0.205,2.8,0.682,0.243,4.6,1.2,0.259,4.7,1.189,0.253,4.5,1.123,0.251,4.193,16.6,2.4,0.591,0.243,HFD,F,12
409,210614_6,E2HN_M,B,Day4,2,MWM_150,6/24/21,7.3,0.686,0.094,0,0,,1.5,0.272,0.185,0,0,,1.8,0.345,0.195,0.617,3.2,0,0,,HFD,M,12
410,210614_7,E2HN_M,B,Day4,2,MWM_150,6/24/21,20,1.832,0.092,0.4,0.083,0.226,7.2,0.09,0.013,4.6,0.661,0.143,3.8,0.918,0.242,1.752,16,2.5,0.269,0.109,HFD,M,12
411,210614_8,E3HN_M,C,Day4,2,MWM_150,6/24/21,15.3,2.916,0.191,0,0,,3.1,0.604,0.197,3.7,0.849,0.23,7.9,1.338,0.168,2.442,11.2,0,0,,HFD,M,12
