Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
398,210201_18,E44_M,B,Probe_D5,1,MWM_150,2/12/2021,60.0,10.787,NE,0.180,5.4,0.797,0.148,7.6,1.148,0.150,5.5,1.057,0.193,41.5,7.786,1.2,0.187,0.526,2.9,1.3,0.198,0.156,Control
399,210201_19,E2HN_M,D,Probe_D5,1,MWM_150,2/12/2021,60.0,8.466,NE,0.141,16.0,1.275,0.080,7.5,1.380,0.185,4.7,0.803,0.172,31.8,5.008,22.7,0.157,4.230,34.1,10.4,1.033,0.100,Control
400,210201_1,E33_F,A,Probe_D8,1,MWM_150,2/15/2021,60.0,11.803,NE,0.197,1.4,0.276,0.204,3.4,0.755,0.224,4.2,0.911,0.215,51.0,9.861,3.3,0.193,2.017,9.0,5.1,0.658,0.129,Control
401,210201_2,E33_F,A,Probe_D8,1,MWM_150,2/15/2021,60.0,15.687,SE,0.261,4.7,1.167,0.248,5.3,1.342,0.252,18.3,4.885,0.268,31.7,8.294,2.2,0.262,0.840,3.0,4.3,1.002,0.231,Control
402,210201_3,E33_F,A,Probe_D8,1,MWM_150,2/15/2021,60.0,11.894,NE,0.198,2.3,0.396,0.174,3.6,0.837,0.235,20.4,4.184,0.205,33.7,6.477,1.9,0.192,0.694,2.9,9.3,1.492,0.160,Control
403,210201_4,E33_F,A,Probe_D8,1,MWM_150,2/15/2021,60.0,14.797,NE,0.247,10.2,2.660,0.260,5.8,1.465,0.252,10.7,2.671,0.250,33.3,8.001,2.3,0.241,1.016,3.1,4.0,0.654,0.164,Control
404,210201_5,E33_F,A,Probe_D8,1,MWM_150,2/15/2021,60.0,14.323,NE,0.239,16.8,4.069,0.242,3.6,0.950,0.262,17.3,4.215,0.244,22.2,5.089,4.1,0.229,1.374,5.7,0.0,0.000,,Control
405,210201_6,E44_F,C,Probe_D8,1,MWM_150,2/15/2021,60.0,13.655,NE,0.228,21.9,4.739,0.216,9.8,2.323,0.237,15.7,3.992,0.254,12.6,2.602,7.3,0.207,8.582,39.1,0.9,0.211,0.234,Control
406,210201_7,E44_F,C,Probe_D8,1,MWM_150,2/15/2021,60.0,13.199,NE,0.220,15.7,3.577,0.228,7.1,1.715,0.240,12.2,2.755,0.225,24.9,5.151,3.6,0.206,2.090,11.4,0.7,0.118,0.177,Control
407,210201_8,E44_F,C,Probe_D8,1,MWM_150,2/15/2021,60.0,15.298,NE,0.255,13.8,3.394,0.246,4.6,1.280,0.276,18.7,5.331,0.284,22.8,5.293,3.9,0.232,1.239,5.1,5.3,0.914,0.173,Control
408,210201_9,E44_F,C,Probe_D8,1,MWM_150,2/15/2021,60.0,14.228,NE,0.237,4.7,1.074,0.231,4.8,1.227,0.256,20.2,5.180,0.256,30.3,6.747,0.9,0.223,1.251,5.9,1.6,0.290,0.185,Control
409,210201_10,E44_F,C,Probe_D8,1,MWM_150,2/15/2021,60.0,11.563,NE,0.193,11.2,2.452,0.220,6.1,1.253,0.206,19.6,3.516,0.180,23.2,4.343,9.1,0.187,,,10.2,2.425,0.238,Control
410,210201_11,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,10.359,SW,0.173,4.9,0.932,0.189,7.3,1.292,0.177,16.5,3.368,0.204,31.3,4.767,0.0,0.152,3.783,25.3,5.4,0.707,0.131,Control
411,210201_12,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,7.357,NE,0.123,27.8,3.183,0.114,8.8,1.410,0.160,9.6,1.371,0.143,13.8,1.393,17.5,0.101,5.248,41.1,12.3,1.998,0.162,Control
412,210201_13,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,12.356,NE,0.206,11.5,2.594,0.226,12.1,2.835,0.235,8.9,2.050,0.230,27.5,4.877,4.2,0.177,1.133,6.4,0.8,0.115,0.150,Control
413,210201_14,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,11.635,NE,0.194,2.6,0.642,0.249,18.7,3.548,0.190,5.7,1.277,0.224,33.1,6.168,7.1,0.187,2.494,14.9,4.3,0.501,0.116,Control
414,210201_15,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,9.110,NE,0.152,13.0,1.357,0.105,12.7,2.169,0.170,10.5,1.559,0.149,23.8,4.026,10.2,0.169,8.182,55.6,1.9,0.331,0.171,Control
415,210201_16,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,11.217,SE,0.187,10.2,1.732,0.170,6.6,1.602,0.243,25.0,4.280,0.171,18.2,3.603,5.0,0.198,4.508,26.2,31.5,4.779,0.152,Control
416,210201_17,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,11.349,NE,0.189,7.0,1.222,0.174,9.7,2.056,0.213,5.8,1.204,0.209,37.5,6.866,5.0,0.183,2.456,17.7,5.1,0.952,0.188,Control
417,210201_18,E44_M,B,Probe_D8,1,MWM_150,2/15/2021,60.0,11.587,NE,0.193,6.0,1.062,0.178,7.4,1.445,0.194,9.0,1.943,0.216,37.6,7.137,8.5,0.190,1.868,9.6,4.2,0.541,0.128,Control
418,210201_19,E2HN_M,D,Probe_D8,1,MWM_150,2/15/2021,60.0,10.096,NE,0.168,6.9,0.955,0.138,22.8,3.901,0.171,5.7,0.896,0.158,24.6,4.345,13.6,0.177,3.567,21.4,3.4,0.548,0.161,Control
