Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
108,200302_10,APOE22M,B,Day3,3,MWM_150,3/4/2020,24.7,4.554,0.184,6.6,1.135,0.171,4.4,0.880,0.202,5.6,1.124,0.200,8.1,1.415,0.175,4.313,22.6,4.4,0.745,0.169,Control
109,200302_11,APOE22M,B,Day3,3,MWM_150,3/4/2020,20.1,3.381,0.168,1.4,0.259,0.185,0.0,0.000,,9.1,1.771,0.195,9.6,1.351,0.140,3.381,18.0,1.1,0.203,0.184,Control
110,200302_12,APOE22M,B,Day3,3,MWM_150,3/4/2020,30.1,4.765,0.158,2.0,0.500,0.246,5.4,1.071,0.197,12.9,1.240,0.096,9.8,1.953,0.200,4.729,28.1,6.5,1.092,0.168,Control
111,200302_3,APOE22M,B,Day3,4,MWM_150,3/4/2020,10.0,1.486,0.149,1.0,0.175,0.175,2.2,0.429,0.198,0.7,0.189,0.271,6.1,0.693,0.114,1.418,7.9,0.0,0.000,,Control
112,200302_4,APOE22M,B,Day3,4,MWM_150,3/4/2020,28.4,1.688,0.060,0.0,0.000,,0.0,0.000,,2.2,0.155,0.071,26.2,1.533,0.059,1.654,26.3,1.7,0.161,0.095,Control
113,200302_5,APOE22M,B,Day3,4,MWM_150,3/4/2020,49.8,6.077,0.122,3.2,0.661,0.206,7.5,1.203,0.160,15.1,2.247,0.149,23.9,1.967,0.082,6.038,47.7,6.7,0.661,0.099,Control
114,200302_6,APOE22F,A,Day3,4,MWM_150,3/4/2020,34.0,2.741,0.081,0.0,0.000,,0.0,0.000,,6.4,0.660,0.103,27.6,2.081,0.075,2.630,32.0,1.3,0.034,0.025,Control
115,200302_7,APOE22F,A,Day3,4,MWM_150,3/4/2020,25.5,3.259,0.128,0.0,0.000,,0.6,0.126,0.223,2.7,0.526,0.193,22.2,2.606,0.117,3.224,23.5,0.0,0.000,,Control
116,200302_8,APOE22F,A,Day3,4,MWM_150,3/4/2020,17.7,2.165,0.122,0.0,0.000,,4.0,0.587,0.146,0.0,0.000,,13.7,1.578,0.115,2.049,15.7,0.0,0.000,,Control
117,200302_9,APOE22F,A,Day3,4,MWM_150,3/4/2020,13.3,2.157,0.162,0.0,0.000,,0.0,0.000,,0.0,0.000,,13.3,2.157,0.162,2.039,11.2,3.8,0.710,0.187,Control
118,200302_10,APOE22M,B,Day3,4,MWM_150,3/4/2020,60.0,10.208,0.170,11.2,2.011,0.180,9.0,1.798,0.200,20.3,4.080,0.201,19.5,2.318,0.119,,,20.0,3.168,0.158,Control
119,200302_11,APOE22M,B,Day3,4,MWM_150,3/4/2020,4.8,0.662,0.139,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.8,0.662,0.139,0.587,2.7,0.0,0.000,,Control
120,200302_12,APOE22M,B,Day3,4,MWM_150,3/4/2020,26.1,4.107,0.157,2.7,0.696,0.261,3.6,0.925,0.255,3.4,0.781,0.230,16.4,1.704,0.104,4.107,24.1,1.5,0.273,0.182,Control
121,200302_3,APOE22M,B,Day4,1,MWM_150,3/5/2020,5.4,0.736,0.135,0.0,0.000,,0.6,0.184,0.307,0.8,0.148,0.186,4.0,0.404,0.100,0.666,3.4,0.0,0.000,,Control
122,200302_4,APOE22M,B,Day4,1,MWM_150,3/5/2020,34.9,2.976,0.085,0.0,0.000,,0.0,0.000,,25.0,1.311,0.053,9.9,1.665,0.168,2.907,32.9,7.2,1.267,0.176,Control
123,200302_5,APOE22M,B,Day4,1,MWM_150,3/5/2020,14.9,0.865,0.058,0.0,0.000,,0.0,0.000,,11.5,0.441,0.038,3.4,0.424,0.126,0.795,12.8,0.0,0.000,,Control
124,200302_6,APOE22F,A,Day4,1,MWM_150,3/5/2020,21.5,1.889,0.088,0.0,0.000,,0.0,0.000,,17.5,1.438,0.082,4.0,0.450,0.113,1.889,19.4,0.0,0.000,,Control
125,200302_7,APOE22F,A,Day4,1,MWM_150,3/5/2020,23.5,2.252,0.096,1.8,0.609,0.332,3.6,0.918,0.253,14.9,0.367,0.025,3.1,0.358,0.114,2.171,21.5,0.0,0.000,,Control
126,200302_8,APOE22F,A,Day4,1,MWM_150,3/5/2020,10.6,1.737,0.164,0.0,0.000,,1.1,0.309,0.273,5.2,0.949,0.183,4.2,0.479,0.113,1.670,8.5,0.8,0.121,0.151,Control
127,200302_9,APOE22F,A,Day4,1,MWM_150,3/5/2020,10.9,1.819,0.167,0.0,0.000,,0.0,0.000,,2.9,0.543,0.190,8.0,1.276,0.159,1.666,8.9,0.6,0.077,0.137,Control
128,200302_10,APOE22M,B,Day4,1,MWM_150,3/5/2020,26.1,4.094,0.157,5.8,1.088,0.188,3.5,0.885,0.250,13.7,1.828,0.133,3.1,0.293,0.095,4.027,24.1,3.0,0.367,0.124,Control
129,200302_11,APOE22M,B,Day4,1,MWM_150,3/5/2020,5.2,0.873,0.168,0.0,0.000,,0.0,0.000,,1.9,0.387,0.206,3.3,0.486,0.147,0.763,3.1,0.0,0.000,,Control
130,200302_12,APOE22M,B,Day4,1,MWM_150,3/5/2020,50.3,9.125,0.182,8.2,1.767,0.216,4.6,1.118,0.241,25.2,4.044,0.160,12.3,2.194,0.179,9.087,48.2,7.8,1.384,0.177,Control
131,200302_3,APOE22M,B,Day4,2,MWM_150,3/5/2020,9.3,0.763,0.082,0.0,0.000,,1.5,0.244,0.165,0.0,0.000,,7.8,0.519,0.066,0.725,7.3,2.0,0.159,0.078,Control
132,200302_4,APOE22M,B,Day4,2,MWM_150,3/5/2020,35.0,5.410,0.155,3.9,0.941,0.241,18.3,1.574,0.086,3.9,0.967,0.250,8.8,1.854,0.212,5.045,32.9,11.0,2.552,0.231,Control
133,200302_5,APOE22M,B,Day4,2,MWM_150,3/5/2020,8.4,0.505,0.060,0.0,0.000,,5.7,0.322,0.056,0.0,0.000,,2.7,0.183,0.068,0.471,6.3,0.0,0.000,,Control
134,200302_6,APOE22F,A,Day4,2,MWM_150,3/5/2020,8.1,0.473,0.058,0.0,0.000,,5.5,0.273,0.050,0.0,0.000,,2.6,0.199,0.076,0.439,6.1,0.0,0.000,,Control
135,200302_7,APOE22F,A,Day4,2,MWM_150,3/5/2020,20.7,2.305,0.111,0.0,0.000,,9.9,0.648,0.066,0.0,0.000,,10.8,1.657,0.153,2.230,18.6,0.0,0.000,,Control
136,200302_8,APOE22F,A,Day4,2,MWM_150,3/5/2020,11.2,1.804,0.161,0.0,0.000,,2.4,0.494,0.202,0.0,0.000,,8.8,1.310,0.150,1.698,9.1,0.0,0.000,,Control
137,200302_9,APOE22F,A,Day4,2,MWM_150,3/5/2020,33.4,5.698,0.171,0.0,0.000,,11.5,1.992,0.173,3.0,0.440,0.147,18.9,3.266,0.173,5.631,31.4,1.0,0.182,0.182,Control
138,200302_10,APOE22M,B,Day4,2,MWM_150,3/5/2020,13.7,2.478,0.181,0.0,0.000,,3.1,0.566,0.180,1.6,0.343,0.214,8.9,1.570,0.176,2.411,11.6,1.4,0.265,0.185,Control
