Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
63,190909_3,APOE33_F,A,Day3,3,MWM_150,9/11/2019,29.0,5.663,0.196,3.4,0.714,0.208,6.6,0.995,0.151,7.4,1.641,0.222,11.5,2.312,0.201,5.586,26.8,8.0,1.344,0.169,Control
64,190909_4,APOE33_F,A,Day3,3,MWM_150,9/11/2019,18.8,1.953,0.104,0.0,0.000,,0.0,0.000,,13.4,1.345,0.100,5.1,0.607,0.118,1.876,16.8,10.8,1.215,0.112,Control
65,190909_8,APOE33_M,C,Day3,3,MWM_150,9/11/2019,38.9,7.372,0.190,3.0,0.406,0.137,12.2,2.399,0.197,8.9,1.649,0.185,14.8,2.918,0.197,7.293,36.8,6.1,0.691,0.114,Control
66,190909_9,APOE33_F,A,Day3,3,MWM_150,9/11/2019,59.3,9.507,0.160,22.0,3.221,0.146,0.0,0.000,,23.6,4.407,0.187,13.7,1.880,0.137,9.507,57.2,5.7,0.786,0.139,Control
67,190909_1,HN_M,B,Day3,4,MWM_150,9/11/2019,16.3,2.997,0.183,0.0,0.000,,4.4,0.991,0.223,0.0,0.000,,11.9,2.007,0.169,2.930,14.3,6.1,1.059,0.174,Control
68,190909_2,APOE33_M,C,Day3,4,MWM_150,9/11/2019,6.9,0.510,0.074,0.0,0.000,,0.0,0.000,,0.0,0.000,,6.9,0.510,0.074,0.472,4.8,2.9,0.220,0.077,Control
69,190909_3,APOE33_F,A,Day3,4,MWM_150,9/11/2019,60.0,11.867,0.198,2.6,0.515,0.198,12.4,2.146,0.174,14.3,3.154,0.220,30.7,6.053,0.197,,,9.3,1.445,0.155,Control
70,190909_4,APOE33_F,A,Day3,4,MWM_150,9/11/2019,9.8,1.050,0.107,0.0,0.000,,0.0,0.000,,0.0,0.000,,9.8,1.050,0.107,1.016,7.7,0.0,0.000,,Control
71,190909_8,APOE33_M,C,Day3,4,MWM_150,9/11/2019,2.7,0.120,0.044,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.7,0.120,0.044,0.051,0.6,0.0,0.000,,Control
72,190909_9,APOE33_F,A,Day3,4,MWM_150,9/11/2019,16.3,2.094,0.129,1.9,0.331,0.174,4.4,0.851,0.194,4.1,0.540,0.133,5.9,0.371,0.063,2.060,14.2,0.0,0.000,,Control
