Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
316,211004_16,E4HN_M,B,Day5,4,MWM_150,10/15/21,11.7,1.287,0.11,1.1,0.175,0.153,1.5,0.291,0.19,0,0,,9,0.821,0.091,1.199,7.6,0,0,,HFD,M,12
317,211004_17,E4HN_M,B,Day5,4,MWM_150,10/15/21,34.4,2.509,0.073,18.8,0.9,0.048,10,1.353,0.136,0,0,,5.6,0.255,0.045,2.463,30.3,17.3,0.856,0.049,HFD,M,12
318,211004_19,E44_M,A,Day5,4,MWM_150,10/15/21,9.4,1.042,0.111,2.1,0.36,0.174,0,0,,1.8,0.391,0.217,5.5,0.291,0.053,0.998,5.3,0,0,,Control,M,18
319,211004_20,E44_F,A,Day5,4,MWM_150,10/15/21,8.7,0.884,0.101,2.5,0.391,0.158,1.1,0.275,0.258,0,0,,5.2,0.218,0.042,0.842,4.7,0,0,,Control,F,18
320,211004_21,E4HN_M,B,Day5,4,MWM_150,10/15/21,11,1.141,0.104,3.9,0.635,0.164,0,0,,1.7,0.287,0.169,5.4,0.219,0.04,1.102,6.9,0,0,,Control,M,18
321,211004_1,E33_M,C,Probe_D5,1,MWM_150,10/15/21,60,12.057,0.201,2.7,0.646,0.242,10.3,2.096,0.203,6.7,1.464,0.22,40.4,7.851,0.194,0.675,2.5,4,0.588,0.148,Control,M,12
322,211004_2,E33_M,C,Probe_D5,1,MWM_150,10/15/21,60,13.374,0.223,10.1,2.357,0.234,11.1,2.514,0.227,10.4,2.231,0.214,28.4,6.271,0.221,1.107,4.4,7.4,1.205,0.164,Control,M,12
323,211004_3,E33_M,C,Probe_D5,1,MWM_150,10/15/21,60,11.938,0.199,8.1,1.531,0.189,1.4,0.295,0.216,13.3,2.89,0.217,37.2,7.221,0.194,0.855,3.5,2.5,0.256,0.101,Control,M,12
324,211004_5,E33_F,C,Probe_D5,1,MWM_150,10/15/21,60,9.935,0.166,2.2,0.333,0.154,12.6,1.886,0.15,8.2,1.311,0.159,37,6.406,0.173,2.57,15.2,3.7,0.484,0.132,HFD,F,12
325,211004_9,E33_F,C,Probe_D5,1,MWM_150,10/15/21,60,11.843,0.197,3.7,0.842,0.229,12.1,2.203,0.182,8.7,2.056,0.237,35.6,6.742,0.19,0.968,4.1,7.4,0.748,0.101,HFD,F,12
326,211004_10,E4HN_F,B,Probe_D5,1,MWM_150,10/15/21,60,11.024,0.184,3.1,0.592,0.189,8.6,1.504,0.175,14.2,2.674,0.188,34.1,6.254,0.184,1.383,8.5,2,0.339,0.172,Control,F,12
327,211004_11,E4HN_F,B,Probe_D5,1,MWM_150,10/15/21,60,10.043,0.167,19.1,2.315,0.121,6.4,1.32,0.205,21.1,3.698,0.175,13.3,2.71,0.204,6.484,43,3.6,0.556,0.153,Control,F,12
328,211004_12,E4HN_F,B,Probe_D5,1,MWM_150,10/15/21,60,9.731,0.162,26.1,3.178,0.122,10.7,2.161,0.203,6.9,1.124,0.164,16.4,3.268,0.199,3.394,28.5,7.5,0.717,0.095,Control,F,12
329,211004_13,E4HN_F,B,Probe_D5,1,MWM_150,10/15/21,60,8.615,0.144,23.3,2.439,0.105,5.1,1.007,0.198,22.8,3.31,0.145,8.8,1.86,0.21,,,4.1,0.546,0.132,Control,F,12
