Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
330,221101-18,E2HN_M_6mo_Control,A,Day4,2,MWM_150,11/10/22,13.1,1.152,0.088,0,0,,7.7,0.85,0.111,0,0,,5.4,0.302,0.055,1.108,9.1,1.7,0.18,0.104,Control,Male,6,E2HN
331,221101-19,E2HN_M_6mo_Control,A,Day4,2,MWM_150,11/10/22,18.9,2.829,0.15,0,0,,3.3,0.571,0.173,2,0.198,0.098,13.6,2.06,0.152,2.696,14.9,0.9,0.097,0.108,Control,Male,6,E2HN
332,221101-20,E4HN_F_6mo_Control,F,Day4,2,MWM_150,11/10/22,60,12.151,0.203,25,4.607,0.184,11.4,2.59,0.226,16.6,3.402,0.205,7,1.554,0.223,,,16.5,3.296,0.2,Control,Female,6,E4HN
333,221101-21,E4HN_F_6mo_Control,F,Day4,2,MWM_150,11/10/22,27,4.403,0.163,2.7,0.6,0.222,7.2,1.352,0.188,4.5,0.912,0.204,12.6,1.538,0.122,4.322,22.9,3.2,0.541,0.167,Control,Female,6,E4HN
334,221101-22,E4HN_F_6mo_Control,F,Day4,2,MWM_150,11/10/22,22.9,2.452,0.107,0,0,,6.3,0.724,0.114,0,0,,16.6,1.729,0.104,2.336,18.8,2.9,0.213,0.074,Control,Female,6,E4HN
335,221101-23,E4HN_F_6mo_Control,F,Day4,2,MWM_150,11/10/22,21.2,2.879,0.136,5.7,1.256,0.222,2.6,0.585,0.222,0,0,,12.9,1.038,0.081,2.798,17.1,0,0,,Control,Female,6,E4HN
336,221101-24,E4HN_F_6mo_Control,F,Day4,2,MWM_150,11/10/22,60,11.73,0.196,7.4,1.821,0.246,25.4,3.903,0.153,5.2,1.353,0.262,22,4.653,0.211,,,7.2,1.024,0.142,Control,Female,6,E4HN
337,221101-1,E44_M_12mo_HFD,C,Day4,3,MWM_150,11/10/22,12,2.05,0.171,3,0.627,0.212,0,0,,3.3,0.921,0.276,5.7,0.501,0.088,1.963,7.9,1.5,0.315,0.205,HFD,Male,12,E44
338,221101-2,E44_M_12mo_HFD,C,Day4,3,MWM_150,11/10/22,18.6,2.29,0.123,4.6,0.594,0.128,0,0,,2.6,0.571,0.22,11.4,1.125,0.099,2.29,14.6,4.9,0.513,0.105,HFD,Male,12,E44
339,221101-3,E4HN_M_18mo_HFD,D,Day4,3,MWM_150,11/10/22,25.8,3.319,0.129,5.4,0.639,0.118,0,0,,12,2.02,0.169,8.4,0.659,0.078,3.223,21.7,5.8,0.789,0.136,HFD,Male,18,E4HN
340,221101-4,E4HN_F_18mo_HFD,B,Day4,3,MWM_150,11/10/22,36.6,3.373,0.092,16.1,0.991,0.062,2.5,0.394,0.158,3.3,0.537,0.164,14.7,1.452,0.098,3.33,32.6,7.2,0.225,0.031,HFD,Female,18,E4HN
341,221101-5,E4HN_M_6mo_Control,E,Day4,3,MWM_150,11/10/22,51.9,5.418,0.104,28.3,2.054,0.073,9.2,1.609,0.176,6.9,0.968,0.14,7.5,0.786,0.105,5.374,47.8,3.7,0.282,0.077,Control,Male,6,E4HN
342,221101-6,E4HN_M_6mo_Control,E,Day4,3,MWM_150,11/10/22,60,4.489,0.075,47.3,2.922,0.062,0,0,,12.7,1.567,0.123,0,0,,,,22.7,0.977,0.043,Control,Male,6,E4HN
343,221101-7,E44_F_6mo_Control,H,Day4,3,MWM_150,11/10/22,8.6,1.095,0.128,1.6,0.425,0.265,0.3,0.112,0.372,0,0,,6.7,0.558,0.084,1.026,4.5,0,0,,Control,Female,6,E44
344,221101-8,E44_F_6mo_Control,H,Day4,3,MWM_150,11/10/22,9.8,1.353,0.138,3.5,0.801,0.231,0,0,,0.9,0.183,0.211,5.5,0.369,0.068,1.315,5.8,0.5,0.078,0.156,Control,Female,6,E44
345,221101-9,E44_F_6mo_Control,H,Day4,3,MWM_150,11/10/22,23.5,2.865,0.122,2.9,0.488,0.17,1.7,0.294,0.173,0,0,,18.9,2.084,0.11,2.826,19.4,1.7,0.176,0.102,Control,Female,6,E44
346,221101-10,E44_M_6mo_Control,G,Day4,3,MWM_150,11/10/22,17,2.541,0.15,1.5,0.333,0.217,0,0,,4.5,1.102,0.245,11,1.107,0.101,2.541,13,1.1,0.134,0.121,Control,Male,6,E44
347,221101-11,E44_M_6mo_Control,G,Day4,3,MWM_150,11/10/22,16.9,1.945,0.115,5,0.735,0.147,0,0,,3.3,0.407,0.123,8.6,0.804,0.093,1.861,12.9,0,0,,Control,Male,6,E44
348,221101-12,E44_M_6mo_Control,G,Day4,3,MWM_150,11/10/22,19.5,3.182,0.164,3.3,0.555,0.166,1.4,0.242,0.173,4.2,1.04,0.249,10.6,1.346,0.128,3.095,15.4,3,0.598,0.202,Control,Male,6,E44
349,221101-13,E2HN_F_6mo_Control,I,Day4,3,MWM_150,11/10/22,13.9,2.209,0.159,2.9,0.562,0.196,0.5,0.211,0.396,2.8,0.522,0.189,7.7,0.914,0.119,2.165,9.8,0,0,,Control,Female,6,E2HN
350,221101-14,E2HN_F_6mo_Control,I,Day4,3,MWM_150,11/10/22,53.7,9.615,0.179,4,0.582,0.144,6.8,1.336,0.197,16.3,3.074,0.188,26.6,4.622,0.174,9.574,49.7,6.3,1.119,0.178,Control,Female,6,E2HN
351,221101-15,E2HN_M_6mo_Control,A,Day4,3,MWM_150,11/10/22,11.9,1.452,0.122,3.1,0.51,0.166,0.6,0.107,0.189,0,0,,8.2,0.835,0.101,1.313,7.8,0,0,,Control,Male,6,E2HN
352,221101-16,E2HN_M_6mo_Control,A,Day4,3,MWM_150,11/10/22,16.9,2.586,0.153,3.8,0.675,0.178,0,0,,4.3,0.982,0.227,8.8,0.929,0.106,2.499,12.9,2.2,0.316,0.143,Control,Male,6,E2HN
353,221101-17,E2HN_M_6mo_Control,A,Day4,3,MWM_150,11/10/22,25.8,5.048,0.195,3.9,0.978,0.249,5.5,1.338,0.243,3.3,0.777,0.238,13.1,1.956,0.149,5.004,21.8,0,0,,Control,Male,6,E2HN
354,221101-18,E2HN_M_6mo_Control,A,Day4,3,MWM_150,11/10/22,21.3,3.216,0.151,3,0.495,0.163,3.4,0.452,0.134,3.9,0.874,0.226,11,1.394,0.127,3.124,17.2,0,0,,Control,Male,6,E2HN
355,221101-19,E2HN_M_6mo_Control,A,Day4,3,MWM_150,11/10/22,7.7,1.054,0.137,1.8,0.403,0.22,0,0,,0.9,0.27,0.3,5,0.381,0.077,0.965,3.7,0,0,,Control,Male,6,E2HN
356,221101-20,E4HN_F_6mo_Control,F,Day4,3,MWM_150,11/10/22,27.4,3.993,0.146,1.2,0.312,0.253,6.6,0.728,0.111,7.2,1.491,0.208,12.5,1.462,0.117,3.953,23.4,2.2,0.223,0.102,Control,Female,6,E4HN
