Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
507,201012_13,E3HN_M,C,Day5,4,MWM_150,1/22/21,18.8,1.66,NE,0.088,5.8,0.712,0.122,2.5,0.306,0.121,0.9,0.083,0.089,9.5,0.558,7.7,0.059,1.66,14.8,0,0,,HFD
508,201012_15,E33_F,B,Day5,4,MWM_150,1/22/21,6.2,0.18,SW,0.029,0,0,,0,0,,0,0,,6.2,0.18,0,0.029,0.067,2.1,0,0,,HFD
509,201012_16,E33_F,B,Day5,4,MWM_150,1/22/21,15.5,2.489,NE,0.16,0.9,0.177,0.197,1,0.129,0.129,1.5,0.487,0.325,12.1,1.696,2.4,0.14,2.374,11.5,0,0,,HFD
510,201012_17,E33_F,B,Day5,4,MWM_150,1/22/21,9.7,1.185,NW,0.123,0,0,,2.9,0.601,0.21,0,0,,6.8,0.584,2.9,0.086,1.111,5.6,0,0,,HFD
511,201012_18,E33_F,B,Day5,4,MWM_150,1/22/21,10.2,1.51,NE,0.149,0.8,0.135,0.17,0,0,,1.2,0.354,0.295,8.2,1.021,2,0.125,1.423,6.1,0,0,,HFD
512,201012_19,E33_F,B,Day5,4,MWM_150,1/22/21,4.5,0.105,SW,0.023,0,0,,0,0,,0,0,,4.5,0.105,0,0.023,,0.5,0,0,,HFD
513,201012_20,E33_F,B,Day5,4,MWM_150,1/22/21,11.1,1.449,SE,0.13,0,0,,1.6,0.294,0.184,1,0.186,0.185,8.5,0.968,1,0.113,1.449,7.1,0,0,,HFD
514,201012_21,E33_F,B,Day5,4,MWM_150,1/22/21,12.2,1.693,NE,0.138,2.4,0.469,0.198,4.3,0.886,0.208,0,0,,5.6,0.337,6.6,0.06,1.651,8.2,0,0,,HFD
515,201012_22,E33_M,E,Day5,4,MWM_150,1/22/21,17.6,2.483,SE,0.141,1,0.175,0.175,1.4,0.254,0.181,3,0.687,0.227,12.2,1.366,1,0.112,2.393,13.6,0,0,,HFD
516,201012_23,E33_M,E,Day5,4,MWM_150,1/22/21,11.5,0.601,SE,0.052,0,0,,0,0,,5.5,0.062,0.011,6,0.539,5.5,0.091,0.517,7.4,0,0,,HFD
