Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
277,200331_4,APOE22F,A,Day4,2,MWM_150,4/3/2020,38.3,4.659,0.122,2.9,0.591,0.204,14.4,2.000,0.139,0.0,0.000,,21.0,2.068,0.098,4.621,36.3,6.8,0.775,0.114,Control
278,200331_5,APOE22F,A,Day4,2,MWM_150,4/3/2020,2.4,0.068,0.029,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.068,0.029,0.000,0.0,0.0,0.000,,Control
279,200331_6,APOE22F,A,Day4,2,MWM_150,4/3/2020,10.3,1.892,0.185,2.2,0.442,0.201,0.0,0.000,,2.3,0.496,0.216,5.8,0.954,0.166,1.583,8.2,0.3,0.039,0.147,Control
280,200331_7,APOE22F,A,Day4,2,MWM_150,4/3/2020,13.6,2.070,0.153,0.0,0.000,,3.6,0.530,0.146,0.0,0.000,,9.9,1.540,0.155,2.070,11.5,3.6,0.431,0.120,Control
281,200331_8,APOE22F,A,Day4,2,MWM_150,4/3/2020,12.4,1.727,0.139,0.0,0.000,,1.2,0.145,0.120,0.0,0.000,0.000,11.1,1.582,0.142,1.655,10.3,0.8,0.038,0.048,Control
282,200331_9,APOE22F,A,Day4,2,MWM_150,4/3/2020,2.8,0.069,0.024,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.8,0.069,0.024,0.033,0.8,0.0,0.000,,Control
283,200331_10,APOE22F,A,Day4,2,MWM_150,4/3/2020,31.0,3.914,0.126,0.0,0.000,,9.5,1.088,0.115,0.9,0.132,0.146,20.6,2.695,0.131,3.836,29.0,3.4,0.385,0.112,Control
284,200331_11,APOE22M,C,Day4,2,MWM_150,4/3/2020,60.0,10.245,0.171,1.3,0.281,0.216,17.3,3.097,0.179,16.5,2.415,0.146,24.9,4.453,0.179,,,11.4,1.731,0.152,Control
285,200331_12,APOE22M,C,Day4,2,MWM_150,4/3/2020,10.9,1.045,0.096,0.0,0.000,,0.9,0.146,0.164,0.0,0.000,,10.0,0.899,0.090,0.973,8.8,0.0,0.000,,Control
286,200331_13,APOE22M,C,Day4,2,MWM_150,4/3/2020,12.0,1.070,0.089,0.0,0.000,,4.0,0.380,0.096,0.0,0.000,,8.0,0.690,0.086,1.037,9.9,2.2,0.189,0.087,Control
287,200331_14,APOE44M,D,Day4,2,MWM_150,4/3/2020,60.0,9.581,0.160,9.0,1.808,0.200,22.6,2.951,0.131,9.6,1.734,0.181,18.8,3.088,0.164,,,6.1,0.605,0.099,Control
288,200331_15,APOE44M,D,Day4,2,MWM_150,4/3/2020,19.3,3.215,0.167,0.0,0.000,,3.6,0.616,0.170,6.3,1.073,0.170,9.4,1.526,0.163,3.143,17.3,0.0,0.000,,Control
289,200331_16,APOE44M,D,Day4,2,MWM_150,4/3/2020,30.9,4.813,0.156,1.1,0.269,0.245,5.0,0.926,0.184,4.0,0.715,0.177,20.7,2.904,0.140,4.778,28.8,8.2,0.894,0.109,Control
290,200331_17,APOE44F,B,Day4,2,MWM_150,4/3/2020,13.2,2.549,0.193,1.5,0.343,0.235,3.1,0.829,0.264,3.9,0.893,0.229,4.7,0.483,0.103,2.549,11.1,0.0,0.000,,Control
291,200331_18,APOE44M,D,Day4,2,MWM_150,4/3/2020,12.8,1.554,0.121,0.7,0.038,0.055,8.7,1.277,0.147,0.0,0.000,,3.4,0.238,0.069,1.519,10.8,0.6,0.082,0.146,Control
292,200331_19,APOE44F,B,Day4,2,MWM_150,4/3/2020,28.7,4.880,0.170,0.0,0.000,,8.8,1.875,0.212,0.0,0.000,,19.9,3.005,0.151,4.841,26.7,0.0,0.000,,Control
293,200331_20,APOE44M,D,Day4,2,MWM_150,4/3/2020,27.4,4.053,0.148,5.5,0.845,0.154,5.6,1.002,0.179,9.1,1.185,0.131,7.2,1.022,0.141,3.981,25.4,5.9,0.482,0.081,Control
294,200331_21,APOE44F,B,Day4,2,MWM_150,4/3/2020,8.7,0.776,0.090,0.0,0.000,,2.6,0.391,0.150,0.0,0.000,,6.1,0.385,0.064,0.709,6.6,0.0,0.000,,Control
