Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
250,220404_3,E22_F_HFD,B,Day5,4,MWM_150,4/22/2022,11.3,0.921,0.082,1.7,0.269,0.16,0,0,,2.3,0.301,0.131,7.3,0.351,0.048,0.883,6.2,0,0,,HFD,F,12
251,220404_4,E22_F_HFD,B,Day5,4,MWM_150,4/22/2022,17.1,2.22,0.13,1.3,0.299,0.223,0.3,0.058,0.216,2.8,0.618,0.218,12.6,1.245,0.099,2.174,12,0,0,,HFD,F,12
252,220404_5,E22_F_HFD,B,Day5,4,MWM_150,4/22/2022,24.9,3.391,0.136,1.4,0.271,0.192,1.2,0.214,0.173,3.5,0.707,0.204,18.8,2.198,0.117,3.3,19.8,0,0,,HFD,F,12
253,220404_6,E22_M_HFD,C,Day5,4,MWM_150,4/22/2022,28.3,2.796,0.099,4,0.48,0.121,5.6,0.578,0.103,3,0.272,0.09,15.8,1.466,0.093,2.749,23.3,0,0,,HFD,M,12
254,220404_7,E22_M_HFD,C,Day5,4,MWM_150,4/22/2022,15.6,1.824,0.117,1.8,0.398,0.22,0,0,,0.2,0.046,0.198,13.6,1.379,0.102,1.695,10.6,0,0,,HFD,M,12
255,220404_8,E22_M_HFD,C,Day5,4,MWM_150,4/22/2022,21.5,2.004,0.093,2.9,0.725,0.253,3.9,0.736,0.189,0,0,,14.8,0.543,0.037,1.921,16.5,1.3,0.116,0.089,HFD,M,12
256,220404_9,E22_M_HFD,C,Day5,4,MWM_150,4/22/2022,25.3,4.309,0.171,3.1,0.561,0.18,6.1,1.073,0.176,3.1,0.799,0.261,13,1.876,0.145,4.225,20.2,0,0,,HFD,M,12
257,220404_10,E22_M_HFD,C,Day5,4,MWM_150,4/22/2022,9.7,0.965,0.099,2.1,0.383,0.182,0,0,,1.1,0.257,0.24,6.6,0.326,0.05,0.839,4.7,0,0,,HFD,M,12
258,220404_11,E2HN_M_18mth control,A,Day5,4,MWM_150,4/22/2022,11.5,1.587,0.138,0.9,0.161,0.177,4.2,1.102,0.262,0,0,,6.4,0.324,0.051,1.547,6.5,0,0,,Control,M,18
259,220404_12,E2HN_M_18mth control,A,Day5,4,MWM_150,4/22/2022,14,1.831,0.131,2.4,0.512,0.212,1.9,0.337,0.177,2.4,0.521,0.217,7.3,0.461,0.063,1.754,8.9,0,0,,Control,M,18
260,220404_13,E2HN_M_18mth control,A,Day5,4,MWM_150,4/22/2022,17.2,1.46,0.085,5.8,0.556,0.096,0.5,0.094,0.203,0.2,0,0,10.7,0.809,0.075,1.368,12.1,0,0,,Control,M,18
261,220404_1,E22_F_HFD,B,Probe_D5,1,MWM_150,4/22/2022,60,11.396,0.19,7.8,1.631,0.21,11,2.139,0.194,10.1,2.078,0.206,31.2,5.547,0.178,2.289,16.1,1,0.171,0.177,HFD,F,12
262,220404_2,E22_F_HFD,B,Probe_D5,1,MWM_150,4/22/2022,60,11.531,0.192,5.7,1.2,0.209,1.7,0.393,0.236,19.5,3.629,0.186,33.1,6.309,0.19,2.367,12.7,8.5,1.123,0.132,HFD,F,12
263,220404_3,E22_F_HFD,B,Probe_D5,1,MWM_150,4/22/2022,60,11.406,0.19,5.9,1.303,0.22,4.9,0.955,0.194,19.5,3.891,0.199,29.6,5.256,0.177,4.787,26,2.5,0.142,0.057,HFD,F,12
264,220404_4,E22_F_HFD,B,Probe_D5,1,MWM_150,4/22/2022,60,13.514,0.225,5.3,1.288,0.244,7.5,1.685,0.226,20.4,4.567,0.224,26.9,5.974,0.222,1.407,6.5,1.4,0.201,0.147,HFD,F,12
265,220404_5,E22_F_HFD,B,Probe_D5,1,MWM_150,4/22/2022,60,11.533,0.192,2.5,0.565,0.222,0.6,0.118,0.211,16.7,3.702,0.222,40.2,7.149,0.178,1.436,8.2,5.8,0.802,0.138,HFD,F,12
266,220404_6,E22_M_HFD,C,Probe_D5,1,MWM_150,4/22/2022,60,10.434,0.174,11,1.934,0.175,9.4,1.506,0.16,20.9,3.506,0.168,18.7,3.487,0.187,,,8.2,1.472,0.18,HFD,M,12
267,220404_7,E22_M_HFD,C,Probe_D5,1,MWM_150,4/22/2022,60,11.674,0.195,4,0.894,0.223,12.5,2.381,0.191,14.3,2.953,0.206,29.2,5.447,0.187,0.822,3.9,13.1,2.536,0.194,HFD,M,12
268,220404_8,E22_M_HFD,C,Probe_D5,1,MWM_150,4/22/2022,60,13.376,0.223,11.4,2.853,0.251,13.3,2.811,0.211,20,4.213,0.211,15.3,3.499,0.228,0.932,4.2,12.6,2.328,0.184,HFD,M,12
269,220404_9,E22_M_HFD,C,Probe_D5,1,MWM_150,4/22/2022,60,14.051,0.234,10,2.232,0.223,12.3,2.721,0.221,14,3.408,0.244,23.7,5.689,0.24,3.504,15.8,7.8,1.208,0.155,HFD,M,12
270,220404_10,E22_M_HFD,C,Probe_D5,1,MWM_150,4/22/2022,60,14.021,0.234,10.4,2.541,0.245,7.3,1.49,0.204,17.5,4.082,0.233,24.8,5.908,0.238,0.948,4,4,0.744,0.186,HFD,M,12
271,220404_11,E2HN_M_18mth control,A,Probe_D5,1,MWM_150,4/22/2022,60,13.364,0.223,6.9,1.722,0.25,14.2,2.859,0.201,13.4,3.183,0.238,25.5,5.601,0.22,0.772,2.9,13.8,2.276,0.165,Control,M,18
272,220404_12,E2HN_M_18mth control,A,Probe_D5,1,MWM_150,4/22/2022,60,11.082,0.185,5.9,1.179,0.2,13,2.438,0.187,19.4,3.494,0.18,21.7,3.971,0.183,1.017,4.9,5.6,0.953,0.17,Control,M,18
273,220404_13,E2HN_M_18mth control,A,Probe_D5,1,MWM_150,4/22/2022,60,10.261,0.171,12.5,1.996,0.159,3.2,0.678,0.21,17.5,3.04,0.174,26.7,4.547,0.17,1.923,15,14.6,2.169,0.149,Control,M,18
274,220404_1,E22_F_HFD,B,Probe_D8,1,MWM_150,4/25/2022,60,11.861,0.198,12.9,2.645,0.205,11.1,2.331,0.211,18.1,3.599,0.198,17.9,3.287,0.184,4.541,24.8,0.5,0.091,0.181,HFD,F,12
275,220404_2,E22_F_HFD,B,Probe_D8,1,MWM_150,4/25/2022,60,12.345,0.206,6,1.189,0.197,5.3,1.042,0.195,21.9,4.577,0.209,26.8,5.537,0.207,7.31,34.5,3.2,0.567,0.177,HFD,F,12
276,220404_3,E22_F_HFD,B,Probe_D8,1,MWM_150,4/25/2022,60,12.414,0.207,7.9,1.548,0.195,4.6,0.969,0.209,27.1,5.809,0.214,20.3,4.088,0.201,8.478,40.8,2,0.332,0.166,HFD,F,12
277,220404_4,E22_F_HFD,B,Probe_D8,1,MWM_150,4/25/2022,60,14.098,0.235,9.1,2.218,0.245,7.3,1.867,0.256,19.2,4.362,0.227,24.4,5.65,0.232,1.72,8.3,1.7,0.391,0.225,HFD,F,12
278,220404_5,E22_F_HFD,B,Probe_D8,1,MWM_150,4/25/2022,60,13.233,0.221,2.6,0.495,0.187,4.6,1.114,0.244,28,6.056,0.216,24.8,5.568,0.225,2.775,13.8,6.9,1.551,0.224,HFD,F,12
279,220404_6,E22_M_HFD,C,Probe_D8,1,MWM_150,4/25/2022,60,11.188,0.186,8.7,1.592,0.182,8.5,1.929,0.227,16.4,2.998,0.183,26.4,4.669,0.177,2.149,15.6,4.7,0.777,0.165,HFD,M,12
280,220404_7,E22_M_HFD,C,Probe_D8,1,MWM_150,4/25/2022,60,10.799,0.18,11,2.129,0.194,7.3,1.407,0.193,16.3,2.977,0.182,25.4,4.286,0.169,1.836,11,4.3,0.5,0.115,HFD,M,12
281,220404_8,E22_M_HFD,C,Probe_D8,1,MWM_150,4/25/2022,60,13.24,0.221,13.7,3.055,0.222,12.4,2.843,0.229,16.3,3.302,0.202,17.5,4.04,0.231,4.674,21.3,6.1,1.161,0.19,HFD,M,12
282,220404_9,E22_M_HFD,C,Probe_D8,1,MWM_150,4/25/2022,60,14.424,0.24,6.1,1.405,0.23,7,1.646,0.236,24.6,5.946,0.242,22.4,5.427,0.243,2.086,10,4.9,1.017,0.21,HFD,M,12
283,220404_10,E22_M_HFD,C,Probe_D8,1,MWM_150,4/25/2022,60,14.1,0.235,8.1,2.09,0.259,9.9,2.244,0.227,21.8,4.793,0.22,20.2,4.973,0.246,1.144,5.4,14.2,2.765,0.195,HFD,M,12
284,220404_11,E2HN_M_18mth control,A,Probe_D8,1,MWM_150,4/25/2022,60,13.751,0.229,11,2.816,0.255,7.1,1.765,0.247,16.1,3.856,0.239,25.7,5.314,0.207,1.67,7,14.7,2.962,0.201,Control,M,18
285,220404_12,E2HN_M_18mth control,A,Probe_D8,1,MWM_150,4/25/2022,60,12.085,0.201,10,1.874,0.187,10.2,2.183,0.215,17.8,3.594,0.202,22,4.434,0.202,1.444,8.6,15.5,3.006,0.194,Control,M,18
286,220404_13,E2HN_M_18mth control,A,Probe_D8,1,MWM_150,4/25/2022,60,11.352,0.189,6.7,1.086,0.163,7.5,1.424,0.191,19.6,3.745,0.191,26.2,5.097,0.194,2.274,15.1,13.2,1.963,0.149,Control,M,18
