Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
166,210906_22,E44,A,Day2,3,MWM_150,9/14/2021,60,12.072,0.201,7.2,1.643,0.228,9.6,1.924,0.201,21.4,4.431,0.207,21.8,4.074,0.187,,,10.1,1.582,0.156,HFD,F,12
167,210906_23,E44,A,Day2,3,MWM_150,9/14/2021,48,9.843,0.205,11.5,2.549,0.221,5.8,1.46,0.252,18.9,4.299,0.228,11.8,1.535,0.13,9.843,44,13.3,2.877,0.216,Control,F,12
168,210906_24,E44,A,Day2,3,MWM_150,9/14/2021,60,8.952,0.149,9.1,1.639,0.179,21.1,2.777,0.132,16.2,2.744,0.169,13.5,1.791,0.132,,,27.3,2.953,0.108,Control,F,12
169,210906_1,E2HN_F,B,Day2,4,MWM_150,9/14/2021,17.5,1.975,0.113,0,0,,7.9,1.167,0.148,0,0,,9.7,0.808,0.084,1.907,13.5,0.6,0.095,0.159,Control,F,12
170,210906_2,E2HN_F,B,Day2,4,MWM_150,9/14/2021,23,2.623,0.114,0,0,,7.6,1.133,0.15,0,0,,15.5,1.49,0.096,2.587,19,1.5,0.075,0.051,Control,F,12
171,210906_3,E2HN_F,B,Day2,4,MWM_150,9/14/2021,44.8,7.299,0.163,6.9,1.486,0.215,11.1,2.079,0.187,4.8,0.88,0.183,21.9,2.854,0.13,7.266,40.7,5.4,0.748,0.139,Control,F,12
172,210906_4,E2HN_F,B,Day2,4,MWM_150,9/14/2021,6.6,0.525,0.079,0,0,,1.7,0.262,0.157,0,0,,5,0.263,0.053,0.455,2.6,0,0,,Control,F,12
173,210906_5,E2HN_F,B,Day2,4,MWM_150,9/14/2021,9.6,0.98,0.102,0,0,,3,0.426,0.14,0,0,,6.6,0.555,0.084,0.876,5.6,0,0,,Control,F,12
174,210906_6,E2HN_M,C,Day2,4,MWM_150,9/14/2021,15.1,1.483,0.098,0,0,,5.6,0.883,0.156,0,0,,9.5,0.6,0.063,1.45,11.1,3.6,0.319,0.089,Control,M,12
175,210906_7,E2HN_F,B,Day2,4,MWM_150,9/14/2021,27.4,4.613,0.168,2.5,0.57,0.225,16,2.915,0.182,2.4,0.599,0.253,6.5,0.529,0.081,4.58,23.3,2.2,0.355,0.164,Control,F,12
176,210906_8,E2HN_F,B,Day2,4,MWM_150,9/14/2021,41,8.025,0.196,11.1,2.413,0.218,7.8,1.846,0.238,6.4,1.233,0.194,15.8,2.533,0.16,7.915,36.9,7.3,1.5,0.206,Control,F,12
177,210906_9,E44,A,Day2,4,MWM_150,9/14/2021,18,2.418,0.134,1.5,0.314,0.209,2.1,0.229,0.11,2.7,0.604,0.227,11.8,1.271,0.108,2.418,14,0.4,0.038,0.103,HFD,F,12
178,210906_10,E44,A,Day2,4,MWM_150,9/14/2021,33.2,5.699,0.172,9.2,1.873,0.204,8.1,1.705,0.209,4,0.825,0.204,11.8,1.297,0.11,5.655,29.2,2.2,0.223,0.1,HFD,F,12
179,210906_11,E44,A,Day2,4,MWM_150,9/14/2021,60,12.119,0.202,10,2.229,0.222,19.6,4.304,0.22,11.3,2.142,0.19,19.1,3.445,0.18,,,21.5,3.895,0.181,HFD,F,12
180,210906_12,E44,A,Day2,4,MWM_150,9/14/2021,18.6,2.723,0.146,7.8,1.489,0.19,2.4,0.404,0.17,1.6,0.371,0.232,6.8,0.458,0.067,2.682,14.6,2,0.236,0.118,HFD,F,12
