Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
238,220110_10,E2HN_F_ctrl,B,Day5,4,MWM_150,1/28/2022,6.2,0.845,0.136,1,0.252,0.252,0,0,,0.3,0.12,0.4,0.8,0.255,0.306,0.627,2.1,0,0,,Control,F,12
239,220110_11,E44_M_HFD,C,Day5,4,MWM_150,1/28/2022,10.4,0.797,0.076,3.8,0.373,0.098,0,0,,1.2,0.138,0.118,1.4,0.242,0.177,0.753,6.3,0,0,,HFD,M,12
240,220110_12,E44_M_HFD,C,Day5,4,MWM_150,1/28/2022,10.2,0.939,0.092,1.1,0.188,0.164,0.9,0.237,0.263,0,0,,4.1,0.473,0.115,0.898,6.1,0,0,,HFD,M,12
241,220110_1,E2HN_M_hfd,A,Probe_D5,1,MWM_150,1/28/2022,60,11.9,0.198,8,1.599,0.199,9.6,1.987,0.207,14.9,2.994,0.2,26.9,5.193,0.193,3.883,20.2,1.2,0.206,0.172,HFD,M,12
242,220110_2,E2HN_M_hfd,A,Probe_D5,1,MWM_150,1/28/2022,60,10.564,0.176,9.9,1.471,0.148,10.1,1.357,0.135,16.3,3.205,0.196,22.2,4.192,0.189,3.454,21.4,4.1,0.623,0.151,HFD,M,12
243,220110_3,E2HN_M_hfd,A,Probe_D5,1,MWM_150,1/28/2022,60,11.443,0.191,1.6,0.331,0.21,4.4,0.795,0.18,21.9,4.239,0.194,31.7,5.961,0.188,1.795,9.5,6.3,0.766,0.122,HFD,M,12
244,220110_4,E2HN_M_hfd,A,Probe_D5,1,MWM_150,1/28/2022,60,10.754,0.179,14.6,2.431,0.166,8.6,1.475,0.172,16.5,3.106,0.189,18.4,3.295,0.179,5.124,29,2.7,0.41,0.15,HFD,M,12
245,220110_5,E2HN_M_ctrl,D,Probe_D5,1,MWM_150,1/28/2022,60,11.308,0.188,4.5,0.938,0.207,9.8,1.771,0.181,11.3,2.268,0.201,32.2,5.972,0.186,1.098,5.2,0.6,0.079,0.14,Control,M,12
246,220110_6,E2HN_M_ctrl,D,Probe_D5,1,MWM_150,1/28/2022,60,10.431,0.174,8,1.356,0.17,11.9,2.108,0.177,12.1,2.052,0.17,26.1,4.652,0.178,1.343,8.6,1.6,0.216,0.132,Control,M,12
247,220110_7,E2HN_M_ctrl,D,Probe_D5,1,MWM_150,1/28/2022,60,9.249,0.154,10.1,0.873,0.086,6,0.885,0.147,17.4,3.137,0.181,25.6,4.156,0.162,4.377,32.2,2,0.306,0.155,Control,M,12
248,220110_8,E2HN_F_ctrl,B,Probe_D5,1,MWM_150,1/28/2022,60,12.187,0.203,5.3,1.154,0.219,0,0,,21.8,4.389,0.202,30.5,6.102,0.2,1.803,10.1,2.6,0.433,0.169,Control,F,12
249,220110_9,E2HN_F_ctrl,B,Probe_D5,1,MWM_150,1/28/2022,60,13.733,0.229,4.3,1.131,0.261,7.4,1.479,0.2,13.2,2.992,0.227,32.9,7.645,0.232,1.842,3.6,3.5,0.6,0.17,Control,F,12
250,220110_10,E2HN_F_ctrl,B,Probe_D5,1,MWM_150,1/28/2022,60,11.685,0.195,0.8,0.151,0.195,7.5,1.494,0.199,21.1,3.763,0.178,30.1,6.181,0.205,0.672,2.1,4.8,0.704,0.146,Control,F,12
251,220110_11,E44_M_HFD,C,Probe_D5,1,MWM_150,1/28/2022,60,8.705,0.145,4.9,0.737,0.149,1,0.057,0.059,10.2,1.478,0.145,39.9,5.798,0.145,2.005,14.8,2.5,0.223,0.089,HFD,M,12
252,220110_12,E44_M_HFD,C,Probe_D5,1,MWM_150,1/28/2022,60,9.413,0.157,4.9,1.008,0.207,3.6,0.676,0.186,20.2,2.899,0.143,28.8,4.451,0.154,0.844,3.6,2.8,0.47,0.168,HFD,M,12
253,220110_1,E2HN_M_hfd,A,Probe_D8,1,MWM_150,1/31/2022,60,11.5,0.192,10.5,1.959,0.187,4.6,0.886,0.192,20.2,3.907,0.193,23.9,4.554,0.19,1.72,9.8,11.3,1.786,0.159,HFD,M,12
254,220110_2,E2HN_M_hfd,A,Probe_D8,1,MWM_150,1/31/2022,60,10.964,0.183,12.2,2.194,0.18,7.3,1.543,0.211,24.7,4.201,0.17,15.2,2.964,0.195,3.606,23,3.4,0.461,0.136,HFD,M,12
255,220110_3,E2HN_M_hfd,A,Probe_D8,1,MWM_150,1/31/2022,60,11.212,0.187,4.5,0.849,0.19,7.6,1.623,0.213,17.8,3.27,0.184,29.2,5.318,0.182,5.65,30.8,0,0,,HFD,M,12
256,220110_4,E2HN_M_hfd,A,Probe_D8,1,MWM_150,1/31/2022,60,10.406,0.173,16.9,2.841,0.168,17.6,3.045,0.173,7.8,1.356,0.174,16.8,2.984,0.178,2.333,16,11.4,1.778,0.156,HFD,M,12
257,220110_5,E2HN_M_ctrl,D,Probe_D8,1,MWM_150,1/31/2022,60,12.018,0.2,4.2,0.837,0.197,2.7,0.509,0.188,31.5,6.512,0.207,21.5,4.161,0.193,,,4.2,0.725,0.171,Control,M,12
258,220110_6,E2HN_M_ctrl,D,Probe_D8,1,MWM_150,1/31/2022,60,10.295,0.172,6.8,1.155,0.17,6.6,1.062,0.161,12.2,2.169,0.177,31.5,5.463,0.174,0.707,3.7,3.7,0.359,0.098,Control,M,12
259,220110_7,E2HN_M_ctrl,D,Probe_D8,1,MWM_150,1/31/2022,60,9.346,0.156,6.1,0.782,0.127,1.9,0.268,0.144,10.2,1.452,0.143,40.6,6.724,0.165,1.845,14.6,3.8,0.44,0.115,Control,M,12
260,220110_8,E2HN_F_ctrl,B,Probe_D8,1,MWM_150,1/31/2022,60,13.385,0.223,3.8,0.936,0.246,6.8,1.519,0.225,20.1,4.786,0.239,29.1,6.097,0.21,12.885,57.7,4.9,1.15,0.234,Control,F,12
261,220110_9,E2HN_F_ctrl,B,Probe_D8,1,MWM_150,1/31/2022,60,13.815,0.23,5.6,1.139,0.202,4.7,1.213,0.256,22.7,5.566,0.246,27,5.897,0.219,,,18.2,3.97,0.219,Control,F,12
262,220110_10,E2HN_F_ctrl,B,Probe_D8,1,MWM_150,1/31/2022,60,12.238,0.204,16.1,3.097,0.192,4.4,0.918,0.21,25.4,5.146,0.203,13.8,3.017,0.219,7.448,36.2,3.6,0.66,0.183,Control,F,12
263,220110_11,E44_M_HFD,C,Probe_D8,1,MWM_150,1/31/2022,60,8.859,0.148,7.2,0.837,0.116,15.1,1.884,0.125,14.4,2.294,0.159,21.6,3.48,0.161,3.799,27.7,3.3,0.264,0.08,HFD,M,12
264,220110_12,E44_M_HFD,C,Probe_D8,1,MWM_150,1/31/2022,60,9.763,0.163,15.1,2.056,0.136,6.2,1.107,0.18,24.9,4.395,0.177,13.7,2.205,0.161,8.303,52.5,2.9,0.336,0.116,HFD,M,12
