Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
478,220905_14,E33_F_6month_Control,G,Day5,1,MWM_150,9/16/22,4.3,0.129,0.03,0,0,,0,0,,0,0,,4.3,0.129,0.03,0.05,0.3,0,0,,Control
479,220905_15,E33_F_6month_Control,G,Day5,1,MWM_150,9/16/22,4.5,0.183,0.04,0,0,,0,0,,0,0,,4.5,0.183,0.04,0.053,0.5,0,0,,Control
480,220905_16,E33_F_6month_Control,G,Day5,1,MWM_150,9/16/22,4.4,0.122,0.028,0,0,,0,0,,0,0,,4.4,0.122,0.028,0.045,0.4,0,0,,Control
481,220905_17,E33_F_6month_Control,G,Day5,1,MWM_150,9/16/22,14.1,2.296,0.163,0,0,,2.9,0.782,0.27,0,0,,11.2,1.514,0.136,2.204,10,0,0,,Control
482,220905_18,E4HN_M_6month_Control,D,Day5,1,MWM_150,9/16/22,16.7,2.648,0.159,0,0,,0.3,0.042,0.159,4.2,0.98,0.233,12.2,1.626,0.133,2.648,12.6,2,0.389,0.194,Control
483,220905_19,E4HN_M_6month_Control,D,Day5,1,MWM_150,9/16/22,36.4,4.427,0.122,0.5,0.042,0.089,13.9,1.553,0.112,3.6,0.632,0.177,18.5,2.2,0.119,4.388,32.4,0,0,,Control
484,220905_20,E4HN_M_6month_Control,D,Day5,1,MWM_150,9/16/22,41.4,5.652,0.136,1.9,0.384,0.199,6.2,1.111,0.18,18.1,1.891,0.105,15.2,2.265,0.149,5.061,37.4,0,0,,Control
485,220905_21,E44_F_6month_Control,H,Day5,1,MWM_150,9/16/22,27,3.987,0.148,0.6,0.135,0.238,3.4,0.551,0.161,6.6,1.067,0.161,16.4,2.234,0.136,3.987,23,4.9,0.604,0.123,Control
486,220905_22,E44_F_6month_Control,H,Day5,1,MWM_150,9/16/22,9.7,0.761,0.078,0,0,,0,0,,0,0,,9.7,0.761,0.078,0.727,5.7,0,0,,Control
487,220905_23,E44_M_6month_Control,F,Day5,1,MWM_150,9/16/22,24.9,3.691,0.148,2.9,0.574,0.198,8.4,1.437,0.172,3.9,0.742,0.19,9.7,0.938,0.096,3.646,20.9,0,0,,Control
488,220905_24,E44_M_6month_Control,F,Day5,1,MWM_150,9/16/22,5.9,0.342,0.058,0,0,,0,0,,0,0,,5.9,0.342,0.058,0.255,1.9,0,0,,Control
489,220905_25,E44_M_6month_Control,F,Day5,1,MWM_150,9/16/22,16.8,2.108,0.125,0,0,,0,0,,0.9,0.089,0.096,15.9,2.019,0.127,2.021,12.8,0,0,,Control
490,220905_26,E3HN_F_6month_Control,E,Day5,1,MWM_150,9/16/22,31,6.289,0.203,5.2,1.198,0.232,7.1,1.663,0.234,4,1.122,0.278,14.7,2.306,0.157,6.216,27,0,0,,Control
491,220905_27,E3HN_F_6month_Control,E,Day5,1,MWM_150,9/16/22,4.9,0.194,0.04,0,0,,0,0,,0,0,,4.9,0.194,0.04,0.087,0.8,0,0,,Control
492,220905_28,E3HN_F_6month_Control,E,Day5,1,MWM_150,9/16/22,17.3,1.542,0.089,0,0,,7.1,0.774,0.108,0,0,,10.1,0.768,0.076,1.508,14.3,0,0,,Control
493,220905_29,E3HN_F_6month_Control,E,Day5,1,MWM_150,9/16/22,6.6,0.579,0.088,0.4,0.038,0.089,0.6,0.089,0.156,0.4,0.082,0.223,5.2,0.371,0.071,0.512,2.6,0,0,,Control
494,220905_1,E44_M_18month_HFD,A,Day5,2,MWM_150,9/16/22,36.3,4.621,0.127,0,0,,6.5,1.047,0.16,9.4,1.678,0.178,20.4,1.897,0.093,4.58,32.3,5.1,0.7,0.137,HFD
495,220905_2,E44_F_18month_HFD,C,Day5,2,MWM_150,9/16/22,17.3,1.175,0.068,0,0,,0,0,,8.9,0.779,0.087,8.4,0.396,0.047,1.091,13.3,0,0,,HFD
496,220905_3,E44_M_18month_HFD,A,Day5,2,MWM_150,9/16/22,9.2,0.757,0.082,0,0,,0,0,,2.1,0.299,0.14,7.1,0.458,0.065,0.62,5.1,0,0,,HFD
497,220905_4,E3HN_M_6month_Control,I,Day5,2,MWM_150,9/16/22,7.6,0.82,0.107,0,0,,0,0,,0.7,0.158,0.225,6.9,0.662,0.096,0.731,3.6,0,0,,Control
498,220905_5,E3HN_M_6month_Control,I,Day5,2,MWM_150,9/16/22,8,0.83,0.104,0,0,,0,0,,2.5,0.447,0.177,5.5,0.383,0.07,0.704,4,0,0,,Control
499,220905_6,E3HN_M_6month_Control,I,Day5,2,MWM_150,9/16/22,7.2,0.807,0.113,0,0,,0,0,,1.8,0.375,0.212,5.4,0.433,0.08,0.718,3.1,0,0,,Control
500,220905_7,E3HN_M_6month_Control,I,Day5,2,MWM_150,9/16/22,14.8,1.563,0.106,0,0,,0,0,,3.1,0.742,0.237,11.7,0.821,0.07,1.487,10.7,0,0,,Control
501,220905_8,E3HN_M_6month_Control,I,Day5,2,MWM_150,9/16/22,15,2.644,0.176,0,0,,1.9,0.472,0.248,3.1,0.683,0.218,10,1.488,0.149,2.551,11,0,0,,Control
502,220905_9,E3HN_M_6month_Control,I,Day5,2,MWM_150,9/16/22,10.9,1.116,0.103,0,0,,0,0,,0.9,0.216,0.25,10,0.9,0.09,0.989,6.8,0,0,,Control
503,220905_10,E2HN_M_18month_Control,B,Day5,2,MWM_150,9/16/22,29.5,4.224,0.143,2.9,0.501,0.171,5.7,0.957,0.169,6.8,1.373,0.201,14.1,1.393,0.099,4.224,25.5,0,0,,Control
504,220905_11,E2HN_M_18month_Control,B,Day5,2,MWM_150,9/16/22,23.3,2.057,0.088,0,0,,0,0,,10.2,1.331,0.131,13.1,0.726,0.056,1.968,19.2,0.8,0.094,0.117,Control
505,220905_12,E2HN_M_18month_Control,B,Day5,2,MWM_150,9/16/22,9.7,0.924,0.095,0,0,,0,0,,2.9,0.498,0.17,6.8,0.425,0.063,0.882,5.6,0,0,,Control
506,220905_13,E33_F_6month_Control,G,Day5,2,MWM_150,9/16/22,10.5,1.742,0.165,0.1,0.042,0.417,0,0,,3.5,0.922,0.266,7,0.778,0.112,1.665,6.5,0,0,,Control
507,220905_14,E33_F_6month_Control,G,Day5,2,MWM_150,9/16/22,6.2,0.815,0.132,0,0,,0,0,,1.1,0.346,0.324,5.1,0.469,0.092,0.695,2.1,0,0,,Control
508,220905_15,E33_F_6month_Control,G,Day5,2,MWM_150,9/16/22,6.2,0.726,0.116,0,0,,0,0,,1.1,0.315,0.286,5.1,0.412,0.08,0.634,2.2,0,0,,Control
509,220905_16,E33_F_6month_Control,G,Day5,2,MWM_150,9/16/22,10.2,1.519,0.148,0,0,,2.2,0.483,0.216,1.7,0.441,0.264,6.3,0.596,0.094,1.519,6.2,0,0,,Control
510,220905_17,E33_F_6month_Control,G,Day5,2,MWM_150,9/16/22,13.6,1.776,0.13,0,0,,0,0,,4.6,1.031,0.222,9,0.745,0.083,1.734,9.6,0.8,0.181,0.217,Control
511,220905_18,E4HN_M_6month_Control,D,Day5,2,MWM_150,9/16/22,8.8,0.852,0.096,0,0,,0,0,,2.8,0.519,0.187,6.1,0.333,0.055,0.774,4.8,0,0,,Control
512,220905_19,E4HN_M_6month_Control,D,Day5,2,MWM_150,9/16/22,51.5,9.347,0.181,1.3,0.34,0.261,4.5,0.994,0.221,25.1,4.616,0.184,20.6,3.397,0.165,9.271,47.5,1.8,0.225,0.128,Control
513,220905_20,E4HN_M_6month_Control,D,Day5,2,MWM_150,9/16/22,15.7,1.324,0.085,0,0,,0,0,,1.7,0.248,0.146,14,1.076,0.077,1.242,11.6,0,0,,Control
514,220905_21,E44_F_6month_Control,H,Day5,2,MWM_150,9/16/22,9.2,0.974,0.105,0,0,,0,0,,3.6,0.642,0.177,5.6,0.331,0.059,0.94,5.2,0,0,,Control
515,220905_22,E44_F_6month_Control,H,Day5,2,MWM_150,9/16/22,33.4,3.494,0.105,0,0,,0,0,,17.5,1.848,0.106,15.9,1.647,0.104,3.456,29.3,5.1,0.428,0.084,Control
516,220905_23,E44_M_6month_Control,F,Day5,2,MWM_150,9/16/22,10.1,1.058,0.105,0,0,,0,0,,1.3,0.263,0.202,8.8,0.795,0.09,1.015,6.1,0,0,,Control
517,220905_24,E44_M_6month_Control,F,Day5,2,MWM_150,9/16/22,14.2,1.722,0.121,0,0,,0,0,,5,0.89,0.177,9.2,0.833,0.091,1.601,10.1,0,0,,Control
518,220905_25,E44_M_6month_Control,F,Day5,2,MWM_150,9/16/22,8.1,0.831,0.102,0,0,,0,0,,1.8,0.436,0.242,6.3,0.395,0.063,0.746,4.1,0,0,,Control
519,220905_26,E3HN_F_6month_Control,E,Day5,2,MWM_150,9/16/22,9.2,1.359,0.147,0.8,0.217,0.26,0,0,,1.6,0.431,0.27,6.8,0.71,0.105,1.316,5.2,0,0,,Control
520,220905_27,E3HN_F_6month_Control,E,Day5,2,MWM_150,9/16/22,6.6,0.564,0.085,0,0,,0,0,,1.2,0.257,0.208,5.4,0.307,0.057,0.485,2.6,0,0,,Control
521,220905_28,E3HN_F_6month_Control,E,Day5,2,MWM_150,9/16/22,14.4,1.314,0.092,0,0,,0,0,,2.7,0.407,0.153,11.7,0.907,0.078,1.238,10.3,0,0,,Control
522,220905_29,E3HN_F_6month_Control,E,Day5,2,MWM_150,9/16/22,56.6,12.004,0.212,6.4,1.638,0.256,10.5,2.294,0.219,13.4,3.155,0.236,26.3,4.917,0.187,12.004,52.5,12.7,1.792,0.141,Control
523,220905_1,E44_M_18month_HFD,A,Day5,3,MWM_150,9/16/22,13.4,0.966,0.072,0,0,,5.8,0.6,0.104,0,0,,7.7,0.366,0.048,0.923,9.4,0,0,,HFD
524,220905_2,E44_F_18month_HFD,C,Day5,3,MWM_150,9/16/22,17.1,1.69,0.099,0.8,0.091,0.114,9.8,1.363,0.139,0,0,,6.5,0.235,0.036,1.648,13.1,0,0,,HFD
525,220905_3,E44_M_18month_HFD,A,Day5,3,MWM_150,9/16/22,17.3,1.28,0.074,1.5,0.089,0.061,6.6,0.737,0.112,0,0,,9.2,0.453,0.049,1.238,13.2,0,0,,HFD
526,220905_4,E3HN_M_6month_Control,I,Day5,3,MWM_150,9/16/22,10.7,1.126,0.105,0,0,,4.1,0.724,0.178,0,0,,6.7,0.402,0.06,1.044,6.7,0,0,,Control
527,220905_5,E3HN_M_6month_Control,I,Day5,3,MWM_150,9/16/22,27.6,3.189,0.115,0,0,,5.4,0.478,0.088,6.7,0.803,0.119,15.5,1.908,0.123,3.103,23.6,0,0,,Control
528,220905_6,E3HN_M_6month_Control,I,Day5,3,MWM_150,9/16/22,21,2.935,0.139,1.4,0.283,0.197,5.2,0.926,0.179,0,0,,14.4,1.727,0.12,2.893,17,0,0,,Control
529,220905_7,E3HN_M_6month_Control,I,Day5,3,MWM_150,9/16/22,23.2,3.417,0.147,2.9,0.415,0.145,11.3,2.001,0.178,3,0.644,0.215,6.1,0.357,0.058,3.342,19.2,0,0,,Control
530,220905_8,E3HN_M_6month_Control,I,Day5,3,MWM_150,9/16/22,10.2,1.261,0.124,1.2,0.322,0.268,1.6,0.274,0.167,1.4,0.32,0.229,5.9,0.346,0.058,1.184,6.1,0,0,,Control
531,220905_9,E3HN_M_6month_Control,I,Day5,3,MWM_150,9/16/22,15.1,1.469,0.097,0,0,,7.3,1.088,0.148,0,0,,7.8,0.381,0.049,1.431,11,0,0,,Control
532,220905_10,E2HN_M_18month_Control,B,Day5,3,MWM_150,9/16/22,10.8,1.461,0.135,2.2,0.546,0.252,0.9,0.126,0.135,2.3,0.508,0.218,5.4,0.281,0.052,1.384,6.8,0,0,,Control
533,220905_11,E2HN_M_18month_Control,B,Day5,3,MWM_150,9/16/22,17.3,2.016,0.116,3.1,0.575,0.187,1.6,0.246,0.15,3.6,0.598,0.165,9,0.597,0.066,1.887,13.3,0,0,,Control
534,220905_12,E2HN_M_18month_Control,B,Day5,3,MWM_150,9/16/22,10.9,1.002,0.092,0,0,,3.5,0.545,0.154,0,0,,7.4,0.457,0.062,0.962,6.8,0,0,,Control
535,220905_13,E33_F_6month_Control,G,Day5,3,MWM_150,9/16/22,6.4,0.806,0.127,0.7,0.277,0.395,0.5,0.13,0.26,0,0,,5.2,0.399,0.077,0.686,2.3,0,0,,Control
536,220905_14,E33_F_6month_Control,G,Day5,3,MWM_150,9/16/22,8.1,1.111,0.138,0,0,,2.5,0.782,0.313,0,0,,5.6,0.329,0.059,1.066,4,0.2,0.052,0.258,Control
537,220905_15,E33_F_6month_Control,G,Day5,3,MWM_150,9/16/22,6.6,0.704,0.106,0,0,,1.2,0.366,0.314,0,0,,5.5,0.338,0.062,0.662,2.6,0,0,,Control
538,220905_16,E33_F_6month_Control,G,Day5,3,MWM_150,9/16/22,11.8,1.84,0.156,0,0,,2.4,0.579,0.241,1.6,0.33,0.206,7.8,0.93,0.12,1.798,7.7,0,0,,Control
539,220905_17,E33_F_6month_Control,G,Day5,3,MWM_150,9/16/22,13.2,1.817,0.137,0.8,0.137,0.172,3.8,0.785,0.208,0.9,0.13,0.14,7.7,0.764,0.099,1.736,9.2,0,0,,Control
540,220905_18,E4HN_M_6month_Control,D,Day5,3,MWM_150,9/16/22,12.3,1.282,0.104,2.7,0.401,0.151,3.3,0.556,0.17,0,0,,6.4,0.325,0.051,1.282,8.3,0,0,,Control
541,220905_19,E4HN_M_6month_Control,D,Day5,3,MWM_150,9/16/22,21.9,1.832,0.084,5.9,0.511,0.087,5.8,0.437,0.075,4.3,0.619,0.143,5.8,0.265,0.045,1.793,17.8,0,0,,Control
542,220905_20,E4HN_M_6month_Control,D,Day5,3,MWM_150,9/16/22,60,8.224,0.137,4.7,0.983,0.211,27.5,2.971,0.108,9.9,1.806,0.182,17.9,2.465,0.137,,,2.8,0.229,0.083,Control
543,220905_21,E44_F_6month_Control,H,Day5,3,MWM_150,9/16/22,9.6,0.998,0.104,0,0,,3.7,0.725,0.198,0,0,,6,0.273,0.046,0.96,5.6,0,0,,Control
544,220905_22,E44_F_6month_Control,H,Day5,3,MWM_150,9/16/22,52.8,6.343,0.12,4.3,1.012,0.235,33.3,3.739,0.112,0,0,,15.2,1.591,0.105,6.304,48.8,7.7,0.525,0.068,Control
545,220905_23,E44_M_6month_Control,F,Day5,3,MWM_150,9/16/22,17.4,1.274,0.073,0,0,,6.3,0.65,0.104,0,0,,11.1,0.623,0.056,1.234,13.4,0,0,,Control
546,220905_24,E44_M_6month_Control,F,Day5,3,MWM_150,9/16/22,10.2,1.013,0.099,0,0,,4.2,0.664,0.158,0,0,,6,0.349,0.058,0.894,6.2,0,0,,Control
547,220905_25,E44_M_6month_Control,F,Day5,3,MWM_150,9/16/22,13.3,1.503,0.113,0,0,,1.4,0.349,0.25,0,0,,11.9,1.154,0.097,1.425,9.3,0,0,,Control
548,220905_26,E3HN_F_6month_Control,E,Day5,3,MWM_150,9/16/22,10.2,1.373,0.135,1.6,0.494,0.302,0.7,0.131,0.179,1.6,0.449,0.287,6.2,0.3,0.048,1.338,6.1,0,0,,Control
549,220905_27,E3HN_F_6month_Control,E,Day5,3,MWM_150,9/16/22,33.2,5.577,0.168,0.4,0.109,0.272,11.2,1.73,0.154,3.1,0.691,0.225,18.5,3.046,0.165,5.534,29.1,0,0,,Control
550,220905_28,E3HN_F_6month_Control,E,Day5,3,MWM_150,9/16/22,17.7,1.749,0.099,0,0,,12.1,1.396,0.115,0,0,,5.6,0.353,0.063,1.667,13.6,1.1,0.133,0.117,Control
551,220905_29,E3HN_F_6month_Control,E,Day5,3,MWM_150,9/16/22,12.2,1.133,0.093,0.4,0.038,0.087,4.1,0.706,0.174,0,0,,7.7,0.39,0.051,1.133,8.1,0,0,,Control
552,220905_1,E44_M_18month_HFD,A,Day5,4,MWM_150,9/16/22,11.3,0.953,0.084,4,0.525,0.13,0,0,,0.7,0.099,0.149,6.6,0.329,0.05,0.911,7.3,0,0,,HFD
553,220905_2,E44_F_18month_HFD,C,Day5,4,MWM_150,9/16/22,12.7,1.272,0.1,3.7,0.462,0.125,2.4,0.528,0.223,0,0,,6.7,0.283,0.042,1.187,8.7,0,0,,HFD
554,220905_3,E44_M_18month_HFD,A,Day5,4,MWM_150,9/16/22,53.9,8.598,0.159,10.9,1.628,0.149,13.6,2.45,0.181,12.9,2.26,0.175,16.6,2.26,0.136,8.503,49.9,1.5,0.115,0.076,HFD
555,220905_4,E3HN_M_6month_Control,I,Day5,4,MWM_150,9/16/22,13.3,2.102,0.158,1.5,0.375,0.244,0,0,,4,0.896,0.226,7.8,0.831,0.107,2.022,9.2,0,0,,Control
