Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
393,220207_19,E3HN_M_18 month Control,C,Day5,3,MWM_150,2/25/2022,9.8,0.719,0.073,0,0,,3.5,0.433,0.125,0,0,,6.3,0.286,0.045,0.68,4.7,0,0,,Control,M,18
394,220207_20,E3HN_M_18 month Control,C,Day5,3,MWM_150,2/25/2022,17.1,2.007,0.118,0.8,0.152,0.182,5.1,0.494,0.096,2.3,0.606,0.26,8.8,0.755,0.086,1.966,12,0,0,,Control,M,18
395,220207_21,E3HN_M_18 month Control,C,Day5,3,MWM_150,2/25/2022,12.7,1.178,0.092,0,0,,5.8,0.821,0.142,0,0,,7,0.357,0.051,1.137,7.7,0,0,,Control,M,18
396,220207_22,E3HN_M_18 month Control,C,Day5,3,MWM_150,2/25/2022,14.4,0.835,0.058,0,0,,5.6,0.434,0.077,0,0,,8.8,0.401,0.046,0.707,9.4,0,0,,Control,M,18
397,220207_23,E3HN_M_18 month Control,C,Day5,3,MWM_150,2/25/2022,12.5,0.863,0.069,0,0,,5.1,0.417,0.081,0,0,,7.4,0.447,0.06,0.691,7.5,0,0,,Control,M,18
398,220207_24,E3HN_M_18 month HFD,D,Day5,3,MWM_150,2/25/2022,13,1.002,0.077,0,0,,3.2,0.389,0.122,0,0,,9.8,0.613,0.062,0.958,7.9,0,0,,HFD,M,18
399,220207_25,E3HN_M_18 month HFD,D,Day5,3,MWM_150,2/25/2022,11.5,0.819,0.071,0,0,,4,0.482,0.121,0,0,,7.5,0.337,0.045,0.777,6.4,0,0,,HFD,M,18
400,220207_1,E3HN_M_18 month HFD,D,Day5,4,MWM_150,2/25/2022,56.5,8.431,0.149,2.7,0.489,0.183,11.3,1.452,0.129,24.5,4.272,0.174,18,2.217,0.123,8.389,51.4,14.5,2.549,0.176,HFD,M,18
401,220207_2,E3HN_M_18 month HFD,D,Day5,4,MWM_150,2/25/2022,35.5,4.292,0.121,6.8,0.587,0.086,10,1.468,0.147,8,1.356,0.169,10.7,0.881,0.082,4.251,30.5,0,0,,HFD,M,18
402,220207_3,E3HN_M_18 month HFD,D,Day5,4,MWM_150,2/25/2022,9.8,0.897,0.091,1.3,0.289,0.227,0,0,,2.3,0.293,0.129,6.3,0.315,0.05,0.814,4.8,0,0,,HFD,M,18
403,220207_4,E3HN_M_18 month HFD,D,Day5,4,MWM_150,2/25/2022,13,0.978,0.075,5.6,0.614,0.11,0,0,,0.1,0,0,7.3,0.363,0.05,0.893,7.9,0,0,,HFD,M,18
404,220207_9,E3HN_F_18 month Control,B,Day5,4,MWM_150,2/25/2022,13.7,1.616,0.118,0.8,0.138,0.18,0,0,,3.3,0.717,0.217,9.6,0.76,0.079,1.616,8.7,0,0,,Control,F,18
405,220207_10,E3HN_F_18 month Control,B,Day5,4,MWM_150,2/25/2022,8.4,0.817,0.097,1,0.212,0.217,0,0,,0.8,0.319,0.382,6.6,0.287,0.043,0.751,3.4,0,0,,Control,F,18
