Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
207,190610_9,APOE44_females,B,Day2,2,MWM_150,6/18/19,60,8.355,0.139,0,0,,0,0,,2.9,0.492,0.17,57.1,7.862,0,0.138,,,10.8,1.272,0.118,Control
208,190610_9,APOE44_females,B,Day2,3,MWM_150,6/18/19,50,8.428,0.169,0,0,,0,0,,22.5,3.593,0.159,27.4,4.836,11,0.176,8.191,47.9,19.7,3.114,0.158,Control
209,190610_9,APOE44_females,B,Day2,4,MWM_150,6/18/19,60,11.328,0.189,2.8,0.59,0.209,34.7,6.58,0.19,3.7,0.763,0.204,18.7,3.395,34.4,0.181,,,6.6,1.206,0.183,Control
210,190610_9,APOE44_females,B,Day3,1,MWM_150,6/19/19,60,11.125,0.185,5.8,1.195,0.206,21,3.303,0.157,8.3,1.878,0.226,24.9,4.749,30.7,0.191,,,26.5,5.367,0.202,Control
211,190610_9,APOE44_females,B,Day3,2,MWM_150,6/19/19,22.4,3.704,0.165,12.7,1.904,0.15,0,0,,4.3,1.111,0.258,5.4,0.69,17,0.129,3.551,20.3,6,0.77,0.129,Control
212,190610_9,APOE44_females,B,Day3,3,MWM_150,6/19/19,38.9,6.822,0.175,8.1,0.998,0.123,2.9,0.564,0.192,5.3,1.423,0.269,22.6,3.837,11.7,0.17,6.755,36.8,7.4,1.745,0.237,Control
213,190610_9,APOE44_females,B,Day3,4,MWM_150,6/19/19,26.8,5.157,0.192,0,0,,12,2.674,0.222,0,0,,14.8,2.483,0,0.168,5.09,24.8,2.9,0.526,0.183,Control
214,190610_9,APOE44_females,B,Day4,1,MWM_150,6/20/19,12.9,1.609,0.125,0,0,,0,0,,7,1.047,0.149,5.8,0.563,4,0.096,1.574,10.8,0,0,,Control
215,190610_9,APOE44_females,B,Day4,2,MWM_150,6/20/19,15.3,2.997,0.196,1.1,0.334,0.294,5.2,0.947,0.182,2.6,0.692,0.266,6.4,1.024,7.4,0.161,2.962,13.3,0,0,,Control
216,190610_9,APOE44_females,B,Day4,3,MWM_150,6/20/19,11.4,1.979,0.174,6.8,1.368,0.202,0,0,,0.9,0.247,0.274,3.7,0.364,7.7,0.097,1.944,9.3,0,0,,Control
217,190610_9,APOE44_females,B,Day4,4,MWM_150,6/20/19,4.6,0.558,0.121,0,0,,0,0,,0,0,,4.6,0.558,0,0.121,0.522,2.5,0,0,,Control
218,190610_9,APOE44_females,B,Day5,1,MWM_150,6/21/19,60,9.927,0.165,0.4,0.059,0.161,4.1,0.786,0.192,29.8,4.785,0.16,25.7,4.296,0,0.167,,,5.2,0.691,0.132,Control
219,190610_9,APOE44_females,B,Day5,2,MWM_150,6/21/19,60,11.125,0.185,0,0,,1.1,0.181,0.165,16.7,3.308,0.198,42.2,7.636,4.3,0.181,,,3.9,0.851,0.218,Control
220,190610_9,APOE44_females,B,Day5,3,MWM_150,6/21/19,23.5,3.466,0.147,0.5,0.099,0.212,13.3,1.721,0.13,2.6,0.636,0.241,7.1,1.01,16.4,0.142,3.425,21.4,0,0,,Control
221,190610_9,APOE44_females,B,Day5,4,MWM_150,6/21/19,60,11.549,0.192,4.7,0.661,0.14,2.6,0.604,0.235,40.8,8.152,0.2,11.9,2.132,6.8,0.18,,,2.7,0.408,0.151,Control
222,190610_9,APOE44_females,B,Probe_D5,1,MWM_150,6/21/19,60,6.562,0.109,45.3,4.302,0.095,8.9,1.308,0.147,2,0.187,0.094,3.8,0.764,56.2,0.203,5.944,57,24.2,2.267,0.094,Control
223,190610_9,APOE44_females,B,Probe_D8,1,MWM_150,6/24/19,60,12.904,0.215,14.1,2.588,0.184,5.8,1.339,0.232,18.8,4.281,0.228,21.4,4.696,12.5,0.22,,,6.7,1.296,0.194,Control
