Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
233,220509_2,E22_F_18mnth HFD,D,Probe_D8,1,MWM_150,5/23/22,60,10.023,0.167,3.9,0.709,0.18,12.3,1.856,0.151,11.5,1.834,0.159,32.2,5.624,0.175,8.039,47.6,8.1,0.846,0.104,HFD,F,18,E22
234,220509_4,E22_F_18mnth HFD,D,Probe_D8,1,MWM_150,5/23/22,60,10.743,0.179,3.6,0.718,0.199,20.1,3.468,0.172,10.9,1.942,0.178,25.3,4.616,0.182,3.957,21.9,13.5,1.917,0.143,HFD,F,18,E22
235,220509_6,E22_F_18mnth HFD,D,Probe_D8,1,MWM_150,5/23/22,60,11.43,0.19,9.6,1.929,0.201,11.2,2.062,0.184,21.3,3.935,0.185,17.9,3.504,0.196,3.46,17.9,2.2,0.278,0.126,HFD,F,18,E22
236,220509_7,E33_M_18mnth HFD,C,Probe_D8,1,MWM_150,5/23/22,60,9.13,0.152,11.3,1.845,0.163,12.8,1.485,0.116,13.4,2.188,0.164,22.5,3.612,0.161,0.772,4.7,11.3,1.56,0.138,HFD,M,18,E33
237,220509_8,E33_F_18mnth HFD,F,Probe_D8,1,MWM_150,5/23/22,60,9.449,0.157,1.4,0.3,0.212,12.3,2.05,0.167,7,1.178,0.168,39.3,5.92,0.151,4.902,27.5,3.7,0.346,0.093,HFD,F,18,E33
238,220509_10,E33_F_18mnth HFD,F,Probe_D8,1,MWM_150,5/23/22,60,10.989,0.183,9.4,2.018,0.215,18.1,2.961,0.163,20.9,3.789,0.182,11.6,2.221,0.191,,,35.8,6.197,0.173,HFD,F,18,E33
239,220509_11,E44_F_18mnth Control,E,Probe_D8,1,MWM_150,5/23/22,60,10.205,0.17,11.7,1.881,0.161,14.7,2.291,0.155,15.2,2.707,0.179,18.4,3.327,0.18,1.558,13.1,6.2,1.121,0.182,Control,F,18,E44
240,220509_12,E22_F_12mnth Control,B,Probe_D8,1,MWM_150,5/23/22,60,12.824,0.214,4,0.923,0.231,5.3,1.15,0.216,17.2,3.563,0.207,33.4,7.188,0.215,0.824,3.6,2.8,0.537,0.192,Control,F,12,E22
241,220509_13,E22_F_12mnth Control,B,Probe_D8,1,MWM_150,5/23/22,60,12.551,0.209,13.6,2.993,0.219,12.3,2.461,0.201,11.6,2.837,0.246,22.5,4.261,0.189,1.316,7.6,0,0,,Control,F,12,E22
242,220509_14,E22_F_12mnth Control,B,Probe_D8,1,MWM_150,5/23/22,60,13.194,0.22,6.5,1.577,0.241,6.7,1.572,0.235,16.4,3.42,0.208,30.3,6.624,0.218,1.185,6.4,6.5,1.04,0.159,Control,F,12,E22
