Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
166,220509_1,E22_M_18mnth HFD,A,Day4,4,MWM_150,5/19/22,5.1,0.179,0.035,0,0,,0,0,,0,0,,5.1,0.179,0.035,0.087,1,0,0,,HFD,M,18,E22
167,220509_2,E22_F_18mnth HFD,D,Day4,4,MWM_150,5/19/22,9.3,1.091,0.118,0,0,,0,0,,0,0,,9.3,1.091,0.118,0.964,5.2,1.3,0.179,0.141,HFD,F,18,E22
168,220509_4,E22_F_18mnth HFD,D,Day4,4,MWM_150,5/19/22,5.7,0.297,0.052,0,0,,0,0,,0,0,,5.7,0.297,0.052,0.158,1.6,0,0,,HFD,F,18,E22
169,220509_6,E22_F_18mnth HFD,D,Day4,4,MWM_150,5/19/22,6.1,0.398,0.065,0,0,,0,0,,0,0,,6.1,0.398,0.065,0.352,2.1,0,0,,HFD,F,18,E22
170,220509_7,E33_M_18mnth HFD,C,Day4,4,MWM_150,5/19/22,8.5,0.914,0.107,0,0,,0.9,0.108,0.117,1.3,0.316,0.243,6.3,0.489,0.077,0.858,4.5,0,0,,HFD,M,18,E33
171,220509_8,E33_F_18mnth HFD,F,Day4,4,MWM_150,5/19/22,22.1,3.766,0.17,4,0.847,0.212,5.1,0.948,0.187,3.4,0.746,0.217,9.6,1.225,0.127,3.722,18,0,0,,HFD,F,18,E33
172,220509_10,E33_F_18mnth HFD,F,Day4,4,MWM_150,5/19/22,60,10.686,0.178,10.9,2.172,0.199,18.7,3.833,0.205,7.4,1.484,0.2,23,3.198,0.139,10.686,56.5,27,4.379,0.162,HFD,F,18,E33
173,220509_11,E44_F_18mnth Control,E,Day4,4,MWM_150,5/19/22,4.8,0.114,0.024,0,0,,0,0,,0,0,,4.8,0.114,0.024,,0.8,0,0,,Control,F,18,E44
174,220509_12,E22_F_12mnth Control,B,Day4,4,MWM_150,5/19/22,5,0.14,0.028,0,0,,0,0,,0,0,,5,0.14,0.028,0.07,0.9,0,0,,Control,F,12,E22
175,220509_13,E22_F_12mnth Control,B,Day4,4,MWM_150,5/19/22,6.1,0.414,0.068,0,0,,0.5,0.087,0.186,0,0,,5.6,0.327,0.058,0.338,2,0,0,,Control,F,12,E22
176,220509_14,E22_F_12mnth Control,B,Day4,4,MWM_150,5/19/22,29.2,4.26,0.146,0,0,,1.7,0.24,0.141,10.1,1.915,0.19,17.4,2.105,0.121,4.192,25.1,1,0.16,0.166,Control,F,12,E22
177,220509_1,E22_M_18mnth HFD,A,Day5,1,MWM_150,5/20/22,12.4,0.885,0.071,0,0,,0,0,,0,0,,12.4,0.885,0.071,0.796,8.3,0,0,,HFD,M,18,E22
178,220509_2,E22_F_18mnth HFD,D,Day5,1,MWM_150,5/20/22,5.8,0.518,0.089,0,0,,0.9,0.089,0.101,0,0,,4.9,0.43,0.087,0.289,1.8,0,0,,HFD,F,18,E22
179,220509_4,E22_F_18mnth HFD,D,Day5,1,MWM_150,5/20/22,5.3,0.278,0.052,0,0,,0,0,,0,0,,5.3,0.278,0.052,0.15,1.3,0,0,,HFD,F,18,E22
180,220509_6,E22_F_18mnth HFD,D,Day5,1,MWM_150,5/20/22,6.3,0.466,0.074,0,0,,0,0,,0,0,,6.3,0.466,0.074,0.377,2.3,0,0,,HFD,F,18,E22
181,220509_7,E33_M_18mnth HFD,C,Day5,1,MWM_150,5/20/22,6.6,0.465,0.071,0,0,,0,0,,0,0,,6.6,0.465,0.071,0.413,2.5,0,0,,HFD,M,18,E33
182,220509_8,E33_F_18mnth HFD,F,Day5,1,MWM_150,5/20/22,15.7,2.673,0.171,0,0,,2.9,0.686,0.237,2.9,0.773,0.264,9.8,1.213,0.124,2.588,11.6,0,0,,HFD,F,18,E33
183,220509_10,E33_F_18mnth HFD,F,Day5,1,MWM_150,5/20/22,60,10.891,0.182,15.2,2.923,0.193,16.2,2.475,0.152,11.4,2.643,0.232,17.2,2.851,0.166,,,34,5.138,0.151,HFD,F,18,E33
184,220509_11,E44_F_18mnth Control,E,Day5,1,MWM_150,5/20/22,5.7,0.235,0.041,0,0,,0,0,,0,0,,5.7,0.235,0.041,0.203,1.6,0,0,,Control,F,18,E44
185,220509_12,E22_F_12mnth Control,B,Day5,1,MWM_150,5/20/22,4.7,0.122,0.026,0,0,,0,0,,0,0,,4.7,0.122,0.026,0.043,0.6,0,0,,Control,F,12,E22
186,220509_13,E22_F_12mnth Control,B,Day5,1,MWM_150,5/20/22,22,2.976,0.135,0,0,,0.2,0,0,8.1,1.25,0.154,13.8,1.727,0.125,2.94,18,6.2,1.228,0.198,Control,F,12,E22
187,220509_14,E22_F_12mnth Control,B,Day5,1,MWM_150,5/20/22,6.9,0.414,0.06,0,0,,0,0,,0,0,,6.9,0.414,0.06,0.341,2.8,0,0,,Control,F,12,E22
188,220509_1,E22_M_18mnth HFD,A,Day5,2,MWM_150,5/20/22,60,10.636,0.177,4,0.793,0.197,13,2.358,0.182,19.7,3.4,0.172,23.3,4.084,0.175,,,11.8,1.493,0.126,HFD,M,18,E22
189,220509_2,E22_F_18mnth HFD,D,Day5,2,MWM_150,5/20/22,17.9,2.533,0.141,0.7,0.132,0.189,0,0,,11.6,2.129,0.184,5.6,0.271,0.048,2.406,13.9,1,0.085,0.085,HFD,F,18,E22
190,220509_4,E22_F_18mnth HFD,D,Day5,2,MWM_150,5/20/22,6.7,0.556,0.083,0,0,,0,0,,1.8,0.247,0.138,4.9,0.309,0.063,0.43,2.6,0,0,,HFD,F,18,E22
191,220509_6,E22_F_18mnth HFD,D,Day5,2,MWM_150,5/20/22,14.7,1.493,0.101,0,0,,0,0,,2.1,0.354,0.172,12.7,1.139,0.09,1.362,10.7,0,0,,HFD,F,18,E22
192,220509_7,E33_M_18mnth HFD,C,Day5,2,MWM_150,5/20/22,22.4,2.793,0.125,0,0,,0,0,,12,1.859,0.155,10.4,0.935,0.09,2.747,18.4,0,0,,HFD,M,18,E33
193,220509_8,E33_F_18mnth HFD,F,Day5,2,MWM_150,5/20/22,10.2,1.3,0.127,1,0.174,0.174,0,0,,3.8,0.856,0.223,5.4,0.27,0.05,1.213,6.2,0,0,,HFD,F,18,E33
194,220509_10,E33_F_18mnth HFD,F,Day5,2,MWM_150,5/20/22,50.5,8.555,0.169,12.2,2.546,0.209,13.7,2.627,0.191,4.4,0.806,0.184,20.2,2.576,0.127,8.509,46.4,23,4.03,0.175,HFD,F,18,E33
195,220509_11,E44_F_18mnth Control,E,Day5,2,MWM_150,5/20/22,8.4,0.845,0.1,0,0,,0,0,,3.3,0.615,0.186,5.1,0.23,0.045,0.807,4.4,0.7,0.077,0.11,Control,F,18,E44
196,220509_12,E22_F_12mnth Control,B,Day5,2,MWM_150,5/20/22,11.3,1.192,0.105,0,0,,0,0,,3.1,0.52,0.166,8.2,0.672,0.082,1.153,7.3,0,0,,Control,F,12,E22
197,220509_13,E22_F_12mnth Control,B,Day5,2,MWM_150,5/20/22,30.7,5.036,0.164,2.3,0.52,0.223,1.8,0.34,0.192,7.1,1.495,0.211,19.5,2.682,0.137,4.96,26.7,0,0,,Control,F,12,E22
198,220509_14,E22_F_12mnth Control,B,Day5,2,MWM_150,5/20/22,6.9,0.632,0.092,0,0,,0,0,,1.9,0.393,0.202,4.9,0.24,0.049,0.566,2.8,0,0,,Control,F,12,E22
199,220509_1,E22_M_18mnth HFD,A,Day5,3,MWM_150,5/20/22,6.8,0.628,0.092,0,0,,1.7,0.305,0.179,0,0,,5.1,0.323,0.063,0.496,2.8,0,0,,HFD,M,18,E22
200,220509_2,E22_F_18mnth HFD,D,Day5,3,MWM_150,5/20/22,11.5,1.319,0.114,0,0,,1.2,0.209,0.177,0,0,,10.4,1.11,0.107,1.231,7.5,0,0,,HFD,F,18,E22
201,220509_4,E22_F_18mnth HFD,D,Day5,3,MWM_150,5/20/22,19.1,2.14,0.112,0,0,,6,0.937,0.157,0.7,0.045,0.068,12.4,1.157,0.093,2.057,15,0,0,,HFD,F,18,E22
202,220509_6,E22_F_18mnth HFD,D,Day5,3,MWM_150,5/20/22,12.1,1.213,0.1,0,0,,3.8,0.591,0.155,0,0,,8.3,0.622,0.075,1.116,8,0,0,,HFD,F,18,E22
203,220509_7,E33_M_18mnth HFD,C,Day5,3,MWM_150,5/20/22,13.4,1.655,0.124,1.6,0.238,0.145,1.5,0.263,0.18,3.3,0.622,0.19,7,0.531,0.076,1.604,9.3,0,0,,HFD,M,18,E33
204,220509_8,E33_F_18mnth HFD,F,Day5,3,MWM_150,5/20/22,21.4,3.707,0.173,0,0,,9.2,1.888,0.204,0,0,,12.2,1.819,0.15,3.613,17.4,1.7,0.237,0.142,HFD,F,18,E33
205,220509_10,E33_F_18mnth HFD,F,Day5,3,MWM_150,5/20/22,60,10.854,0.181,16.5,2.844,0.172,15.7,3.01,0.192,12.8,2.176,0.17,15,2.823,0.188,,,36.6,6.219,0.17,HFD,F,18,E33
206,220509_11,E44_F_18mnth Control,E,Day5,3,MWM_150,5/20/22,19,2.125,0.112,0,0,,3.4,0.567,0.168,3.7,0.502,0.134,11.9,1.057,0.089,2.087,14.9,0,0,,Control,F,18,E44
207,220509_12,E22_F_12mnth Control,B,Day5,3,MWM_150,5/20/22,10.5,1.254,0.119,0,0,,2.2,0.48,0.215,0,0,,8.3,0.774,0.094,1.214,6.5,0,0,,Control,F,12,E22
208,220509_13,E22_F_12mnth Control,B,Day5,3,MWM_150,5/20/22,11.3,1.403,0.124,0.2,0.067,0.289,4.7,0.855,0.182,0,0,,6.3,0.481,0.076,1.366,7.2,0,0,,Control,F,12,E22
209,220509_14,E22_F_12mnth Control,B,Day5,3,MWM_150,5/20/22,9.9,0.866,0.087,0,0,,3.2,0.474,0.149,0,0,,6.8,0.393,0.058,0.833,5.9,0,0,,Control,F,12,E22
210,220509_1,E22_M_18mnth HFD,A,Day5,4,MWM_150,5/20/22,21.3,2.822,0.132,4.8,0.562,0.117,0,0,,8.1,1.366,0.168,8.4,0.895,0.107,2.738,17.3,0,0,,HFD,M,18,E22
211,220509_2,E22_F_18mnth HFD,D,Day5,4,MWM_150,5/20/22,12.5,1.712,0.137,2.5,0.496,0.201,3.5,0.64,0.183,0,0,,6.5,0.576,0.088,1.585,8.5,0,0,,HFD,F,18,E22
212,220509_4,E22_F_18mnth HFD,D,Day5,4,MWM_150,5/20/22,30.3,4.341,0.143,6.2,0.828,0.134,12.8,2.207,0.172,0,0,,11.3,1.306,0.115,4.259,26.3,0,0,,HFD,F,18,E22
213,220509_6,E22_F_18mnth HFD,D,Day5,4,MWM_150,5/20/22,10.9,1.231,0.113,1.5,0.316,0.214,0,0,,4.5,0.683,0.151,4.9,0.232,0.048,1.144,6.8,0,0,,HFD,F,18,E22
214,220509_7,E33_M_18mnth HFD,C,Day5,4,MWM_150,5/20/22,12.8,1.263,0.099,4.4,0.605,0.137,1.6,0.159,0.097,1.4,0.212,0.155,5.4,0.287,0.054,1.215,8.8,0,0,,HFD,M,18,E33
215,220509_8,E33_F_18mnth HFD,F,Day5,4,MWM_150,5/20/22,11.5,1.917,0.166,1.5,0.333,0.222,3.4,0.824,0.245,1.5,0.459,0.306,5.2,0.302,0.058,1.872,7.5,0.5,0.041,0.088,HFD,F,18,E33
216,220509_10,E33_F_18mnth HFD,F,Day5,4,MWM_150,5/20/22,60,10.411,0.174,10.7,1.637,0.152,14.3,2.661,0.187,21.3,4.007,0.188,13.6,2.054,0.151,,,28,4.002,0.143,HFD,F,18,E33
217,220509_11,E44_F_18mnth Control,E,Day5,4,MWM_150,5/20/22,12.5,1.256,0.1,1.6,0.318,0.197,1.3,0.131,0.1,0.8,0.191,0.229,8.8,0.616,0.07,1.216,8.5,0,0,,Control,F,18,E44
218,220509_12,E22_F_12mnth Control,B,Day5,4,MWM_150,5/20/22,7.3,1.085,0.15,1.1,0.252,0.227,0,0,,1.1,0.296,0.269,5,0.537,0.106,0.712,3.2,0,0,,Control,F,12,E22
219,220509_13,E22_F_12mnth Control,B,Day5,4,MWM_150,5/20/22,8.9,1.189,0.134,3.6,0.88,0.241,0,0,0,0,0,,5.2,0.309,0.06,1.15,4.8,0,0,,Control,F,12,E22
220,220509_14,E22_F_12mnth Control,B,Day5,4,MWM_150,5/20/22,16.7,2.371,0.142,2.4,0.437,0.181,0.3,0.054,0.201,0.8,0.143,0.172,13.1,1.737,0.132,2.333,12.6,0,0,,Control,F,12,E22
221,220509_1,E22_M_18mnth HFD,A,Probe_D5,1,MWM_150,5/20/22,60,10.656,0.178,8.8,1.556,0.176,7.3,1.284,0.175,16.7,2.643,0.158,27.1,5.173,0.191,1.672,12.3,5.7,0.565,0.1,HFD,M,18,E22
222,220509_2,E22_F_18mnth HFD,D,Probe_D5,1,MWM_150,5/20/22,60,10.46,0.174,6.6,1.174,0.178,11.9,1.833,0.154,17.9,2.977,0.166,23.6,4.477,0.19,10.403,59.7,5.9,0.671,0.114,HFD,F,18,E22
