Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
365,210112_15,E4HN_F,D,Day4,2,MWM_150,4/22/21,22.6,3.422,0.152,1.6,0.242,0.151,11.2,2.071,0.185,0,0,,9.8,1.108,0.113,3.387,18.5,0,0,,Control
366,210112_16,E4HN_F,D,Day4,2,MWM_150,4/22/21,43.2,6.555,0.152,5.7,1.164,0.203,6.5,1.141,0.177,6.2,1.167,0.189,23.2,2.728,0.118,6.522,39.2,1.6,0.355,0.218,Control
367,210112_17,E4HN_F,D,Day4,2,MWM_150,4/22/21,38.7,6.321,0.163,1,0.166,0.172,7.2,1.499,0.208,5.6,1.023,0.183,19.4,2.978,0.154,6.251,34.6,5.5,0.654,0.119,Control
368,210112_18,E3HN_M,C,Day4,2,MWM_150,4/22/21,24.8,3.864,0.156,0,0,,5.9,1.111,0.187,2.3,0.498,0.214,15.3,2.117,0.138,3.777,20.7,1.2,0.137,0.114,HFD
369,210112_19,E3HN_M,C,Day4,2,MWM_150,4/22/21,60,10.631,0.177,1.9,0.421,0.226,11.5,1.303,0.113,7.5,1.62,0.217,3.4,0.66,0.196,,,35.8,6.627,0.185,HFD
370,210112_20,E3HN_M,C,Day4,2,MWM_150,4/22/21,16.5,2.737,0.166,0,0,,4.9,0.976,0.198,1.7,0.375,0.221,9.9,1.387,0.14,2.698,12.5,0,0,,HFD
371,210112_21,E3HN_F,E,Day4,2,MWM_150,4/22/21,31,3.964,0.128,0,0,,8.6,1.099,0.128,6.9,1.115,0.162,15.3,1.751,0.115,3.914,26.9,0.2,0,0,HFD
372,210112_23,E3HN_F,E,Day4,2,MWM_150,4/22/21,26.6,3.672,0.138,3.1,0.267,0.087,3.6,0.576,0.162,2.5,0.465,0.184,17.5,2.364,0.135,3.634,22.6,0,0,,HFD
373,210112_24,E3HN_F,E,Day4,2,MWM_150,4/22/21,60,13.252,0.221,6.8,1.565,0.229,12.8,2.811,0.22,7.3,1.754,0.239,19.2,4.44,0.232,,,13.9,2.681,0.193,HFD
374,210112_25,E44_M,A,Day4,2,MWM_150,4/22/21,8.4,0.674,0.08,0,0,,2,0.247,0.121,0,0,,6.4,0.428,0.067,0.595,4.3,0,0,,HFD
375,210112_26,E44_M,A,Day4,2,MWM_150,4/22/21,17.1,1.904,0.112,0,0,,4.9,0.751,0.154,0,0,,12.2,1.153,0.095,1.865,13,0,0,,HFD
376,210112_27,E44_F,B,Day4,2,MWM_150,4/22/21,23.9,2.541,0.107,0,0,,5.8,0.712,0.123,3.8,0.306,0.081,13.3,1.433,0.108,2.499,19.8,1,0.09,0.093,HFD
