Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
297,220606_3,E4HN_F_18moCtrl,D,Probe_D8,1,MWM_150,6/20/2022,60,11.204,0.187,12,1.714,0.143,8.9,2.005,0.225,21,3.974,0.19,14.5,2.772,0.191,,,12,2.267,0.188,Control,F,18
298,220606_4,E4HN_F_18moCtrl,D,Probe_D8,1,MWM_150,6/20/2022,60,12.643,0.211,14.3,3.154,0.22,9.6,2.209,0.231,24.5,4.654,0.19,9.5,2.126,0.223,5.05,27.1,10.5,2.238,0.213,Control,F,18
299,220606_5,E4HN_F_18moCtrl,D,Probe_D8,1,MWM_150,6/20/2022,60,12.686,0.211,12.7,2.358,0.185,13.4,2.86,0.213,11.7,2.581,0.221,20.3,4.51,0.223,3.653,19.6,3.5,0.796,0.225,Control,F,18
300,220606_6,E4HN_F_18moCtrl,D,Probe_D8,1,MWM_150,6/20/2022,60,13.059,0.218,21.9,4.158,0.189,8.2,1.861,0.226,16.1,3.924,0.243,12,2.754,0.23,4.194,22.4,6,1.37,0.23,Control,F,18
301,220606_7,E44_M_18moHFD,C,Probe_D8,1,MWM_150,6/20/2022,60,9.493,0.158,16.4,2.178,0.133,6.6,1.299,0.197,14.1,2.544,0.18,13.3,2.04,0.154,1.152,11.5,16,2.435,0.152,HFD,M,18
302,220606_8,E44_M_18moHFD,C,Probe_D8,1,MWM_150,6/20/2022,60,10.474,0.175,11.1,1.872,0.169,12.1,1.739,0.144,20.5,3.767,0.184,9.8,1.89,0.193,,,16.8,2.775,0.165,HFD,M,18
303,220606_9,E44_F_18moCtrl,A,Probe_D8,1,MWM_150,6/20/2022,60,11.603,0.193,7.3,1.47,0.201,11.4,2.379,0.208,28.8,4.923,0.171,7.9,2.061,0.26,6.939,37.5,14.6,2.681,0.183,Control,F,18
304,220606_10,E44_F_18moCtrl,A,Probe_D8,1,MWM_150,6/20/2022,60,11.293,0.188,7.2,1.385,0.193,15.3,2.872,0.187,20.2,3.754,0.186,13.1,2.75,0.21,3.478,21,13.4,1.685,0.126,Control,F,18
305,220606_11,E22_M_ctrl,E,Probe_D8,1,MWM_150,6/20/2022,60,12.226,0.204,14.9,2.919,0.196,12.3,2.363,0.192,18.1,4.258,0.235,12.2,2.444,0.2,1.737,9,12.5,1.802,0.145,Control,M,12
306,220606_12,E22_M_ctrl,E,Probe_D8,1,MWM_150,6/20/2022,60,10.965,0.183,5.8,1.254,0.215,8.6,1.569,0.182,8.2,1.459,0.177,32.9,5.999,0.182,0.945,4.9,0,0,,Control,M,12
307,220606_13,E22_M_ctrl,E,Probe_D8,1,MWM_150,6/20/2022,60,13.963,0.233,12.9,2.995,0.232,11.2,2.74,0.245,18.4,4.312,0.234,15.6,3.468,0.222,2.907,15.1,8.9,2.13,0.238,Control,M,12
308,220606_14,E22_M_ctrl,E,Probe_D8,1,MWM_150,6/20/2022,60,13.821,0.23,5.8,1.194,0.207,3.9,1.025,0.265,14.5,3.362,0.232,30.7,7.2,0.235,1.868,9.4,1.2,0.246,0.205,Control,M,12
