Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
604,221003_4,E22_F_12month_HFD,F,Probe_D5,1,MWM_150,10/14/22,60,12.563,0.209,5.4,1.309,0.241,10.9,2.595,0.237,4.9,1.338,0.273,38.7,7.32,0.189,1.069,4.2,5.4,0.869,0.162,HFD
605,221003_5,E22_M_12month_HFD,C,Probe_D5,1,MWM_150,10/14/22,60,11.462,0.191,9.6,1.925,0.2,7.1,1.243,0.174,11.9,2.525,0.212,31.3,5.769,0.184,0.999,5.8,0.4,0.056,0.129,HFD
606,221003_6,E22_M_12month_HFD,C,Probe_D5,1,MWM_150,10/14/22,60,10.357,0.173,5.5,1.181,0.216,2.9,0.646,0.22,14.3,2.777,0.194,37.3,5.753,0.154,1.237,7.5,4,0.446,0.111,HFD
607,221003_7,E22_M_12month_HFD,C,Probe_D5,1,MWM_150,10/14/22,60,9.676,0.161,7.9,1.318,0.167,8.1,1.327,0.164,11.3,1.753,0.156,32.8,5.278,0.161,2.183,17.4,9.8,1.215,0.124,HFD
608,221003_8,E3HN_M_6month_Control,B,Probe_D5,1,MWM_150,10/14/22,60,12.472,0.208,12.8,2.627,0.205,7,1.406,0.201,11.2,2.546,0.227,29,5.894,0.203,1.154,5.2,1.8,0.257,0.14,Control
609,221003_9,E3HN_M_6month_Control,B,Probe_D5,1,MWM_150,10/14/22,60,10.91,0.182,4,0.966,0.241,4.7,0.968,0.207,10,2.439,0.244,41.3,6.537,0.158,1.355,7.9,1,0.2,0.207,Control
610,221003_10,E3HN_M_6month_Control,B,Probe_D5,1,MWM_150,10/14/22,60,12.73,0.212,7.2,1.783,0.247,9,2.001,0.222,16,3.26,0.204,27.8,5.685,0.205,0.969,4.1,4.7,0.228,0.049,Control
611,221003_11,E3HN_F_6month_Control,E,Probe_D5,1,MWM_150,10/14/22,60,10.625,0.177,7.8,1.504,0.192,15,2.845,0.19,7.1,1.441,0.203,30.1,4.834,0.161,1.189,6.5,1.9,0.152,0.079,Control
612,221003_12,E3HN_F_6month_Control,E,Probe_D5,1,MWM_150,10/14/22,60,13.544,0.226,7.8,1.641,0.21,8.3,1.797,0.217,17.7,4.291,0.242,26.2,5.815,0.222,1.203,5.3,7.5,1.245,0.165,Control
613,221003_13,E3HN_F_6month_Control,E,Probe_D5,1,MWM_150,10/14/22,60,13.769,0.229,10.4,2.159,0.207,5.3,1.324,0.252,15.9,4.187,0.263,28.4,6.099,0.215,2.775,14.5,5.4,0.743,0.138,Control
614,221003_14,E3HN_F_6month_Control,E,Probe_D5,1,MWM_150,10/14/22,60,12.523,0.209,12.1,2.828,0.234,9.6,2.282,0.237,15.5,3.166,0.204,22.8,4.248,0.187,6.913,35.5,9.5,1.962,0.207,Control
615,221003_15,E2HN_M_6month_Control,I,Probe_D5,1,MWM_150,10/14/22,60,12.6,0.21,8.3,1.813,0.218,16.9,3.762,0.223,4.3,0.949,0.219,30.5,6.076,0.199,2.1,11,6.2,1.145,0.185,Control
616,221003_16,E2HN_M_6month_Control,I,Probe_D5,1,MWM_150,10/14/22,60,12.466,0.208,1.7,0.466,0.279,6.3,0.971,0.155,15.5,3.121,0.202,36.6,7.907,0.216,3.409,16.5,4.1,0.305,0.075,Control
617,221003_17,E2HN_M_6month_Control,I,Probe_D5,1,MWM_150,10/14/22,60,11.48,0.191,14.1,2.682,0.19,9.9,2.018,0.203,6.7,1.614,0.242,29.3,5.166,0.176,1.011,5.2,6.1,0.939,0.153,Control
618,221003_18,E2HN_M_6month_Control,I,Probe_D5,1,MWM_150,10/14/22,60,12.248,0.204,12.4,2.682,0.216,8,1.837,0.229,14.3,3.102,0.217,25.2,4.627,0.183,1.354,5.6,6.9,1.06,0.154,Control
619,221003_19,E2HN_F_6month_Control,D,Probe_D5,1,MWM_150,10/14/22,60,14.968,0.249,5.5,1.502,0.273,15.7,3.819,0.244,11.7,3.133,0.269,27.2,6.515,0.24,1.177,4.5,2.5,0.469,0.185,Control
620,221003_20,E2HN_F_6month_Control,D,Probe_D5,1,MWM_150,10/14/22,60,10.498,0.175,18.2,2.153,0.118,8,1.725,0.217,26.1,4.956,0.19,7.7,1.664,0.217,,,5.3,0.819,0.154,Control
621,221003_21,E2HN_F_6month_Control,D,Probe_D5,1,MWM_150,10/14/22,60,14.135,0.236,9.1,2.081,0.229,6.2,1.516,0.243,17.4,4.364,0.251,27.3,6.174,0.226,1.077,4.2,2.9,0.449,0.155,Control
622,221003_22,E33_M_6month_Control,G,Probe_D5,1,MWM_150,10/14/22,60,14.18,0.236,11.8,2.98,0.253,15.1,3.741,0.248,11.1,2.71,0.245,22.1,4.748,0.215,7.57,30.3,3.9,0.366,0.095,Control
