Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
280,220704_17,E3HN_F_18monthHFD,B,Day5,4,MWM_150,7/22/2022,17.4,1.381,0.079,5.3,0.663,0.125,0.0,0.000,,3.1,0.342,0.111,9.0,0.375,0.042,1.381,13.3,0.0,0.000,,HFD,Female,18,E3HN
281,220704_2,E44_F_18monthHFD,C,Probe_D5,1,MWM_150,7/22/2022,60.0,11.542,0.192,7.3,1.619,0.223,9.4,1.719,0.182,18.5,3.530,0.191,24.8,4.674,0.188,6.188,33.9,0.0,0.000,,HFD,Female,18,E44
282,220704_3,E44_F_18monthHFD,C,Probe_D5,1,MWM_150,7/22/2022,60.0,10.418,0.174,12.1,2.133,0.176,13.5,2.185,0.161,14.9,2.620,0.176,19.5,3.479,0.179,1.920,12.0,6.7,0.715,0.107,HFD,Female,18,E44
283,220704_4,E44_F_18monthHFD,C,Probe_D5,1,MWM_150,7/22/2022,60.0,12.292,0.205,14.1,2.873,0.204,10.3,2.146,0.208,12.1,2.625,0.218,23.6,4.650,0.197,11.164,53.6,5.7,0.814,0.142,HFD,Female,18,E44
284,220704_6,E2HN_F_18monthHFD,A,Probe_D5,1,MWM_150,7/22/2022,60.0,9.213,0.154,8.4,1.226,0.146,14.8,2.275,0.154,16.4,2.512,0.153,20.4,3.200,0.157,1.704,12.6,1.2,0.165,0.134,HFD,Female,18,E2HN
285,220704_7,E2HN_F_18monthHFD,A,Probe_D5,1,MWM_150,7/22/2022,60.0,9.641,0.161,7.5,0.961,0.128,3.0,0.572,0.189,20.0,3.222,0.161,29.5,4.886,0.166,1.342,9.7,2.1,0.215,0.101,HFD,Female,18,E2HN
286,220704_8,E2HN_F_18monthHFD,A,Probe_D5,1,MWM_150,7/22/2022,60.0,10.359,0.173,3.1,0.447,0.146,2.6,0.433,0.167,18.6,3.443,0.185,35.7,6.035,0.169,1.554,9.0,6.9,0.953,0.138,HFD,Female,18,E2HN
287,220704_9,E2HN_F_18monthHFD,A,Probe_D5,1,MWM_150,7/22/2022,60.0,9.830,0.164,11.3,1.896,0.168,9.9,1.596,0.161,21.0,3.353,0.160,17.8,2.986,0.168,3.379,19.4,7.3,0.855,0.117,HFD,Female,18,E2HN
288,220704_10,E2HN_M_18monthHFD,D,Probe_D5,1,MWM_150,7/22/2022,60.0,10.258,0.171,5.8,0.683,0.118,14.3,2.513,0.176,12.9,2.208,0.171,27.0,4.854,0.180,2.901,19.9,0.0,0.000,,HFD,Male,18,E2HN
289,220704_12,E2HN_M_18monthHFD,D,Probe_D5,1,MWM_150,7/22/2022,60.0,10.366,0.173,7.7,1.169,0.152,7.5,1.286,0.171,18.6,3.193,0.171,26.2,4.718,0.180,1.141,8.5,5.6,0.685,0.122,HFD,Male,18,E2HN
290,220704_13,E2HN_M_18monthHFD,D,Probe_D5,1,MWM_150,7/22/2022,60.0,9.524,0.159,3.8,0.683,0.180,7.2,1.029,0.142,14.1,2.160,0.153,34.8,5.652,0.162,1.020,5.9,2.5,0.295,0.120,HFD,Male,18,E2HN
291,220704_14,E2HN_M_18monthHFD,D,Probe_D5,1,MWM_150,7/22/2022,60.0,9.623,0.160,9.8,1.515,0.155,8.6,1.150,0.134,12.6,2.307,0.183,29.0,4.650,0.161,2.075,15.6,0.0,0.000,,HFD,Male,18,E2HN
292,220704_15,E3HN_F_18monthHFD,B,Probe_D5,1,MWM_150,7/22/2022,60.0,8.074,0.135,12.6,1.770,0.141,3.0,0.425,0.143,25.7,3.633,0.141,18.8,2.246,0.120,1.440,15.3,0.0,0.000,,HFD,Female,18,E3HN
293,220704_16,E3HN_F_18monthHFD,B,Probe_D5,1,MWM_150,7/22/2022,60.0,8.458,0.141,5.7,0.965,0.170,1.4,0.160,0.114,26.5,3.707,0.140,26.4,3.626,0.137,2.597,18.0,0.0,0.000,,HFD,Female,18,E3HN
294,220704_17,E3HN_F_18monthHFD,B,Probe_D5,1,MWM_150,7/22/2022,60.0,7.838,0.131,7.9,1.059,0.135,23.1,2.958,0.128,3.7,0.588,0.159,25.3,3.233,0.128,7.143,54.6,5.0,0.878,0.176,HFD,Female,18,E3HN
295,220704_2,E44_F_18monthHFD,C,Probe_D8,1,MWM_150,7/25/2022,60.0,10.696,0.178,14.8,2.527,0.170,16.3,2.684,0.165,15.0,2.835,0.189,13.9,2.651,0.191,1.873,9.2,0.0,0.000,,HFD,Female,18,E44
296,220704_3,E44_F_18monthHFD,C,Probe_D8,1,MWM_150,7/25/2022,60.0,10.929,0.182,17.2,3.091,0.179,4.9,1.015,0.206,19.6,3.922,0.200,18.2,2.900,0.159,,,1.0,0.107,0.103,HFD,Female,18,E44
297,220704_4,E44_F_18monthHFD,C,Probe_D8,1,MWM_150,7/25/2022,60.0,11.793,0.197,13.2,2.636,0.200,21.4,3.998,0.187,12.1,2.413,0.200,13.4,2.745,0.205,,,1.6,0.362,0.226,HFD,Female,18,E44
298,220704_6,E2HN_F_18monthHFD,A,Probe_D8,1,MWM_150,7/25/2022,60.0,9.814,0.164,14.0,2.352,0.168,4.3,0.744,0.173,10.0,1.663,0.166,31.7,5.055,0.159,1.100,6.2,3.9,0.612,0.156,HFD,Female,18,E2HN
