"Date :",05/27/21 17:03:47
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"Sound 1"," 0:02:00.000",30,3600,900
"Sound 2"," 0:04:02.000",30,7260,900
"Sound 3"," 0:06:04.000",30,10920,900
"Shock 1"," 0:02:30.000",2,4500,60
"Shock 2"," 0:04:32.000",2,8160,60
"Shock 3"," 0:06:34.000",2,11820,60

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF022221_102814","day0_1",Chamber1,"","","Sound 1",10,26.600,5.16,88.67,4.45,0,223
"VF022221_102814","day0_1",Chamber1,"","","Sound 2",5,29.767,5.77,99.22,0.58,0,29
"VF022221_102814","day0_1",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF022221_102814","day0_1",Chamber1,"","","Shock 1",1,0.400,0.08,20.00,12.90,0,112
"VF022221_102814","day0_1",Chamber1,"","","Shock 2",1,0.733,0.14,36.67,387.57,0,3513
"VF022221_102814","day0_1",Chamber1,"","","Shock 3",1,0.333,0.06,16.67,295.13,0,3100

"VF022221_102814","day0_1",Chamber 2,"","","Sound 1",2,29.967,5.81,99.89,0.27,0,18
"VF022221_102814","day0_1",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.03,0,6
"VF022221_102814","day0_1",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF022221_102814","day0_1",Chamber 2,"","","Shock 1",1,2.000,0.39,100.00,0.38,0,7
"VF022221_102814","day0_1",Chamber 2,"","","Shock 2",3,1.933,0.37,96.67,1.77,0,23
"VF022221_102814","day0_1",Chamber 2,"","","Shock 3",2,1.933,0.37,96.67,1.38,0,25

"VF022221_104518","day0_2",Chamber1,"","","Sound 1",6,28.067,5.44,93.56,2.83,0,163
"VF022221_104518","day0_2",Chamber1,"","","Sound 2",6,28.000,5.43,93.33,1.98,0,91
"VF022221_104518","day0_2",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.12,0,6
"VF022221_104518","day0_2",Chamber1,"","","Shock 1",3,1.567,0.30,78.33,22.80,0,334
"VF022221_104518","day0_2",Chamber1,"","","Shock 2",1,1.533,0.30,76.67,2.48,0,35
"VF022221_104518","day0_2",Chamber1,"","","Shock 3",3,1.667,0.32,83.33,3.47,0,44

"VF022221_104518","day0_2",Chamber 2,"","","Sound 1",1,30.000,5.81,100.00,0.13,0,9
"VF022221_104518","day0_2",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.04,0,8
"VF022221_104518","day0_2",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.03,0,11
"VF022221_104518","day0_2",Chamber 2,"","","Shock 1",2,1.967,0.38,98.33,0.82,0,16
"VF022221_104518","day0_2",Chamber 2,"","","Shock 2",2,1.867,0.36,93.33,1.37,0,19
"VF022221_104518","day0_2",Chamber 2,"","","Shock 3",2,1.967,0.38,98.33,1.38,0,34

"VF022221_105847","day0_3",Chamber1,"","","Sound 1",7,26.800,5.19,89.33,5.32,0,452
"VF022221_105847","day0_3",Chamber1,"","","Sound 2",2,29.633,5.74,98.78,1.29,0,210
"VF022221_105847","day0_3",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.05,0,3
"VF022221_105847","day0_3",Chamber1,"","","Shock 1",2,0.867,0.17,43.33,17.38,0,134
"VF022221_105847","day0_3",Chamber1,"","","Shock 2",3,1.300,0.25,65.00,12.60,0,102
"VF022221_105847","day0_3",Chamber1,"","","Shock 3",2,0.833,0.16,41.67,113.90,0,1050

"VF022221_105847","day0_3",Chamber 2,"","","Sound 1",7,29.800,5.78,99.33,0.93,0,37
"VF022221_105847","day0_3",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.30,0,14
"VF022221_105847","day0_3",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF022221_105847","day0_3",Chamber 2,"","","Shock 1",2,1.433,0.28,71.67,4.30,0,82
"VF022221_105847","day0_3",Chamber 2,"","","Shock 2",2,1.300,0.25,65.00,4.33,0,44
"VF022221_105847","day0_3",Chamber 2,"","","Shock 3",2,1.533,0.30,76.67,4.35,0,59

"VF022221_111058","day0_4",Chamber1,"","","Sound 1",10,26.733,5.18,89.11,3.28,0,128
"VF022221_111058","day0_4",Chamber1,"","","Sound 2",5,28.700,5.56,95.67,1.58,0,99
"VF022221_111058","day0_4",Chamber1,"","","Sound 3",3,29.633,5.74,98.78,0.76,0,123
"VF022221_111058","day0_4",Chamber1,"","","Shock 1",2,1.633,0.32,81.67,12.77,0,168
"VF022221_111058","day0_4",Chamber1,"","","Shock 2",2,1.433,0.28,71.67,5.05,0,58
"VF022221_111058","day0_4",Chamber1,"","","Shock 3",2,1.600,0.31,80.00,74.75,0,976

"VF022221_111058","day0_4",Chamber 2,"","","Sound 1",6,29.667,5.75,98.89,0.80,0,25
"VF022221_111058","day0_4",Chamber 2,"","","Sound 2",2,29.967,5.81,99.89,0.20,0,29
"VF022221_111058","day0_4",Chamber 2,"","","Sound 3",2,29.667,5.75,98.89,0.18,0,25
"VF022221_111058","day0_4",Chamber 2,"","","Shock 1",1,1.633,0.32,81.67,4.00,0,53
"VF022221_111058","day0_4",Chamber 2,"","","Shock 2",1,1.567,0.30,78.33,1.30,0,19
"VF022221_111058","day0_4",Chamber 2,"","","Shock 3",3,1.433,0.28,71.67,6.52,0,59

"VF022221_112333","day0_5",Chamber1,"","","Sound 1",13,26.733,5.18,89.11,5.72,0,348
"VF022221_112333","day0_5",Chamber1,"","","Sound 2",9,28.800,5.58,96.00,1.31,0,31
"VF022221_112333","day0_5",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.21,0,13
"VF022221_112333","day0_5",Chamber1,"","","Shock 1",1,0.733,0.14,36.67,33.87,0,356
"VF022221_112333","day0_5",Chamber1,"","","Shock 2",0,0.000,0.00,0.00,37.90,0,249
"VF022221_112333","day0_5",Chamber1,"","","Shock 3",0,0.000,0.00,0.00,75.30,0,924

"VF022221_112333","day0_5",Chamber 2,"","","Sound 1",3,29.933,5.80,99.78,0.35,0,16
"VF022221_112333","day0_5",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.12,0,9
"VF022221_112333","day0_5",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF022221_112333","day0_5",Chamber 2,"","","Shock 1",2,1.867,0.36,93.33,2.43,0,61
"VF022221_112333","day0_5",Chamber 2,"","","Shock 2",2,1.233,0.24,61.67,6.32,0,71
"VF022221_112333","day0_5",Chamber 2,"","","Shock 3",1,1.733,0.34,86.67,2.43,0,49

"VF022221_114532","day0_6",Chamber1,"","","Sound 1",4,28.667,5.56,95.56,1.43,0,71
