Date :,5/27/2021 17:37,,,,,,,,,,,
Motion Threshold (au):,15,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF031521_110057,day0_trail5,Chamber1,,,Shock 3,2,1.367,0.26,68.33,5.07,0,42
,,,,,,,,,,,,
VF031521_110057,day0_trail5,Chamber 2,,,Sound 1,7,29.8,5.78,99.33,0.98,0,23
VF031521_110057,day0_trail5,Chamber 2,,,Sound 2,1,30,5.81,100,0.06,0,8
VF031521_110057,day0_trail5,Chamber 2,,,Sound 3,1,30,5.81,100,0.02,0,4
VF031521_110057,day0_trail5,Chamber 2,,,Shock 1,1,1.067,0.21,53.33,3.95,0,31
VF031521_110057,day0_trail5,Chamber 2,,,Shock 2,1,2,0.39,100,1.65,0,9
VF031521_110057,day0_trail5,Chamber 2,,,Shock 3,3,1.933,0.37,96.67,3.08,0,19
,,,,,,,,,,,,
VF031521_111139,day0_trail6,Chamber1,,,Sound 1,2,29.967,5.81,99.89,0.2,0,16
VF031521_111139,day0_trail6,Chamber1,,,Sound 2,1,30,5.81,100,0.03,0,6
VF031521_111139,day0_trail6,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
VF031521_111139,day0_trail6,Chamber1,,,Shock 1,2,1.933,0.37,96.67,2.23,0,25
VF031521_111139,day0_trail6,Chamber1,,,Shock 2,2,1.5,0.29,75,11.52,0,246
VF031521_111139,day0_trail6,Chamber1,,,Shock 3,1,2,0.39,100,1.25,0,11
,,,,,,,,,,,,
VF031521_111139,day0_trail6,Chamber 2,,,Sound 1,3,29.933,5.8,99.78,0.53,0,21
VF031521_111139,day0_trail6,Chamber 2,,,Sound 2,1,30,5.81,100,0.06,0,5
VF031521_111139,day0_trail6,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
VF031521_111139,day0_trail6,Chamber 2,,,Shock 1,3,1.6,0.31,80,4.73,0,40
VF031521_111139,day0_trail6,Chamber 2,,,Shock 2,3,1.833,0.36,91.67,4.57,0,39
VF031521_111139,day0_trail6,Chamber 2,,,Shock 3,1,1.267,0.25,63.33,12.65,0,256
,,,,,,,,,,,,
VF031521_112322,day0_trail7,Chamber1,,,Sound 1,2,29.933,5.8,99.78,0.32,0,27
VF031521_112322,day0_trail7,Chamber1,,,Sound 2,1,30,5.81,100,0.2,0,8
VF031521_112322,day0_trail7,Chamber1,,,Sound 3,1,30,5.81,100,0.05,0,6
VF031521_112322,day0_trail7,Chamber1,,,Shock 1,2,1.333,0.26,66.67,26.03,0,339
VF031521_112322,day0_trail7,Chamber1,,,Shock 2,2,1.567,0.3,78.33,10.15,0,165
VF031521_112322,day0_trail7,Chamber1,,,Shock 3,1,1.033,0.2,51.67,37.83,0,575
,,,,,,,,,,,,
VF031521_112322,day0_trail7,Chamber 2,,,Sound 1,1,30,5.81,100,0.14,0,14
VF031521_112322,day0_trail7,Chamber 2,,,Sound 2,1,30,5.81,100,0.03,0,3
VF031521_112322,day0_trail7,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,0
VF031521_112322,day0_trail7,Chamber 2,,,Shock 1,1,2,0.39,100,0.58,0,10
VF031521_112322,day0_trail7,Chamber 2,,,Shock 2,1,1.767,0.34,88.33,1.2,0,18
VF031521_112322,day0_trail7,Chamber 2,,,Shock 3,1,2,0.39,100,0.82,0,13
,,,,,,,,,,,,
VF031521_113702,day0_8,Chamber1,,,Sound 1,1,30,5.81,100,0.12,0,13
VF031521_113702,day0_8,Chamber1,,,Sound 2,1,30,5.81,100,0,0,0
VF031521_113702,day0_8,Chamber1,,,Sound 3,1,30,5.81,100,0,0,0
VF031521_113702,day0_8,Chamber1,,,Shock 1,2,1.8,0.35,90,3.3,0,57
VF031521_113702,day0_8,Chamber1,,,Shock 2,2,1.367,0.26,68.33,4.53,0,64
VF031521_113702,day0_8,Chamber1,,,Shock 3,2,1.667,0.32,83.33,1.62,0,33
,,,,,,,,,,,,
VF031521_113702,day0_8,Chamber 2,,,Sound 1,2,29.9,5.79,99.67,0.32,0,17
VF031521_113702,day0_8,Chamber 2,,,Sound 2,1,30,5.81,100,0.06,0,7
VF031521_113702,day0_8,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,2
