"Date :",05/27/21 17:38:29
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"White House Light"," 0:00:00.000",300,0,9000

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF031621_101834","day1_trail1",Chamber1,"","","White House Light",115,175.133,58.38,58.38,34.83,0,72370

"VF031621_101834","day1_trail1",Chamber 2,"","","White House Light",16,298.400,99.47,99.47,5.94,0,38334

"VF031621_102521","day1_trail2",Chamber1,"","","White House Light",55,290.300,96.77,96.77,7.39,0,55819

"VF031621_102521","day1_trail2",Chamber 2,"","","White House Light",62,230.333,76.78,76.78,23.89,0,73305

"VF031621_103549","day1_trail3",Chamber1,"","","White House Light",104,241.900,80.63,80.63,15.79,0,47000

"VF031621_103549","day1_trail3",Chamber 2,"","","White House Light",89,208.000,69.33,69.33,21.74,0,70080

"VF031621_104147","day1_trail4",Chamber1,"","","White House Light",34,288.900,96.30,96.30,7.10,0,49941

"VF031621_104147","day1_trail4",Chamber 2,"","","White House Light",3,299.400,99.80,99.80,2.59,0,22167

"VF031621_105043","day1_trail5",Chamber1,"","","White House Light",12,297.133,99.04,99.04,5.76,0,39867

"VF031621_105043","day1_trail5",Chamber 2,"","","White House Light",1,299.900,99.97,99.97,2.21,0,19805

"VF031621_110112","day1_trail6",Chamber1,"","","White House Light",11,296.667,98.89,98.89,3.43,0,26023

"VF031621_110112","day1_trail6",Chamber 2,"","","White House Light",9,298.900,99.63,99.63,4.95,0,43009

"VF031621_110920","day1_trail7",Chamber1,"","","White House Light",66,233.400,77.80,77.80,20.98,0,50550

"VF031621_110920","day1_trail7",Chamber 2,"","","White House Light",12,297.933,99.31,99.31,3.95,0,34111

"VF031621_111704","day1_trail8",Chamber1,"","","White House Light",12,291.867,97.29,97.29,10.85,0,74844

"VF031621_111704","day1_trail8",Chamber 2,"","","White House Light",55,285.600,95.20,95.20,2.82,0,8800

"VF031621_112519","day1_trail9",Chamber1,"","","White House Light",61,266.900,88.97,88.97,10.28,0,55253

